"celltype_annotation","cloneSize","n"
"Activated cytotoxic CD8+","Hyperexpanded (100 < X <= 500)",6
"Activated cytotoxic CD8+","Large (20 < X <= 100)",23
"Activated cytotoxic CD8+","Medium (5 < X <= 20)",20
"Activated cytotoxic CD8+","Small (1 < X <= 5)",42
"Activated cytotoxic CD8+","Single (0 < X <= 1)",79
"CD8+ Memory","Hyperexpanded (100 < X <= 500)",3
"CD8+ Memory","Large (20 < X <= 100)",41
"CD8+ Memory","Medium (5 < X <= 20)",90
"CD8+ Memory","Small (1 < X <= 5)",188
"CD8+ Memory","Single (0 < X <= 1)",2197
"CD8+ Naïve","Large (20 < X <= 100)",7
"CD8+ Naïve","Medium (5 < X <= 20)",7
"CD8+ Naïve","Small (1 < X <= 5)",23
"CD8+ Naïve","Single (0 < X <= 1)",3789
"CD8+ TEMRA","Hyperexpanded (100 < X <= 500)",685
"CD8+ TEMRA","Large (20 < X <= 100)",1793
"CD8+ TEMRA","Medium (5 < X <= 20)",971
"CD8+ TEMRA","Small (1 < X <= 5)",800
"CD8+ TEMRA","Single (0 < X <= 1)",512
"CD8+ Tem","Hyperexpanded (100 < X <= 500)",191
"CD8+ Tem","Large (20 < X <= 100)",603
"CD8+ Tem","Medium (5 < X <= 20)",872
"CD8+ Tem","Small (1 < X <= 5)",1090
"CD8+ Tem","Single (0 < X <= 1)",1548
"CD8+ Tem (PRF1+)","Hyperexpanded (100 < X <= 500)",231
"CD8+ Tem (PRF1+)","Large (20 < X <= 100)",516
"CD8+ Tem (PRF1+)","Medium (5 < X <= 20)",624
"CD8+ Tem (PRF1+)","Small (1 < X <= 5)",559
"CD8+ Tem (PRF1+)","Single (0 < X <= 1)",499
"Innate-like T","Hyperexpanded (100 < X <= 500)",1
"Innate-like T","Large (20 < X <= 100)",193
"Innate-like T","Medium (5 < X <= 20)",26
"Innate-like T","Small (1 < X <= 5)",63
"Innate-like T","Single (0 < X <= 1)",200
"NK-like CD8+","Hyperexpanded (100 < X <= 500)",39
"NK-like CD8+","Large (20 < X <= 100)",105
"NK-like CD8+","Medium (5 < X <= 20)",70
"NK-like CD8+","Small (1 < X <= 5)",79
"NK-like CD8+","Single (0 < X <= 1)",169
"ɣδ T","Large (20 < X <= 100)",32
"ɣδ T","Medium (5 < X <= 20)",29
"ɣδ T","Small (1 < X <= 5)",16
"ɣδ T","Single (0 < X <= 1)",12
