"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Feature"
0,-2.34557572991024,0.921,0.999,0,"RPS26"
1.38017660893435e-139,-3.57086310669786,0.138,0.645,2.59500806011837e-135,"ENSG00000289901"
1.29760439847522e-123,-0.638516490966304,0.999,1,2.43975579001311e-119,"RPS10"
3.19740661419539e-111,-1.29237027526078,0.418,0.855,6.01176391601017e-107,"IL32"
1.6873338507358e-96,-0.650374153240251,0.994,0.996,3.17252510615345e-92,"MT-CO3"
1.49732184591873e-82,-3.1348843691389,0.041,0.371,2.81526453469639e-78,"CD3D"
2.23482730778338e-82,-1.36780744800847,0.575,0.798,4.20192230409431e-78,"KLRC2"
1.33201124478225e-77,2.91291985176989,0.316,0.143,2.50444754243959e-73,"ENSG00000235979"
3.88695114577933e-75,-0.573126297818288,0.927,0.981,7.3082455442943e-71,"GNLY"
2.01824262213476e-68,1.64423045505626,0.575,0.239,3.79469977813777e-64,"CD38"
1.7519333385457e-65,1.21140967175779,0.628,0.288,3.29398506313362e-61,"FCER1G"
7.41391689460936e-63,-1.71631787037118,0.178,0.52,1.39396465452445e-58,"KIR3DL2"
1.50435813534424e-49,-0.640982563395086,0.938,0.98,2.82849416607425e-45,"MT-ND4"
1.20931239871413e-48,-3.42290346044394,0.02,0.23,2.27374917206231e-44,"ANK2"
4.2825448679517e-47,2.84387562428985,0.231,0.035,8.05204086072279e-43,"KIR3DL1"
7.77588871774629e-46,1.01221546296135,0.658,0.357,1.46202259671066e-41,"KLRB1"
2.95769708829039e-44,-3.25268108844774,0.047,0.26,5.56106206540359e-40,"LINC02446"
1.67942974836677e-40,-1.24451792488795,0.299,0.584,3.1576638128792e-36,"CD2"
2.68129153290073e-40,1.2041973334562,0.665,0.458,5.04136434015996e-36,"CLIC3"
7.19132026700004e-39,1.58333207325707,0.382,0.151,1.35211203660135e-34,"KLRC1"
7.76449763624597e-38,-0.981106442534451,0.127,0.362,1.45988084556697e-33,"KIR2DL1"
2.35834640744957e-37,-0.513477438314986,0.948,0.985,4.43416291528667e-33,"MT-ND5"
2.77448367789368e-37,-1.66081616231747,0.152,0.403,5.2165842111757e-33,"PBX4"
6.92896847568511e-35,-0.311874289888762,0.998,0.999,1.30278465279831e-30,"MT-CO1"
3.72359800918563e-34,-0.425399490783116,0.977,0.993,7.00110897687081e-30,"RPS29"
4.39043942025137e-33,0.544790979621049,0.962,0.915,8.25490419795662e-29,"GNG2"
