"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Feature"
0,-3.14063103481424,0.133,0.488,0,"ENSG00000289901"
0,-3.92940110112167,0.018,0.205,0,"HLA-G"
0,-1.8028528125581,0.95,0.999,0,"RPS26"
0,-0.319247920485381,0.998,0.999,0,"MT-CO1"
0,-0.459331004075879,0.996,0.997,0,"MT-CO3"
0,-0.435547869988969,0.997,0.997,0,"RPS10"
4.22298323255724e-273,-2.26836637277576,0.05,0.215,7.94005307385413e-269,"ANK2"
1.20788475518621e-270,-0.541584134257559,0.574,0.753,2.27106491670112e-266,"CTSW"
5.16297743386302e-224,-0.700744820998812,0.559,0.726,9.70743017114925e-220,"IFITM2"
5.09472939674289e-150,-2.45902945884417,0.032,0.136,9.57911021175597e-146,"S100B"
1.05502428766722e-137,-0.303417429524984,0.685,0.814,1.9836566656719e-133,"IL32"
9.18363884601782e-132,-0.264765771182043,0.984,0.992,1.72670777582827e-127,"MT-ND4L"
4.17281477333059e-126,-0.776175097322442,0.248,0.358,7.84572633681618e-122,"CMC1"
7.73332557158363e-119,1.58193110887911,0.159,0.062,1.45401987396915e-114,"HLA-DRB5"
1.37358620037608e-116,-0.683679969008484,0.085,0.169,2.58261677394711e-112,"CCL4L2"
3.28462755436571e-113,0.873470354795786,0.298,0.218,6.1757567277184e-109,"GPX1"
1.15972613641467e-110,0.573806994166878,0.42,0.309,2.18051708168687e-106,"SMDT1"
2.87108198816867e-109,-0.253108248189539,0.993,0.996,5.39820835415473e-105,"MT-ATP8"
3.49544914711369e-108,-0.590790221514334,0.447,0.593,6.57214348640316e-104,"ITM2A"
8.23881640293518e-108,-0.143321722487799,0.713,0.738,1.54906226007987e-103,"CCL5"
5.57286996829894e-107,-1.76938160645673,0.034,0.118,1.04781101143957e-102,"ARL17B"
1.01596501824526e-106,-0.220532992424066,0.997,0.998,1.91021742730474e-102,"RPS29"
9.00445801018742e-104,-0.295210603291071,0.947,0.976,1.69301819507544e-99,"MT-ND4"
1.81926928271719e-103,-0.26571792134014,0.866,0.928,3.42059010536486e-99,"PPDPF"
1.27206923441173e-97,-0.252778711634731,0.966,0.981,2.39174457454094e-93,"MT-ND5"
1.03326604876413e-95,-0.445651196638447,0.349,0.427,1.94274682488631e-91,"GNLY"
2.73464897946924e-79,-0.103943311872675,1,1,5.14168701119807e-75,"HLA-B"
3.64656912259871e-79,-0.639184406451192,0.169,0.258,6.85627926431009e-75,"KLRG1"
1.33121989701338e-77,-0.262658881635515,0.917,0.958,2.50295965036456e-73,"MT-ATP6"
9.66939329891155e-77,-0.347591351061985,0.702,0.799,1.81803932806135e-72,"CD2"
1.69991213604798e-71,-0.240900008961156,0.964,0.98,3.19617479819742e-67,"MT-ND1"
2.92291495992628e-69,-0.0390768821830285,0.679,0.709,5.4956647076534e-65,"NKG7"
1.17576113853043e-68,-0.715339841182731,0.187,0.293,2.21066609266492e-64,"ALOX5AP"
5.99883562436073e-66,0.797815228714768,0.152,0.095,1.12790107409231e-61,"PASK"
8.76742347268714e-66,-0.219004155550013,0.77,0.844,1.64845096133464e-61,"IFITM1"
1.31751264677044e-65,0.248976395596714,0.637,0.611,2.47718727845777e-61,"CD55"
1.36182255380156e-64,0.718344108635631,0.245,0.188,2.56049876565769e-60,"RPTOR"
1.7055606344005e-61,0.256722472412083,0.916,0.896,3.20679510479981e-57,"HNRNPA2B1"
1.93950428309332e-61,-0.165337998443869,0.757,0.83,3.64665595307206e-57,"PTPRCAP"
2.91555034374722e-60,0.187258782846925,0.967,0.965,5.48181775631352e-56,"H3-3A"
1.3130661851356e-59,-0.315965491103764,0.774,0.872,2.46882704129196e-55,"S100A11"
7.28120748050873e-57,-0.310263861456578,0.529,0.621,1.36901263048525e-52,"NIBAN1"
3.59033131790879e-55,-0.634133901231037,0.128,0.204,6.75054094393211e-51,"PARD6G"
5.56875781423093e-55,0.130833352214314,0.984,0.981,1.0470378442317e-50,"RPL27A"
7.09650700622495e-54,-0.351342653835729,0.842,0.906,1.33428524731041e-49,"LMNA"
4.45428050283238e-53,-0.129521944332327,0.497,0.601,8.37493820142545e-49,"ANXA5"
9.62965503550395e-53,0.00613024991045874,0.579,0.673,1.81056773977545e-48,"S100A4"
1.47945767972986e-52,0.270989631627344,0.794,0.762,2.78167632942808e-48,"CD7"
1.75003260960542e-52,-0.120360080054045,0.92,0.959,3.29041131258012e-48,"S100A10"
7.05101453446502e-52,1.02069353257523,0.103,0.051,1.32573175277011e-47,"TYROBP"
9.39750651231982e-52,-0.298827788672703,0.41,0.484,1.76691917444637e-47,"HLA-DRB1"
1.35838718919633e-51,-0.413129394109822,0.424,0.532,2.55403959312693e-47,"ATP8A1"
3.48034398258215e-51,-0.149601079305621,0.995,0.997,6.54374275605096e-47,"MT-CYB"
8.71577941533351e-51,-0.148780774941113,0.998,0.999,1.63874084567101e-46,"RPS21"
1.16238057636229e-50,-0.278168584423483,0.589,0.682,2.18550795967637e-46,"RORA"
7.81856002559443e-49,-0.466275582805361,0.27,0.354,1.47004565601226e-44,"HNRNPLL"
3.46248453906107e-48,-0.534460846842255,0.144,0.215,6.51016343034262e-44,"GZMK"
4.2271486643592e-48,0.199481882023341,0.685,0.703,7.94788491872818e-44,"CST7"
5.92715315809729e-48,-0.334353835775028,0.723,0.782,1.11442333678545e-43,"ATP1B3"
1.37714915325008e-47,0.514672056769086,0.419,0.344,2.58931583794081e-43,"TXNIP"
2.03958992283256e-46,-0.345109397068396,0.39,0.474,3.83483697290978e-42,"CYTOR"
2.57553999278863e-46,-0.319489210456271,0.237,0.298,4.84253029444118e-42,"GZMA"
8.52096539323572e-46,0.268243055608611,0.442,0.445,1.60211191323618e-41,"GZMH"
4.23511798813739e-44,-0.0869419880171511,0.852,0.898,7.96286884129592e-40,"GNG2"
6.22220116016368e-44,-0.359063060424507,0.318,0.405,1.16989826213398e-39,"DUSP10"
1.63226612234128e-43,0.25698977068017,0.941,0.936,3.06898676322607e-39,"HSP90AB1"
1.00798637799697e-42,0.556267639415453,0.462,0.402,1.89521598790991e-38,"SLA2"
1.01342838183941e-42,-0.0812393232592319,0.999,0.999,1.90544804353445e-38,"HLA-A"
2.94624180608128e-42,0.459421372582901,0.663,0.622,5.53952384379402e-38,"CD8B"
3.23542509021866e-42,0.104668419410288,0.998,0.999,6.08324625462913e-38,"RPS24"
9.76005524460806e-41,0.00662465029204817,0.895,0.855,1.83508558709121e-36,"RPS4Y1"
8.35504441097858e-40,-0.128086953415901,0.999,0.999,1.57091545015219e-35,"RPL39"
9.62995486103412e-40,0.0604430866204462,1,1,1.81062411297163e-35,"RPLP1"
1.25826163588698e-39,0.0674811196094982,0.999,0.999,2.36578352779471e-35,"RPS3A"
1.61426536929985e-39,0.269030788890427,0.521,0.495,3.03514174735757e-35,"PPP1CB"
4.32327609738983e-39,-0.162308490402764,0.389,0.448,8.12862371831237e-35,"C12orf75"
6.55113473163539e-39,-0.283236718503912,0.93,0.945,1.23174435224209e-34,"ZFP36"
7.77923223652869e-39,0.0225754947936005,1,1,1.46265124511212e-34,"TPT1"
1.1674297050718e-38,0.177480540373122,0.818,0.801,2.19500133147601e-34,"CDC42"
1.71359825270452e-38,0.235310789962259,0.673,0.633,3.22190743473505e-34,"PDE3B"
6.28275621397403e-38,-0.155437302532992,0.999,0.999,1.1812838233514e-33,"RPL36"
7.10508117263201e-38,-0.215840465509089,0.66,0.729,1.33589736207827e-33,"TMEM50A"
5.05447610360032e-37,0.0978856422350289,0.993,0.99,9.50342596998933e-33,"RPL21"
1.18811128535405e-36,0.187871925040322,0.912,0.907,2.23388683872268e-32,"EIF4A1"
9.79477290208727e-36,-0.187590989710498,0.946,0.969,1.84161320105045e-31,"MT-ND2"
1.76495909437118e-35,-0.372345442421415,0.246,0.327,3.3184760892367e-31,"TC2N"
