"Module","Cluster","n_pos","n_neg","mean_pos","mean_neg","cohens_d","p_value","p_adj","star"
"Cytotoxic_Effector","CD8+ Memory",980,2050,-1.02049410930471,-0.863463432645455,-0.327083692572682,3.21794768037463e-32,1.00287016536709e-30,"***"
"Cytotoxic_Effector","CD8+ Tem",3324,2288,-0.121516175768743,0.0385744917772905,-0.248198501551788,4.34036055454911e-20,4.34036055454911e-19,"***"
"Cytotoxic_Effector","CD8+ TEMRA",3543,2674,1.00726650521003,0.963592864127638,0.0776711633907585,0.11983919177867,0.177539543375808,""
"Cytotoxic_Effector","Innate-like T",520,215,-0.0767960426264081,-0.0918656413514406,0.0288934793078544,0.982785848239386,0.982785848239386,""
"TEMRA_Terminal","CD8+ Memory",980,2050,-0.699362474602405,-0.681917906543328,-0.0762397885923008,0.0565343649112943,0.0904549838580709,""
"TEMRA_Terminal","CD8+ Tem",3324,2288,-0.246319719622817,-0.203536958862636,-0.108185066601605,4.57180844025005e-06,1.52393614675002e-05,"***"
"TEMRA_Terminal","CD8+ TEMRA",3543,2674,0.422616293966946,0.387862620726038,0.0873462681320856,0.00841504696119199,0.016830093922384,"*"
"TEMRA_Terminal","Innate-like T",520,215,-0.287451900991955,-0.350055157953974,0.198349015266664,0.0089841816106522,0.0171127268774328,"*"
"Exhaustion","CD8+ Memory",980,2050,-0.0820383437667969,-0.0794868651138432,-0.0217610581392335,0.767241011804456,0.807622117688901,""
"Exhaustion","CD8+ Tem",3324,2288,0.00543382614604242,0.0143766141803301,-0.0538118336265415,0.00718997160852641,0.0151367823337398,"*"
"Exhaustion","CD8+ TEMRA",3543,2674,0.0213799007100195,-0.0175992191786627,0.236819827152352,1.26233959724154e-17,1.00987167779324e-16,"***"
"Exhaustion","Innate-like T",520,215,-0.0742379063540216,-0.0734181778786857,-0.00715913494183011,0.349963705088992,0.43745463136124,""
"Memory_StemLike","CD8+ Memory",980,2050,0.351265642999011,0.398450880055103,-0.126239819071245,0.00114050276708201,0.00304134071221869,"**"
"Memory_StemLike","CD8+ Tem",3324,2288,-0.188225460007578,-0.241185165452475,0.137077537191427,3.07219757361978e-07,1.36542114383102e-06,"***"
"Memory_StemLike","CD8+ TEMRA",3543,2674,-0.598116332771702,-0.562788665460764,-0.163374477933798,9.07254488130813e-09,4.53627244065406e-08,"***"
"Memory_StemLike","Innate-like T",520,215,-0.0332401088409849,0.0497308047779141,-0.280967682354628,0.000694610365011233,0.00198460104288924,"**"
"Innate_NKlike","CD8+ Memory",980,2050,-0.401336766142817,-0.350216542555005,-0.199425166870962,0.000231928031974066,0.000713624713766357,"***"
"Innate_NKlike","CD8+ Tem",3324,2288,-0.0956487131257102,0.0116459576488415,-0.345475658907939,5.01435082683543e-32,1.00287016536709e-30,"***"
"Innate_NKlike","CD8+ TEMRA",3543,2674,0.454040159286962,0.443117027374187,0.0327200305618351,0.378369957804815,0.458630251884624,""
"Innate_NKlike","Innate-like T",520,215,0.241597743366217,0.28233247976309,-0.143589860729968,0.0650273871601224,0.100042134092496,""
"Interferon_Response","CD8+ Memory",980,2050,-0.188036627532335,-0.163184347610425,-0.105345184872521,0.00568227190050015,0.0126272708900003,"*"
"Interferon_Response","CD8+ Tem",3324,2288,-0.115493750084212,-0.0403261315549526,-0.286931583160298,3.74948542221233e-27,4.99931389628311e-26,"***"
"Interferon_Response","CD8+ TEMRA",3543,2674,0.00312913089720186,0.00648899259592744,-0.0118130971902694,0.197007680348864,0.271734731515675,""
"Interferon_Response","Innate-like T",520,215,-0.124078942998845,-0.0675968310473621,-0.227688524147275,0.013161168428328,0.0239293971424146,"*"
"Glycolysis","CD8+ Memory",980,2050,0.069879533911364,0.128912121633495,-0.273190022470161,1.13948996886763e-12,7.59659979245085e-12,"***"
"Glycolysis","CD8+ Tem",3324,2288,0.231286119937485,0.197660851441541,0.155246105620107,4.44913662901035e-07,1.77965465160414e-06,"***"
"Glycolysis","CD8+ TEMRA",3543,2674,0.222293334787075,0.212740268923065,0.0464998712374221,0.293067196295919,0.378151221026992,""
"Glycolysis","Innate-like T",520,215,0.24136566430877,0.201188274865544,0.16711110859144,0.0417108688821938,0.0695181148036563,""
"OXPHOS","CD8+ Memory",980,2050,-0.102876140277619,-0.102016379852778,-0.0047615149151769,0.836234188580152,0.857676090851438,""
"OXPHOS","CD8+ Tem",3324,2288,-0.0916036430628614,-0.13068380763039,0.197198065630239,1.81553764474998e-12,1.03745008271428e-11,"***"
"OXPHOS","CD8+ TEMRA",3543,2674,-0.0507920018503603,-0.074990447330098,0.118088589354564,3.89287683086995e-06,1.4155915748618e-05,"***"
"OXPHOS","Innate-like T",520,215,-0.115042926517615,-0.130402774131329,0.0783155663598383,0.155153714068257,0.221648162954653,""
"Mitochondrial_Fitness","CD8+ Memory",980,2050,0.0404462312971438,0.0405589473008984,-0.000674440444344188,0.691612718849082,0.747689425782792,""
"Mitochondrial_Fitness","CD8+ Tem",3324,2288,0.00100869589314723,0.0134041219464679,-0.0716838796160278,0.00184133033126394,0.00460332582815985,"**"
"Mitochondrial_Fitness","CD8+ TEMRA",3543,2674,-0.021998777849451,-0.0105535602281749,-0.0673672824283937,0.00564839325565128,0.0126272708900003,"*"
"Mitochondrial_Fitness","Innate-like T",520,215,-0.0161747795583367,0.00117836332115676,-0.107010920959587,0.265544772067929,0.354059696090572,""
"Autophagy_Mitophagy","CD8+ Memory",980,2050,-0.0174863893880486,-0.000134960325342562,-0.100354288605792,0.027573538347207,0.0479539797342731,"*"
"Autophagy_Mitophagy","CD8+ Tem",3324,2288,-0.016720923328875,-0.0150529647204344,-0.0087354481440233,0.666273135829708,0.740303484255231,""
"Autophagy_Mitophagy","CD8+ TEMRA",3543,2674,-0.0019660171817194,-0.00716228621063146,0.0257700817120971,0.389839273273414,0.458634439145193,""
"Autophagy_Mitophagy","Innate-like T",520,215,0.0199168474599899,0.0118374947113558,0.0460096148134202,0.423794903520361,0.484337032594698,""
