"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRBV12-3",1.9537820021333e-14,9.34007850082322,0.561,0,3.67350092041103e-10
"TRAV13-1",2.45716645326614e-13,4.64420947617449,0.576,0.025,4.619964365431e-09
"TRBV4-1",1.40012544515829e-06,8.59584839642618,0.258,0,0.0263251586198662
"TRBV5-5",1.94590947003884e-06,-3.40189949328387,0.03,0.358,0.0365869898556702
"ENSG00000289901",2.07433913476719e-06,-3.86076670850023,0.091,0.432,0.0390017244118927
"CD300A",7.41138270729848e-06,2.99303018597776,0.348,0.062,0.139348817662626
"TRBV4-2",0.000307303043166438,7.36827719024022,0.152,0,1
"TRBV7-6",0.00328325400289552,-7.24878103824948,0,0.123,1
"TRBV6-5",0.000144804432138038,-6.3563459944104,0,0.198,1
"TRAV19",0.00328325400289552,-5.80449333336076,0,0.123,1
"TRAV4",0.000145369133153058,5.12641684209829,0.167,0,1
"TRAV5",6.34489899914882e-05,5.12349244230396,0.212,0.012,1
"SH3TC1",0.000417114988422126,-4.9375295914939,0,0.173,1
"TRAV2",0.00545458199077231,-4.24846461491674,0,0.111,1
"FIGNL1",0.00281974685129806,4.13297635430373,0.106,0,1
"RAD51C",0.000616418231904428,4.00476999498382,0.167,0.012,1
"CROCC",0.00545458199077231,-3.98093613111419,0,0.111,1
"GPR155",0.00545458199077231,-3.96888051278312,0,0.111,1
"ZBTB41",0.00328325400289552,-3.8892195122905,0,0.123,1
"TRAV1-1",0.00262085694971474,-3.81594115653137,0.015,0.16,1
"EIF3C",0.00545458199077231,-3.77167562508279,0,0.111,1
"ZNF80",0.000380606704272945,-3.40949300807444,0.015,0.21,1
"ATL1",0.00110874282031253,3.12812200828517,0.182,0.025,1
"HAGHL",0.00284037908409244,3.09758939382001,0.136,0.012,1
"MNDA",0.0178426733137609,3.0590060532681,0.121,0.025,1
"TPM1",0.00704870440112101,2.89829601809551,0.121,0.012,1
"RSPH3",0.00704870440112101,2.85085113050075,0.121,0.012,1
"TRGV3",0.00347737249520433,2.84757787884948,0.136,0.012,1
"C9orf72",0.0221045623099814,-2.80224678231065,0.015,0.111,1
"TBC1D7",0.0127218130796869,2.79580381752752,0.106,0.012,1
"TM2D2",0.0085711180077976,-2.70235184300364,0.015,0.136,1
"TRERF1",0.0215909119807544,-2.63843105557602,0.015,0.111,1
"NUS1",0.00101464960675954,2.59927774360258,0.242,0.062,1
"RRP8",0.00204216475162623,-2.55637070716939,0.015,0.173,1
"TMEM184C",0.00132673375744495,-2.54554649996383,0.03,0.21,1
"IFT20",0.00365013204837317,-2.47953614870543,0.03,0.185,1
"NCLN",0.0226288087337553,-2.4680735204749,0.015,0.111,1
"HVCN1",0.00686849165884001,2.44342140304358,0.167,0.037,1
"PSTK",0.0215909119807544,-2.44338565273157,0.015,0.111,1
"RABL3",0.0221045623099814,-2.44135524700371,0.015,0.111,1
"PJA1",0.0237097957251904,-2.43233456652254,0.015,0.111,1
"HOOK2",0.0215909119807544,-2.40157680516235,0.015,0.111,1
"AMMECR1",0.0161756669557993,-2.38887919214151,0.03,0.148,1
"TMEM175",0.0187219104314672,2.38505493157232,0.121,0.025,1
"TOP3A",0.0106504580012488,-2.35828182793506,0.03,0.16,1
"TRAV27",0.0205947050686994,2.34355213442316,0.121,0.025,1
"CASS4",0.0226288087337553,-2.34145597164794,0.015,0.111,1
"RNF121",0.00899354954249563,-2.33887593200297,0.015,0.136,1
"ENTPD1-AS1",0.0410366000563564,2.33053593861389,0.106,0.025,1
"ZFYVE1",0.0410366000563564,2.29565748254329,0.106,0.025,1
"C1orf109",0.0201118059450721,2.28532873900662,0.121,0.025,1
"DELEC1",0.0146089317264346,2.26592306838364,0.106,0.012,1
"HECTD2",0.01794778814923,-2.26305136184645,0.03,0.148,1
"C2CD5-AS1",0.0102054266781004,-2.25809865020662,0.03,0.16,1
"TMEM106C",0.0248829806714914,2.25466125163061,0.136,0.037,1
"BBS2",0.0237097957251904,-2.23407879396373,0.015,0.111,1
"CLUH",0.0374660275765146,2.23129153693866,0.106,0.025,1
"ZBED6",0.035782202424188,2.22872736226661,0.106,0.025,1
"C6orf120",0.0128833118713547,2.22823498068341,0.152,0.037,1
"TNIP3",0.0181080170809067,-2.22146206860225,0.045,0.173,1
"CCDC117",0.0242668939278744,-2.20064041623775,0.015,0.111,1
"ETFB",0.019638817838314,2.19008299231166,0.121,0.025,1
"AGL",0.0242668939278744,-2.17290415881555,0.015,0.111,1
"ZNF765",0.0205947050686994,2.14320025436263,0.121,0.025,1
"TRGV7",0.108831407263437,2.08541534621196,0.121,0.049,1
"GFPT2",0.0115082325568911,2.08058370991401,0.136,0.025,1
"DNPH1",0.03511704644669,2.06479135629805,0.167,0.062,1
"MXI1",0.0243807908864811,-2.0567197681412,0.045,0.16,1
"ENSG00000225450",0.0242668939278744,-2.05435815865186,0.015,0.111,1
"CRKL",0.00470877570664834,-2.04923885641499,0.045,0.21,1
"ABCC10",0.0215909119807544,2.04088955015531,0.121,0.025,1
"USF2",0.0102054266781004,-2.03602493117567,0.03,0.16,1
"CYB5A",0.0260125843109923,-2.02357756973467,0.03,0.136,1
"GABPB1-AS1",0.0392168188644485,2.00884748046042,0.106,0.025,1
"UBASH3A",0.0165172585121961,-2.00499896361627,0.03,0.148,1
"ARID3B",0.0434935295840418,2.00407896060263,0.121,0.037,1
"TRMT6",0.00122229091187685,-2.00276274706151,0.045,0.247,1
"MRM2",0.0140748342466798,1.99433507588422,0.152,0.037,1
"TRGV9",0.00164768575178248,-1.9826671596136,0.182,0.383,1
"MFN2",0.0166397776845362,1.98046933724471,0.167,0.049,1
"ZNF675",0.00442841721173587,-1.97952108376157,0.045,0.21,1
"NARF",0.000129183154502723,1.96042939836731,0.409,0.136,1
"CDK19",0.0383611260952425,-1.95804798081319,0.03,0.123,1
"PBX2",0.0443886006280165,1.95012610593372,0.121,0.037,1
"NARS2",0.0633479814128627,-1.94895949009369,0.03,0.111,1
"LINC01943",0.0270907022934923,-1.93396593467242,0.03,0.136,1
"TTLL4",0.045299165618876,1.9234107290369,0.121,0.037,1
"IFI27",0.0195296502155732,1.92093955894202,0.167,0.049,1
"MRGBP",0.0106504580012488,-1.92076903113443,0.03,0.16,1
"ESRRA",0.0875217796097651,1.91747508682232,0.106,0.037,1
"ACAD9",0.0379133832849396,-1.90814878732495,0.045,0.148,1
"KRBOX5",0.0260125843109923,-1.90799920200091,0.03,0.136,1
"PARP9",0.00837241945032142,1.90588334010519,0.197,0.062,1
"ZNF611",0.0258769769676926,-1.89981140697534,0.061,0.185,1
"IFNG",0.210305836987412,1.89083208492515,0.242,0.173,1
"ZCCHC9",0.0132992039905243,1.88988392444875,0.136,0.025,1
"CXCR6",0.0287801239261561,-1.88645801363382,0.03,0.136,1
"NT5C",0.0179373672108131,1.88485659541145,0.182,0.062,1
"TRIM65",0.042927425241586,1.88469804646901,0.106,0.025,1
"MPI",0.0276440763880598,-1.88155271367502,0.03,0.136,1
"ZNF324",0.0410366000563564,1.87644052794686,0.106,0.025,1
"DNAJC11",0.0231638272462193,1.87303563387511,0.121,0.025,1
"ZNF600",0.0104240911611297,1.87300124644226,0.197,0.062,1
"NLRC3",0.000899333193255689,1.86413807596133,0.288,0.074,1
"PYGO2",0.0383611260952425,-1.86039875008172,0.03,0.123,1
"UBP1",0.0270907022934923,-1.85656287309772,0.03,0.136,1
"LDLRAD4",0.0129272059747282,-1.84827470190851,0.091,0.247,1
"CD38",0.0757909666829756,-1.84152327988276,0.061,0.148,1
"AP3D1",0.00159270369938127,-1.8395635173417,0.076,0.284,1
"SOAT1",0.00203398477544355,1.8361435133394,0.273,0.086,1
"ENSG00000243305",0.0471675813963925,1.83559772636405,0.121,0.037,1
"GTF3C3",0.0419730026120803,1.83066718984718,0.106,0.025,1
"KLHDC10",0.0101273215135443,1.82693911606792,0.212,0.074,1
"SSX2IP",0.0190908074986987,-1.81499502505826,0.03,0.148,1
"ADPRM",0.0272544308625995,-1.81073656614715,0.045,0.16,1
"ZNF281",0.0187029227156454,-1.80423757548282,0.03,0.148,1
"SC5D",0.0272544308625995,-1.80171685907789,0.045,0.16,1
"PRKAB2",0.0448913778127815,1.79999657590487,0.106,0.025,1
"EOGT",0.0407200380713716,-1.7969910996515,0.03,0.123,1
"PNKD",0.0112744276093412,-1.79608102678744,0.045,0.185,1
"TRBV11-3",0.0115762286069451,1.79072052948353,0.182,0.049,1
"DENND6A",0.0399204296573913,-1.79059561581723,0.03,0.123,1
"C7orf50",0.0379133832849396,-1.78872108249494,0.045,0.148,1
"C18orf21",0.0386046422932349,-1.77571094957742,0.045,0.148,1
"SLC25A16",0.0645727691610757,-1.77559534185406,0.03,0.111,1
"BDH2",0.0696688731023116,-1.77503778924236,0.03,0.111,1
"MRPS23",0.0126079756413761,-1.76675438498531,0.03,0.16,1
"CASP2",0.0164662454191312,1.76594190342752,0.197,0.074,1
"TAPBPL",0.0645727691610757,-1.76411440753391,0.03,0.111,1
"DDX27",0.00212376104797756,-1.76161662126542,0.091,0.296,1
"MICA",0.0300525076166494,1.76101777804505,0.136,0.037,1
"PIK3R4",0.0119520405513785,-1.75725302345881,0.045,0.185,1
"FBXL17",0.0207539517850228,-1.75378806660919,0.076,0.21,1
"NKAPD1",0.0152343353383233,1.74981733691551,0.227,0.099,1
"LEO1",0.0362235058699661,1.74487831063143,0.197,0.086,1
"SMC2",0.0633479814128627,-1.73980854456223,0.03,0.111,1
"TBC1D17",0.0645727691610757,-1.73698521977155,0.03,0.111,1
"RUNX2",0.00639910300667382,-1.73573092296193,0.061,0.222,1
"ENSG00000288064",0.0386046422932349,-1.72942943698914,0.045,0.148,1
"CAMK2N1",0.044839394103785,1.723742098265,0.167,0.062,1
"KLHL11",0.0432007614030917,-1.72208066823307,0.03,0.123,1
"TTC38",0.0521239519289234,1.71274729095099,0.121,0.037,1
"WDFY2",0.056127724609568,-1.71174231590329,0.106,0.222,1
"TRAV8-4",0.004595772298613,-1.71130258142898,0.106,0.296,1
"TADA2B",0.0276440763880598,-1.71031450084726,0.03,0.136,1
"DBF4",0.0148825592438316,-1.69047947073437,0.061,0.21,1
"CRK",0.0267561010549291,-1.68918710940145,0.045,0.16,1
"GALNT6",0.0242668939278744,-1.68799890716036,0.015,0.111,1
"EHMT2",0.052697446461445,1.68699568433709,0.136,0.049,1
"COMMD7",0.0117880926513762,-1.68625421656748,0.061,0.21,1
"APPBP2",0.0223222101439494,1.68508188918266,0.197,0.074,1
"GFOD1",0.00691628904045828,1.66894477356975,0.242,0.086,1
"TRAV8-2",0.0921150399503874,-1.6687248229284,0.045,0.123,1
"GABPA",0.0122235166483413,-1.66686813477388,0.061,0.21,1
"CGAS",0.0134164394583724,-1.66685628795963,0.045,0.185,1
"ATAD2",0.0645727691610757,-1.66611924343408,0.03,0.111,1
"LRIG1",0.0293630683968492,-1.6640028359045,0.03,0.136,1
"ZNF576",0.0875217796097651,1.65654279588924,0.106,0.037,1
"MCTS1",0.105812611612571,1.65496904025835,0.136,0.062,1
"XKR8",0.0542249622279699,1.65231838379913,0.121,0.037,1
"NOL4L",0.0181080170809067,-1.64820799200347,0.045,0.173,1
"APPL2",0.0287977595784392,-1.64449731215914,0.045,0.16,1
"FMNL3",0.0961111674174089,1.64419229450843,0.106,0.037,1
"AUH",0.0122235166483413,-1.64201766731312,0.061,0.21,1
"EXOC7",0.0400193303526646,-1.63721086897822,0.045,0.148,1
"SLC4A7",0.0400871705793284,-1.63230749162502,0.106,0.222,1
"EIF2B5",0.0501807992693952,1.62712274417163,0.197,0.099,1
"ODR4",0.0437496346070035,-1.62534648491066,0.045,0.148,1
"NUDT22",0.0891980183784445,1.62335737097532,0.167,0.086,1
"TRIM26",0.000775384364178601,-1.61297415338376,0.121,0.383,1
"TRIM13",0.0161035738460768,1.6109680811181,0.227,0.086,1
"C19orf12",0.0153322488770867,-1.60834338814726,0.015,0.123,1
"ACOT2",0.0287977595784392,-1.60778407097684,0.045,0.16,1
"SLC25A24",0.105259864349244,1.60598511099513,0.121,0.049,1
"UQCC2",0.0429809368942612,-1.60506915306643,0.045,0.148,1
"IPO8",0.00290578999013692,1.60313557284634,0.333,0.136,1
"CTU2",0.0177309139132792,-1.60226096106039,0.091,0.235,1
"GALNT7",0.0398497277715764,-1.60030745590261,0.061,0.173,1
"RP2",0.0553016868381549,1.60015455758948,0.121,0.037,1
"GZMK",0.0152771038019429,-1.59968900408582,0.136,0.296,1
"TBC1D10B",0.0115926035089364,-1.59944402420193,0.03,0.16,1
"ENOSF1",0.0423600299672845,-1.59882877560037,0.03,0.123,1
"NLRP1",0.000412602964783205,-1.59748223952317,0.121,0.383,1
"SOCS3",0.0445299100510375,-1.59080507000769,0.045,0.148,1
"NUDCD2",0.0228925710639379,1.58536917689854,0.212,0.086,1
"UFSP2",0.0144787470546558,1.5848188109087,0.197,0.062,1
"HIRIP3",0.0918947204506095,1.58465020417107,0.121,0.049,1
"PWP2",0.0559969414868161,-1.58175273064671,0.061,0.16,1
"MAFF",0.0696688731023116,-1.58161753496433,0.03,0.111,1
"NOL12",0.0390380573842849,1.57511040045962,0.167,0.062,1
"INTS13",0.021234382358341,1.56993930328075,0.182,0.062,1
"CSRNP2",0.0553016868381549,1.55659753843684,0.121,0.037,1
"TRAF3IP3",0.0458917781850689,-1.55046273026518,0.076,0.185,1
"ILF3-DT",0.0467060318504028,-1.55008369832272,0.03,0.123,1
"CASK",0.0189055133956394,-1.5439880634404,0.091,0.235,1
"ITGB3BP",0.0542249622279699,1.5407246643057,0.121,0.037,1
"TPRG1",0.0847708219744621,-1.53892370664009,0.076,0.173,1
"AKAP11",0.166679561639592,1.53666050619836,0.106,0.049,1
"ENSG00000274767",0.0429939047459976,1.53330332775014,0.212,0.099,1
"BRD3",0.0665279125645466,1.53120061236106,0.152,0.062,1
"KPNA6",0.00699949881133451,-1.53072254719789,0.091,0.272,1
"TDP1",0.0115241255133844,-1.52542613264749,0.076,0.235,1
"PCNT",0.0753791615996256,1.52394898747869,0.258,0.16,1
"SERTAD3",0.0485465704339962,-1.51508904993613,0.03,0.123,1
"ARL3",0.116889824100313,-1.51277500804236,0.061,0.136,1
"HSPA1B",0.0221967893333105,1.51185185003127,0.288,0.136,1
"SIN3B",0.112498136349693,1.50944621279848,0.121,0.049,1
"SLC14A1",0.099730463337957,1.50816928514549,0.106,0.037,1
"JOSD2",0.161505665655058,1.50553715655387,0.106,0.049,1
"NVL",0.108831407263437,1.49959187705785,0.121,0.049,1
"ZNG1A",0.00750453042354183,1.49726809029821,0.288,0.123,1
"CARD8-AS1",0.105259864349244,1.4970744315582,0.121,0.049,1
"DVL2",0.0510992469382839,1.49172236782599,0.121,0.037,1
"ENSG00000259589",0.0626026923600249,-1.49013188097473,0.045,0.136,1
"TRAF3IP1",0.0414777546697203,-1.48912515136173,0.045,0.148,1
"PRANCR",0.107472654273215,1.48644676610633,0.136,0.062,1
"NCSTN",0.0304194591925815,1.48609249446586,0.197,0.074,1
"FZR1",0.053478212096795,-1.48139530346654,0.076,0.185,1
"CAMK2D",0.028843282705301,1.48015097243502,0.212,0.086,1
"XAF1",0.0418725741439913,-1.47820494661684,0.061,0.173,1
"PLEKHG1",0.153534312104599,1.47326217356619,0.152,0.086,1
"RPF1",0.0951009564148159,1.46953677414436,0.121,0.049,1
"PMF1",0.0135340394778728,-1.4629626542182,0.152,0.321,1
"ZNF778",0.0967373499650695,1.46279253703103,0.121,0.049,1
"ZNF235",0.0642549062126901,1.46035110596823,0.136,0.049,1
"TMEM120B",0.0620102456149461,1.45468437297772,0.136,0.049,1
"REXO1",0.0693516827044956,-1.45078028887865,0.045,0.136,1
"MAN2C1",0.0696688731023116,-1.45002148942921,0.03,0.111,1
"CCNB1IP1",0.116084351157423,1.44684843833179,0.136,0.062,1
"DDX20",0.0737038739959356,-1.44606527087619,0.03,0.111,1
"UTP3",0.0931277660452475,1.44382220041462,0.167,0.086,1
"GPN2",0.0598308669825998,1.44368087840527,0.136,0.049,1
"DCAF15",0.023039582678702,1.44200257064911,0.227,0.099,1
"HCCS",0.0467060318504028,-1.44164453253006,0.03,0.123,1
"ZC3H12B",0.0980429082411892,-1.4378533899302,0.091,0.185,1
"TRIM44",0.023039582678702,1.43552029839531,0.227,0.099,1
"TAX1BP3",0.0418725741439913,1.43547437606361,0.182,0.074,1
"ST3GAL1",0.0475412689874392,-1.43507397700792,0.106,0.222,1
"SERGEF",0.0586392732690639,1.43062718677291,0.121,0.037,1
"TAF11",0.0328001077150926,-1.42718318337887,0.061,0.185,1
"ATG101",0.0124916590558299,1.42430586813241,0.273,0.123,1
"TTC7A",0.0659060179462854,-1.42144594546735,0.045,0.136,1
"MRPL28",0.0329197737006898,-1.42135067712184,0.091,0.222,1
"YARS2",0.0647893026870796,-1.41675230305599,0.045,0.136,1
"INTS7",0.0263257595901757,-1.4148427804538,0.061,0.185,1
