"Population","Module","Meta_Field","Present","Missing","Present_Genes","Missing_Genes"
"TotalCD8","Cytotoxicity_PRF1_GZMB","MS_TotalCD8_Cytotoxicity_PRF1_GZMB",2,0,"PRF1;GZMB",""
"TotalCD8","Cytotoxicity_Broad","MS_TotalCD8_Cytotoxicity_Broad",6,0,"PRF1;GZMB;NKG7;GNLY;GZMH;CTSW",""
"TotalCD8","FasL_FASLG","MS_TotalCD8_FasL_FASLG",1,0,"FASLG",""
"TotalCD8","Primary_IFN_I_module","MS_TotalCD8_Primary_IFN_I_module",12,0,"ISG15;IFIT1;IFIT2;IFIT3;IFI6;IFI27;MX1;MX2;OAS1;OAS2;OAS3;BST2",""
"TotalCD8","IFN_Effector_module","MS_TotalCD8_IFN_Effector_module",9,0,"ISG15;IFIT1;IFIT2;IFIT3;MX1;MX2;OAS1;OAS2;OAS3",""
"TotalCD8","IFN_signalling_module","MS_TotalCD8_IFN_signalling_module",6,0,"STAT1;STAT2;IRF7;IRF9;IRF1;IRF3",""
"TotalCD8","IFN_negative_regulation_module","MS_TotalCD8_IFN_negative_regulation_module",3,0,"USP18;SOCS1;SOCS3",""
"TotalNK","Cytotoxicity_PRF1_GZMB","MS_TotalNK_Cytotoxicity_PRF1_GZMB",2,0,"PRF1;GZMB",""
"TotalNK","Cytotoxicity_Broad","MS_TotalNK_Cytotoxicity_Broad",6,0,"PRF1;GZMB;NKG7;GNLY;GZMH;CTSW",""
"TotalNK","FasL_FASLG","MS_TotalNK_FasL_FASLG",1,0,"FASLG",""
"TotalNK","Primary_IFN_I_module","MS_TotalNK_Primary_IFN_I_module",12,0,"ISG15;IFIT1;IFIT2;IFIT3;IFI6;IFI27;MX1;MX2;OAS1;OAS2;OAS3;BST2",""
"TotalNK","IFN_Effector_module","MS_TotalNK_IFN_Effector_module",9,0,"ISG15;IFIT1;IFIT2;IFIT3;MX1;MX2;OAS1;OAS2;OAS3",""
"TotalNK","IFN_signalling_module","MS_TotalNK_IFN_signalling_module",6,0,"STAT1;STAT2;IRF7;IRF9;IRF1;IRF3",""
"TotalNK","IFN_negative_regulation_module","MS_TotalNK_IFN_negative_regulation_module",3,0,"USP18;SOCS1;SOCS3",""
