"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-1.5710203006069,0.947,1,0,"RPS26"
2.75404671611548e-308,-3.1072652722363,0.125,0.453,5.17815863564032e-304,"ENSG00000289901"
1.345058563387e-307,-0.41633749846472,1,1,2.52897911088024e-303,"RPS10"
9.34367793926662e-305,-0.563187592837751,0.997,0.999,1.75679832614091e-300,"MT-CO3"
1.26431681629097e-238,-0.416085352927738,0.998,1,2.37716847799029e-234,"MT-CO1"
6.96077844089611e-165,-3.84850749763024,0.017,0.184,1.30876556245729e-160,"HLA-G"
2.01154058974413e-109,-0.459488260330747,0.922,0.969,3.78209861683691e-105,"MT-ND4"
6.1736443084817e-109,-0.529209228855508,0.724,0.882,1.16076860288073e-104,"CTSW"
3.79114141099882e-100,-0.346389656610033,0.994,0.998,7.12810408095998e-96,"MT-ATP8"
4.83158614338508e-99,-1.97750062839225,0.06,0.203,9.08434826679263e-95,"ANK2"
9.77916745031403e-91,-0.705235514106347,0.629,0.768,1.83867906400804e-86,"IFITM2"
1.61762155785258e-86,-0.420390208523756,0.894,0.95,3.04145205307442e-82,"MT-ATP6"
5.46013571232545e-85,-0.324911263648601,0.983,0.992,1.02661471663143e-80,"MT-ND4L"
1.70564417409937e-73,-0.794402187587376,0.318,0.491,3.20695217614163e-69,"CMC1"
1.86221823504389e-72,-0.889022171887934,0.121,0.265,3.50134272552953e-68,"CCL4L2"
1.98798572666746e-71,-0.36001246296471,0.951,0.971,3.73781076328016e-67,"MT-ND1"
5.93778969803863e-68,1.47943934983243,0.207,0.088,1.11642321902522e-63,"HLA-DRB5"
3.5313492574505e-66,2.39441395584902,0.12,0.032,6.63964287385843e-62,"TYROBP"
3.75508235028118e-61,0.593536976381933,0.673,0.555,7.06030583499867e-57,"SLA2"
4.79228143662902e-59,-0.257691305451593,0.995,0.997,9.01044755714989e-55,"MT-CYB"
5.18128724636078e-59,-0.151508454784295,1,1,9.74185628060754e-55,"HLA-B"
1.80724906264897e-58,-0.165208094159837,1,1,3.3979896875926e-54,"RPS28"
1.63350187840137e-57,-0.833703368224388,0.21,0.354,3.07131023177026e-53,"ALOX5AP"
9.81500464887727e-54,-0.156072218735988,1,1,1.8454171740819e-49,"RPL39"
2.31708207812021e-53,0.532972157994392,0.759,0.696,4.35657772328162e-49,"CD8B"
3.49717513774178e-51,-0.655105089463135,0.446,0.582,6.5753886939821e-47,"ITM2A"
2.42171253899603e-50,-0.199321456924181,0.998,0.999,4.55330391582033e-46,"RPS29"
2.58165321862895e-50,2.23418856042195,0.104,0.031,4.85402438166615e-46,"TRGV5"
1.92553016062223e-48,0.434810620890212,0.796,0.708,3.62038180800192e-44,"CD7"
1.49565194527457e-47,-0.421170441095128,0.8,0.886,2.81212478750526e-43,"LMNA"
1.87867205287974e-47,-0.319218581184471,0.923,0.959,3.53227919382449e-43,"MT-ND2"
4.53961948808716e-46,-0.151311650879631,1,1,8.53539256150149e-42,"RPS21"
1.94529775125126e-45,-0.254788294690998,0.966,0.977,3.65754883190261e-41,"MT-ND5"
2.24212941440775e-43,-1.6876357355572,0.037,0.109,4.21565172496945e-39,"ARL17B"
9.0454743228669e-43,-1.40085697350995,0.05,0.128,1.70073008218543e-38,"TRBV7-2"
3.53965310320057e-41,-0.400833710465871,0.727,0.818,6.6552557646377e-37,"CD2"
2.22221477646971e-39,-0.474073295505822,0.692,0.77,4.17820822271836e-35,"ATP1B3"
1.12357215706689e-37,-0.437430301423709,0.569,0.69,2.11254036971717e-33,"HLA-DRB1"
2.7949112475634e-36,-0.603165520257409,0.252,0.371,5.2549921276687e-32,"KLRG1"
4.66095409350294e-36,0.336974369699288,0.812,0.732,8.76352588660423e-32,"PIK3R1"
5.77658539576412e-36,-0.372308824416415,0.535,0.657,1.08611358611157e-31,"GNLY"
2.72395641364908e-35,0.447702433349508,0.643,0.551,5.12158284894299e-31,"PDE3B"
8.37022517140693e-35,0.933371583303507,0.221,0.131,1.57376973672793e-30,"TRGV2"
9.16200315625198e-35,-0.794110096606534,0.163,0.264,1.7226398334385e-30,"AHR"
2.01038787719594e-34,0.214539888123516,0.979,0.962,3.77993128670381e-30,"OAZ1"
5.18646698355124e-34,1.53362770899398,0.106,0.043,9.75159522247304e-30,"GOLIM4"
2.89337608250548e-33,-0.421467559352319,0.461,0.586,5.4401257103268e-29,"CYTOR"
3.80103301036735e-33,0.417318608695338,0.707,0.636,7.1467022660927e-29,"PRF1"
5.11238434099135e-33,-0.247868026583011,0.975,0.981,9.61230503793193e-29,"JUND"
2.1553833817997e-30,1.45654042324698,0.121,0.058,4.0525518344598e-26,"CD38"
3.6485572129868e-29,0.489850356646824,0.508,0.427,6.86001727185779e-25,"GRK2"
5.31582894044402e-29,-0.610402804203808,0.168,0.262,9.99482157382285e-25,"GZMK"
9.10098804305509e-29,0.643336842679165,0.229,0.142,1.71116777185522e-24,"CD300A"
1.29227535376234e-28,-0.148273094377033,0.997,0.998,2.42973612014395e-24,"MT-CO2"
1.592995325981e-28,0.833661502730482,0.259,0.178,2.99514981190948e-24,"RPTOR"
6.95071821573336e-28,0.435934943903044,0.547,0.465,1.30687403892219e-23,"MAZ"
2.03515855423323e-27,-0.104877938783135,1,1,3.82650511366932e-23,"RPL37"
2.63955976774991e-27,0.640280975674035,0.389,0.304,4.96290027532337e-23,"CLIC3"
7.56324592002628e-27,-0.126671198064852,1,1,1.42204149788334e-22,"RPL36"
1.31931005892438e-26,-0.132913712218916,0.995,0.995,2.48056677278961e-22,"RBFOX2"
2.22759703278423e-26,-0.457938614408924,0.263,0.368,4.1883279410409e-22,"TC2N"
2.26961825159109e-26,-0.107084595969847,0.999,1,4.26733623664157e-22,"RPL35A"
4.83157135717232e-26,-0.773448195477108,0.078,0.146,9.08432046575539e-22,"TRGV9"
5.35396755259827e-26,-0.84823847590775,0.09,0.16,1.00665297923953e-21,"SSBP2"
1.25112090821153e-25,0.539592550407943,0.434,0.347,2.35235753161932e-21,"TXNIP"
1.57359934849688e-25,-0.951372317438833,0.073,0.138,2.95868149504383e-21,"ENSG00000274767"
2.99682945520369e-24,-0.10085953386463,1,1,5.63463874167398e-20,"RPS15"
6.19926526916128e-24,-0.252466900771881,0.804,0.866,1.1655858559077e-19,"IFITM1"
9.46506894155617e-24,0.852867789207358,0.193,0.124,1.77962226239139e-19,"CLSTN3"
1.53777042240943e-23,0.295997805216976,0.777,0.744,2.8913159482142e-19,"SH2D2A"
2.57444107222015e-23,0.874559474385575,0.308,0.236,4.84046410398832e-19,"ENSG00000235979"
3.18231395651471e-23,-0.479861250096879,0.327,0.421,5.98338670103896e-19,"HNRNPLL"
4.23088680912921e-23,1.03293835126818,0.12,0.064,7.95491337852473e-19,"SLC12A7"
4.54815794212849e-23,0.482348444739807,0.348,0.264,8.55144656278998e-19,"SMDT1"
5.39518681436034e-23,-1.17284387066289,0.06,0.116,1.01440302483603e-18,"THBS1"
1.20602018780032e-22,-0.457914091864644,0.624,0.696,2.26755915710216e-18,"NFKBIA"
2.4879626166364e-22,-0.367604793914093,0.342,0.445,4.67786731179976e-18,"AKT3"
2.81617351349355e-22,-0.195702286512153,0.885,0.925,5.29496944007057e-18,"PPDPF"
7.06842293010548e-22,-0.111869765022086,0.998,0.998,1.32900487931843e-17,"RPL37A"
9.59321933338598e-22,0.207994797568024,0.95,0.951,1.80371709906323e-17,"CST7"
1.51833310255302e-21,-0.545913398149775,0.222,0.308,2.85476989942019e-17,"NR4A3"
1.56796669437851e-21,0.170613492632141,0.966,0.955,2.94809097877047e-17,"H3-3A"
1.91370761106961e-21,-0.381711551162995,0.406,0.5,3.59815305033309e-17,"KDM6B"
3.19487525592081e-21,0.846394233408007,0.201,0.137,6.00700445618231e-17,"APOBEC3F"
3.79201747744331e-21,0.202469241778493,0.907,0.887,7.12975126108891e-17,"HNRNPA2B1"
3.84614760257805e-21,0.461425681206546,0.363,0.284,7.23152672236725e-17,"KLRC4"
