"Module","Cluster","n_pos","n_neg","mean_pos","mean_neg","cohens_d","p_value","p_adj","star"
"Naive_Persistence","CD4+ KLRG1+ Tem",246,375,-0.649892145074619,-0.701715397237936,0.227400156827838,0.000712322080794186,0.00197258422373775,"**"
"Naive_Persistence","CD4+ Naïve",3822,914,0.164594024466649,0.278250125271368,-0.37018328939664,5.15491975592302e-20,9.27885556066143e-19,"***"
"Naive_Persistence","CD4+ Tcm",3407,2532,-0.138231052827357,-0.189948794385323,0.178531930980062,1.16686662682065e-11,7.92342418998781e-11,"***"
"Naive_Persistence","CD4+ Treg",492,399,-0.156179910388824,-0.214928684550356,0.1747119101083,0.00751351847422649,0.0135243332536077,"*"
"IL2_STAT5_Cytokine","CD4+ KLRG1+ Tem",246,375,-0.152389939509643,-0.183404314952466,0.148268896546118,0.0633234101865756,0.099114902900727,""
"IL2_STAT5_Cytokine","CD4+ Naïve",3822,914,-0.155503607942632,-0.108593913081959,-0.235738401215568,1.84933669231033e-09,8.32201511539647e-09,"***"
"IL2_STAT5_Cytokine","CD4+ Tcm",3407,2532,-0.136652456634706,-0.118931884255396,-0.0873317707432166,0.00277175868654276,0.00586960663032585,"**"
"IL2_STAT5_Cytokine","CD4+ Treg",492,399,-0.100582594993157,-0.115267406192767,0.0666438776471124,0.215486307780108,0.254594249784043,""
"NFkB_Inflammatory","CD4+ KLRG1+ Tem",246,375,-0.0118303414831989,0.203876024528308,-0.517553180636453,2.29438493375096e-09,9.17753973500382e-09,"***"
"NFkB_Inflammatory","CD4+ Naïve",3822,914,-0.238842800572377,-0.13938918018662,-0.25779154714339,5.36795509436604e-13,4.83115958492943e-12,"***"
"NFkB_Inflammatory","CD4+ Tcm",3407,2532,-0.130354042406993,0.0136372105631993,-0.326751107171672,5.05494360413296e-29,1.81977969748787e-27,"***"
"NFkB_Inflammatory","CD4+ Treg",492,399,-0.228201477929646,-0.137270207885086,-0.233105535662989,0.00402334135636737,0.00804668271273475,"**"
"Cytotoxic_Terminal","CD4+ KLRG1+ Tem",246,375,1.03166448040426,1.32964387648626,-0.580443337360461,2.35688809874563e-11,1.2121138793549e-10,"***"
"Cytotoxic_Terminal","CD4+ Naïve",3822,914,-0.191877242902271,-0.205319499200969,0.202094537296608,3.33892851835935e-09,1.20201426660937e-08,"***"
"Cytotoxic_Terminal","CD4+ Tcm",3407,2532,-0.0987216424616924,-0.0749106568841334,-0.166526045825829,2.82788680994106e-15,3.39346417192927e-14,"***"
"Cytotoxic_Terminal","CD4+ Treg",492,399,-0.138425283679758,-0.119136534960243,-0.172336267192813,0.000922219975198382,0.00237142279336727,"**"
"Interferon_Response","CD4+ KLRG1+ Tem",246,375,0.724474959511599,0.766579264082894,-0.157372104657551,0.00592555473763315,0.0112273668713049,"*"
"Interferon_Response","CD4+ Naïve",3822,914,0.414292822561929,0.422598590604003,-0.0445566330516277,0.108521288123921,0.156270654898446,""
"Interferon_Response","CD4+ Tcm",3407,2532,0.468969370857665,0.470864440309125,-0.00833932019130623,0.438075894257331,0.477900975553452,""
"Interferon_Response","CD4+ Treg",492,399,0.497920630587433,0.513799712525731,-0.0576350140039683,0.197712339916065,0.245436008171667,""
"Glycolysis","CD4+ KLRG1+ Tem",246,375,0.225091208767555,0.209912212299822,0.0681032795138863,0.497794210408958,0.512016902134928,""
"Glycolysis","CD4+ Naïve",3822,914,0.0638128249030081,0.0300052689861392,0.167062636793316,5.55230790858033e-05,0.000181711895189902,"***"
"Glycolysis","CD4+ Tcm",3407,2532,0.115116796177676,0.102267328895501,0.0593853672398682,0.122881757053622,0.170143971305015,""
"Glycolysis","CD4+ Treg",492,399,0.12665172981853,0.111886507374166,0.0664351305040226,0.278290009830434,0.313076261059238,""
"OXPHOS","CD4+ KLRG1+ Tem",246,375,-0.15596377726719,-0.109660194714142,-0.232639972690307,0.00966196934110438,0.0165633760133218,"*"
"OXPHOS","CD4+ Naïve",3822,914,-0.122198363187676,-0.14523244631339,0.12920065566124,0.0010996655263674,0.00263919726328176,"**"
"OXPHOS","CD4+ Tcm",3407,2532,-0.164801178718431,-0.180499712348588,0.0883699798129418,0.00135351130614788,0.00304540043883273,"**"
"OXPHOS","CD4+ Treg",492,399,-0.0985481961632737,-0.123705442810525,0.129042375038792,0.143476480901445,0.19130197453526,""
"Mitochondrial_Fitness","CD4+ KLRG1+ Tem",246,375,-0.159934885406992,-0.196556391813648,0.205926073478231,0.0191275312069677,0.0312995965204925,"*"
"Mitochondrial_Fitness","CD4+ Naïve",3822,914,-0.114961192665182,-0.110554336604555,-0.0257238347495623,0.490641689823985,0.512016902134928,""
"Mitochondrial_Fitness","CD4+ Tcm",3407,2532,-0.154522485356977,-0.150394484470243,-0.0247481580742415,0.193976748645042,0.245436008171667,""
"Mitochondrial_Fitness","CD4+ Treg",492,399,-0.143089027151686,-0.154388264847352,0.0630367584557613,0.645833739902604,0.645833739902604,""
"Autophagy_Mitophagy","CD4+ KLRG1+ Tem",246,375,0.0215648381876579,-0.00268874963099291,0.126467552124539,0.219233937314037,0.254594249784043,""
"Autophagy_Mitophagy","CD4+ Naïve",3822,914,-0.0543234571467061,-0.0788792468408674,0.142882462825923,0.000115839652501131,0.000347518957503394,"***"
"Autophagy_Mitophagy","CD4+ Tcm",3407,2532,0.00678668710251546,-0.0232255868795166,0.176580412603813,1.3205706983313e-11,7.92342418998781e-11,"***"
"Autophagy_Mitophagy","CD4+ Treg",492,399,0.0226890772300346,-0.00379279580837859,0.138801271957782,0.0784371223831342,0.117655683574701,""
