"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9"
"FGR",0,0.1508,0.1384,0.2825,0.1248,1,0.0942,0.0782,0.0575,0.3885
"FCRL5",0.2266,0.0642,0.2679,0,0.4929,1,0.0957,0.0477,0.359,0.0755
"SLAMF7",0.2199,0,1,0.181,0.1993,0.9224,0.3824,0.0744,0.4014,0.4414
"RGS13",0.0184,0.0216,0.3151,0,0.1027,1,0.0992,0.0267,0.0675,0.0148
"ZEB2",0,0.043,0.2583,0.1983,0.2049,1,0.2509,0.1265,0.1572,0.3833
"CD80",0.0503,0.0151,1,0.2235,0.0963,0.5635,0.1663,0.1117,0,0.3311
"CD86",0.0504,0.0187,0.2652,0.0141,0.0609,1,0.0862,0.0022,0,0.297
"MME",0.6707,0,0.2545,0.539,1,0.0922,0.2112,0,0.8335,0
"BCL6",0.5969,0.6218,0,0.1827,1,0.2904,0.4596,0.3636,0.8545,0.8607
"CD38",0.3334,0.5379,0.0516,0.1205,1,0,0.2995,0.4292,0.6207,0.1952
"JCHAIN",0.2812,0.5026,0.667,0.2181,0.345,0,1,0.3884,0.4603,0.2428
"EGR1",0.7822,0.011,0.9427,0.0763,0.2682,0.4985,0.3391,0.2079,0,1
"MZB1",0.4053,0.0404,0.3217,0.1431,1,0,0.1515,0.1203,0.2256,0.2503
"CD74",0.3035,0.7622,0.1196,0.6758,0.3558,1,0,0.5066,0.4217,0.1112
"EBF1",0.6091,0.237,0.5684,0,0.9114,0.8206,0.6608,0.5887,0.9569,1
"IRF4",0.9804,0.196,1,0.1007,0.8998,0,0.7292,0.8188,0.9834,0.5849
"CD83",1,0.5475,0.3807,0.322,0.5438,0,0.4744,0.672,0.7165,0.4908
"PRDM1",0.0483,0.0217,0.2181,0.0466,0.1244,0.256,1,0,0.0886,0.1903
"MYC",0.1539,0,1,0.0696,0.2651,0.0279,0.2072,0.2435,0.0415,0.3931
"CD72",0.1629,0,0.1673,0.0609,0.3181,1,0.0296,0.1857,0.3253,0.1981
"PAX5",0.4274,0.1693,0.0874,0,1,0.1678,0.3223,0.2384,0.5595,0.4826
"MS4A1",0.0366,0.2126,0.6704,0.6936,0.916,1,0,0.2769,0.4483,0.0198
"POU2AF1",0.278,0.3156,1,0.6748,0.4174,0,0.2396,0.3838,0.223,0.5567
"CD27",0,0.0036,1,0.5926,0.0724,0.1565,0.2623,0.0755,0.0788,0.1714
"NR4A1",1,0.0765,0.9083,0,0.3911,0.9567,0.4812,0.4358,0.4667,0.9638
"IGHA1",0,0.0107,1,0.2862,0.1475,0.5982,0.4732,0.225,0.0288,0.2342
"IGHG1",0.0112,0.0132,0.351,0.2934,1,0.6618,0.1076,0.0907,0,0.1548
"IGHD",0.4589,0.9952,0,0.6102,1,0.3439,0.3229,0.5063,0.6072,0.6281
"IGHM",0.4128,0.9762,0.1231,0.4082,1,0,0.3264,0.6252,0.4649,0.7811
"IL4R",0.6722,0.7219,0.0214,0.08,1,0,0.7117,0.5622,0.6008,0.9978
"CD19",0.1429,0.3484,0.3428,0.4765,0.3682,1,0.0406,0.3714,0.1526,0
"ITGAX",0.0015,0,0.1707,0.0698,0.0457,1,0.0912,0.0368,0.004,0.2017
"IRF8",0.5207,0.4836,0.2523,0,0.5651,0.4124,0.1087,0.4009,0.3705,1
"TNFRSF13B",0,0.0109,1,0.2944,0.0642,0.4971,0.1857,0.1377,0.0703,0.2524
"TOP2A",0.3163,0.0723,0.0614,0,0.2542,0.0141,0.2776,0.0276,0.2504,1
"TBX21",0.1256,0,0.4857,0.1656,0.0791,1,0.5369,0.1704,0.0092,0.1194
"CD79B",0.1507,0.9701,0.4002,1,0.9752,0,0.2508,0.5259,0.2944,0.463
"FCER2",0.8203,1,0.1659,0.4091,0.6974,0,0.3912,0.6849,0.8056,0.4932
"MEF2B",0,0.1307,0.3447,0.2912,0.6548,0.4248,0.1699,0.1686,0.2187,1
"CD79A",0.2283,0.5555,0,0.6998,0.3402,1,0.0122,0.3985,0.5892,0.0447
"SPIB",0.6144,0.6887,1,0.7097,0.5884,0,0.4774,0.8086,0.2018,0.6069
"DERL3",0.1958,0.1011,0.1902,0.3377,0.4057,0,0.21,0.2614,0.0197,1
"XBP1",0.2133,0.743,0.3405,0.5439,0.3052,0.9379,0.7156,0,1,0.4128
"CD1C",0,0.0873,1,0.8196,0.7279,0.1967,0.4201,0.9623,0.0347,0.5382
"CR2",1,0.6871,0.6072,0.3874,0.9973,0,0.3731,0.7531,0.6194,0.6045
"CD24",0.8985,0.527,0.7148,0.3535,0.919,0,0.5501,0.5633,1,0.2921
"MKI67",0,0.276,0.3289,0,0,0,1,0,0,0
"TCL1A",0.5627,0.4812,0.0223,0.1784,1,0,0.2922,0.5484,0.7632,0.3001
"FCRL4",0.0291,0,1,0.9239,0.205,0.5552,0.3232,0.2236,0,0
"AICDA",0,0,0,0.1004,0,0.43,0.0318,0,0,1
"TNFRSF17",0,0,0.163,0,0.4587,0,1,0,0,0
