"","0","1","2","3","4","5","6","7","8","9"
"ITGAE",0.0639,0.1516,0.8236,0.8504,0.1628,0.5598,1,0.0578,0,0
"ENG",0.0154,0.0253,0.0326,0,0.0897,0.0049,1,0,0.0118,0
"LAMP1",0.0446,0.0149,0.081,0.0979,0.0144,0.9871,0.0472,0.0222,0,1
"IFNGR1",0.1865,0.0684,0.0623,0.0123,0.155,0.0546,1,0,0.0288,0.4982
"ITGAL",0,0.1491,0.1789,0.0419,0.0142,0.1314,0.4358,0.0287,0.0495,1
"ITGAM",7e-04,7e-04,0.0031,3e-04,0,0,0.0012,0,0.0012,1
"ITGAX",0.0032,0.0085,0.1068,0.064,0.0037,1,0.0425,0.0126,0,0.5639
"IL2RB",0.045,0.0715,0,0.0199,0.0239,0.1713,1,0,0,0.0499
"IL3RA",0.0826,0.0735,0.0422,0.0018,0.0443,0,0.0761,0.028,0.9291,1
"IL4R",0.0053,0,0.1738,0.3555,0.001,0.0391,0.0679,1,0,0
"IL7R",0,0.0029,0.0177,0.0114,0.0069,0,1,0.0089,0,0
"ANPEP",0.0033,0.0042,0.0071,2e-04,0.0023,0.0136,0.0251,0.0081,0,1
"TNFRSF4",0,0.0264,0,0,0,0,1,0,0,0
"TNFRSF9",0.4694,0.0372,0.4239,0.1409,0,0.2314,1,0,0,0
"THBD",0.0011,0.007,0.0212,0.0312,0.0042,0.1121,0.0024,7e-04,0,1
"CD14",0.0819,0.0025,0.0132,0,0.0405,0.126,0.2254,0,0,1
"CTLA4",0.8226,0,0,0,9e-04,0,1,0,0,0
"CD40LG",0.0414,0.0807,0.5529,0,0.6191,0.2465,0.3309,0.0118,0.9228,1
"PVR",0.0043,0.0257,0.0037,0.0165,0.011,0,0,0.0092,0.0145,1
"KIR2DL1",0.2875,0.2421,0.4194,0.3935,1,0.2661,0.9738,0.018,0.3811,0
"KIR2DL3",0.1155,0.0037,0.1014,0.0052,0.0715,0.0412,1,0.0355,0,0.0496
"KIR3DL1",0.0959,0,0.2015,0.0157,0.0427,0.1708,1,0.072,0.1302,0.1631
"FCGR3A",0.0089,0.0439,0.0416,0.0286,0.0911,1e-04,1,0,0,0.6298
"KLRB1",0.0377,0,0.1509,0.0997,0,0.0373,1,0,0.0597,0
"CD163",0,0.0047,0.0025,0,0.0487,0.0462,1,0,0,0
"SIGLEC1",0.0068,0.0157,0.035,0.0338,0.1193,0.0689,1,0.1078,0.0375,0
"ITGB2",0,0.0397,0.0655,0.007,5e-04,0.079,0.266,0.0026,0.0077,1
"CXCR3",0.0029,0,0.0732,1,0.004,0.3719,0.1827,0.1193,0,0.0189
"CXCR5",0.3578,0.2639,0.1922,0.5973,0.0446,0,0.1272,0.2089,1,0.1548
"CD19",0.3559,0.0508,0.5223,0.7049,0,1,0.157,0.1309,0.7301,0.2093
"CCR4",0.0048,0.0044,0.039,0,0.038,0.0408,1,0.8101,0.0842,0.0138
"CCR5",0.0181,0.0024,0.0304,0.0105,0,0.0606,1,0.512,0,0.0916
"CCR6",0.4076,0.1559,0.2945,0.5381,0,0.3843,0.1368,0.1506,1,0.1729
"CD1C",0.427,0.1184,0.5061,0.9615,0,0.0593,0.2047,0.1656,1,0.2149
"CD1D",0.4242,0.1038,0.2262,0.401,0.0256,0,0.0075,0.0347,0.7147,1
"CD2",1e-04,0,0.0101,0.001,0.0026,0.0084,1,0.0101,0.0063,0.0607
"MS4A1",0.3106,0.005,0.7915,0.1859,0,0.884,0.0793,0.0289,1,0.28
"CR2",0.7865,0.5517,0.6103,0.6532,0.2834,0,0.456,0.5065,1,0.4658
"CD22",0.5989,0.2571,0.344,0.4396,0,0.844,0.1501,0.2261,1,0.271
"LAG3",0.1873,0,0,0,0,0.0019,1,0.3616,0,0
"CD226",0.0031,0,0.0178,0.0148,0.008,0.0218,0.0895,1,0.0018,0.0149
"FCER2",0.5119,0,0.2902,0,0,0,1,0,0,0
"CD24",0.1617,0.0284,1,0.2031,0.4595,0,0.2873,0.2545,0.4832,0.1906
"CD244",0.0031,0.0025,0.0134,0.0015,0.0042,0.0204,0.603,0.0219,0,1
"IL2RA",0.0731,0.0256,1,0.297,0.0187,0,0.7753,0.1442,0.6078,0.1444
"DPP4",0.0419,0,0.0881,0.0075,0.0346,0.0218,1,0.1099,0.0129,0.0983
"TNFRSF13B",0.0568,0.0014,0.0783,0.9667,0.0298,1,0.0281,0.1592,0.1404,0
"TNFRSF13C",0.3091,0.1527,0.3245,0.4835,0,0.2228,0.1209,0.1445,1,0.104
"CD27",0.0134,0,1,0.1144,0.0227,0.0474,0.8384,0.0884,0.0176,0.0531
"BTLA",0.2082,0,0.0849,1,0.002,0.4663,0.0864,0.1092,0.6537,0.0559
"CD274",0.1782,0.0049,0.1902,0.6792,0.2328,0.2856,1,0.0315,0.0809,0
"PDCD1",0,0,0,0,0,1,0.8728,0,0,0
"CD28",0,0.0033,0.0097,0.0064,0.0023,0.0169,1,0.0093,0.0387,0.0056
"CLEC4C",0.0359,0.0042,0.0308,0.0153,0.0197,0.0024,0.1552,0.0091,0,1
"PECAM1",0.1228,0.0621,0.0503,0.1142,0.0206,0,0.0826,0.8929,0.5036,1
"KLRK1",0.0146,0.0018,0.0012,0.0069,0,0,1,0,0,0
"SLAMF7",0.1515,0,0.1714,0.2812,0.0622,0.2594,0.7088,0.9512,0.3433,1
"FCGR2A",0.3483,0.3418,0.4908,0.6909,1e-04,1,0,0.1591,0.8613,0.2783
"CD33",0.0018,0.0126,0.0065,0,0.0139,0.0014,0.002,0.0055,0.0038,1
"NCR1",0.0533,0.0111,0.1364,0,0.0551,0.0958,1,0.3346,0.1421,0.467
"CR1",0.6863,1,0.5593,0.8599,0.2782,0,0.2706,0.4736,0.6112,0.6344
"CD36",0.0057,8e-04,0.0159,0,0.0052,0,0.018,0.6768,0.013,1
"CD38",0.3342,0.4947,0.0832,0.1408,0.4374,0,0.2393,0.2423,1,0.5653
"ENTPD1",0.5465,0.4963,0.5966,1,0,0.7838,0.1373,0.2225,0.367,0.7593
"CD3D",0.0024,0,0.0081,0.0018,0.0047,0.0069,1,0.006,0.0068,0.0535
"CD40",1,0.549,0.7878,0.5785,0.0923,0,0.2811,0.388,0.9961,0.2987
"ITGA2B",4e-04,0,0.012,0,0.0166,0.0034,0.0269,1,0.0168,0.0372
"CD45RA",0.1307,0.1536,1,0.3646,0,0.2891,0.3277,0.192,0.8507,0.3724
"CD45RO",0.0037,0.0037,0.0045,0,0.0013,0.0308,1,9e-04,0,0.137
"CD45",0.0149,0.854,0.8676,0.4179,0,0.2322,0.803,0.2918,0.9911,1
"CD47",0,0.6365,0.4164,0.048,0.017,0.3203,0.3084,0.5908,0.9001,1
"CD48",0,0.5808,0.8647,0.218,0.0912,0.7654,0.5795,0.1944,1,0.934
"ITGA1",0.0098,0.0011,0.0054,0,0.0028,0.0152,0.2077,0.0192,0.0431,1
"ITGA4",0.1592,0.2587,0.8634,0.4484,0,0.5269,0.4219,0.1735,1,0.719
"CD4",0.0035,8e-04,0.0044,8e-04,0.0106,0.0083,1,0.0015,0,0.3906
"CD5",0.0271,0.0404,0.0215,0.0065,0.0409,0,1,0.0438,0.4859,0.0764
"CD52",0.095,0.0236,1,0.1783,0,0.3437,0.5625,0.0388,0.9338,0.3455
"ICAM1",0.0769,0.1094,0.495,0.051,0.0119,0.7034,0,0.0164,0.0426,1
"NCAM1",0.0139,0,0.0041,0,0.0194,0.0042,1,0,0,0
"B3GAT1",0.0168,0.0055,0.0026,0,0.0146,0,1,0.014,0,0
"CD58",0.0077,0,0.0848,0.4329,0,0.6427,0.2401,0.1438,0,1
"SELL",0.2247,0.7373,1,0.3807,0.0977,0,0.4859,0.3993,0.8639,0.5881
"SELP",0.0144,0.0012,0.0185,0,0.0198,0.0141,0.0584,1,0.016,0.1669
"FCGR1A",0.0023,0.0042,0.004,6e-04,0.0014,3e-04,0,0.0022,6e-04,1
"CD69",0.7226,0.2301,0.738,0.1552,0.1663,0,0.1617,0.3887,1,0.1991
"CD7",0.0062,0,0.0255,3e-04,0.0105,0.0024,1,0.0148,0.0072,0.045
"NT5E",0.7748,0.058,0.3549,0.4169,0.044,0,0.2138,0.2719,1,0.1721
