"","0","1","2","3","4","5","6","7","8","9"
"ITGAE",0.34,0.68,0.86,0.69,0.4,0.65,3.69,0.44,0,0
"ENG",0.4,0.46,0.63,0.09,0.4,0.16,2.05,0,0.52,0
"LAMP1",6.3,3.5,11.57,13.26,2.52,67.21,7.79,3.08,0,61.64
"IFNGR1",0.8,1.37,0.86,0.43,0.66,0.97,4.51,0.44,0.52,5.48
"ITGAL",5.63,45.21,40.03,20.45,10.48,35.38,59.02,17.18,29.02,95.89
"ITGAM",0.13,0.23,0.63,0.09,0,0,0.82,0,0.52,54.79
"ITGAX",8.78,15.75,32.45,23.05,10.61,93.54,13.52,9.69,7.25,90.41
"IL2RB",0.2,0.15,0,0.17,0.4,1.62,4.51,0,0,1.37
"IL3RA",4.02,6.16,1.95,0.52,2.92,0.32,1.23,2.64,32.12,17.81
"IL4R",0.2,0,0.08,1.82,0.27,0.32,0.82,1.32,0,0
"IL7R",0,0.23,0.16,0.17,0.27,0,11.48,0.44,0,0
"ANPEP",1.27,2.36,1.41,0.61,1.33,1.78,2.87,3.96,1.55,47.95
"TNFRSF4",0,0.08,0,0,0,0,1.64,0,0,0
"TNFRSF9",0.2,0.46,0.55,0.26,0,0.16,1.64,0,0,0
"THBD",0.13,0.38,0.47,0.69,0.13,1.13,0.41,0.44,0,12.33
"CD14",0.54,0.08,0.23,0,0.13,0.48,0.41,0,0,2.74
"CTLA4",0.13,0,0,0,0.13,0,2.46,0,0,0
"CD40LG",0.47,0.15,0.86,0,1.19,0.65,2.87,0.44,1.55,2.74
"PVR",0.2,0.68,0.16,0.26,0.27,0,0,0.44,0.52,15.07
"KIR2DL1",0.67,0.76,1.49,0.35,1.06,0.97,5.33,0.44,2.59,0
"KIR2DL3",0.47,0.08,0.7,0.09,0.4,0.32,2.87,0.88,0.52,1.37
"KIR3DL1",1.61,1.14,2.89,0.87,1.33,1.29,8.61,1.32,3.11,2.74
"FCGR3A",0.34,0.3,0.55,0.17,0.53,0.16,8.2,0,0,2.74
"KLRB1",0.13,0,0.23,0.43,0,0.48,3.28,0,0.52,0
"CD163",0,0.23,0.08,0,0.13,0.32,3.69,0,0,0
"SIGLEC1",0.13,0.3,0.63,0.35,0.66,0.65,2.46,0.44,0.52,0
"ITGB2",3.49,18.42,18.45,6.33,5.31,19.22,37.7,3.96,4.66,83.56
"CXCR3",0.13,0,3.05,26.6,0.4,13.41,8.2,3.08,0,2.74
"CXCR5",71.78,66.44,42.14,81.63,21.49,6.95,38.52,56.39,94.82,39.73
"CD19",99.2,97.41,98.36,100,89.12,99.52,88.93,92.51,99.48,93.15
"CCR4",0.47,0.76,1.72,0.17,3.45,0.81,15.16,22.47,2.59,1.37
"CCR5",0.07,0.15,0.39,0.26,0,0.16,4.51,6.17,0,2.74
"CCR6",88.2,76.26,73.26,93.59,45.76,82.55,61.89,70.48,99.48,69.86
"CD1C",69.5,67.2,63.96,81.02,46.68,42.81,55.74,60.35,92.23,52.05
"CD1D",49.26,30.82,33.15,48.61,16.31,14.22,11.07,17.18,65.28,63.01
"CD2",0.2,0.38,3.52,0.95,2.12,1.62,91.8,4.85,1.55,19.18
"MS4A1",98.66,98.71,99.22,98.96,94.43,99.84,92.62,95.59,100,94.52
"CR2",99.33,99.7,87.8,89.43,85.81,12.76,86.48,92.95,100,89.04
"CD22",99.6,99.32,96.56,99.39,89.26,99.35,90.57,95.59,100,97.26
"LAG3",0.2,0,0,0,0,0.16,0.82,0.44,0,0
"CD226",0.4,0.15,2.66,0.95,0.8,1.45,11.07,55.95,1.55,4.11
"FCER2",0.07,0,0.08,0,0,0,0.82,0,0,0
"CD24",10.52,4.26,39.72,11.53,17.9,0.16,14.75,16.3,25.91,8.22
"CD244",0.6,0.99,1.41,0.17,0.93,0.97,30.74,3.52,0.52,56.16
"IL2RA",0.87,0.53,8.68,2.77,0.53,0.16,6.97,2.2,9.33,1.37
"DPP4",3.22,0.46,6.18,0.43,2.52,1.29,29.1,9.69,2.59,9.59
"TNFRSF13B",0.4,0.08,1.41,12.56,0.27,10.34,0.41,1.32,0.52,0
"TNFRSF13C",89.54,84.63,83.19,94.37,49.73,78.68,68.03,69.6,100,71.23
"CD27",1.21,0.61,41.13,7.8,1.99,3.39,38.93,4.85,3.11,6.85
"BTLA",53.82,18.26,30.81,79.38,13.4,58.16,23.77,29.07,89.64,24.66
"CD274",0.27,0.46,0.7,0.87,1.86,1.29,5.74,1.32,1.04,1.37
"PDCD1",0,0,0,0,0,4.36,2.87,0,0,0
"CD28",0.6,2.28,2.58,0.87,1.46,2.1,47.13,3.52,5.18,2.74
"CLEC4C",0.47,0.15,0.86,0.17,0.66,0.16,2.05,0.44,0,4.11
"PECAM1",30.03,22.91,14.46,24.52,13,5.82,14.34,81.94,63.21,82.19
"KLRK1",0.27,0.08,0.08,0.09,0,0,13.11,0,0,0
"SLAMF7",2.82,2.44,2.66,1.65,2.39,1.94,4.92,6.61,4.15,8.22
"FCGR2A",97.99,99.16,95.47,99.48,95.36,100,83.61,94.71,100,94.52
"CD33",3.82,10.73,5.86,3.12,10.61,4.2,3.69,7.05,4.15,78.08
"NCR1",1.21,1.22,2.58,0.87,1.59,2.58,7.38,6.17,3.63,5.48
"CR1",93.97,99.62,81.86,85.79,68.7,5.65,48.77,76.21,97.41,86.3
"CD36",1.88,0.99,3.44,0.61,3.05,0.97,2.05,72.25,3.11,65.75
"CD38",63.47,84.7,20.8,32.93,57.69,3.55,38.11,45.37,93.78,79.45
"ENTPD1",73.59,84.4,78.03,88.73,34.08,84.33,45.08,59.47,68.39,89.04
"CD3D",0.6,0.15,2.66,0.69,1.72,1.13,87.7,3.96,1.55,9.59
"CD40",94.03,93.53,85.38,88.21,55.57,44.43,63.11,78.41,98.45,73.97
"ITGA2B",2.61,3.2,5.63,1.73,5.17,2.1,6.56,91.63,3.11,9.59
"CD45RA",99.66,99.7,100,99.91,97.48,98.38,96.31,97.8,100,97.26
"CD45RO",0.27,0.15,0.55,0,0.13,0.32,31.15,0.44,0,12.33
"CD45",64.81,97.79,95.23,94.71,63.13,78.03,91.8,78.41,99.48,93.15
"CD47",51.74,90.11,72.24,62.65,52.25,79,60.25,85.02,97.41,95.89
"CD48",52.61,89.73,89.52,67.68,58.89,90.15,79.1,64.32,99.48,97.26
"ITGA1",1.54,1.45,2.42,1.3,1.72,1.45,7.79,2.64,1.04,30.14
"ITGA4",77.55,88.81,98.12,93.24,51.72,92.73,83.61,74.01,100,97.26
"CD4",0.34,0.08,0.47,0.26,0.4,0.48,26.23,0.44,0,34.25
"CD5",8.24,9.13,6.88,3.38,13.93,1.62,84.84,13.66,62.69,20.55
"CD52",60.32,53.65,95.07,67.24,49.87,81.26,83.61,48.9,99.48,71.23
"ICAM1",16.29,25.04,42.85,13.26,8.09,39.26,10.25,9.69,13.99,69.86
"NCAM1",0.07,0,0.23,0,0.13,0.16,8.61,0,0,0
"B3GAT1",0.47,0.15,0.31,0,0.66,0,13.11,1.32,0,0
"CD58",0.13,0,0.86,4.16,0,7.27,2.46,0.88,0,9.59
"SELL",30.97,75.8,56.45,42.72,23.61,7.11,46.72,50.22,60.1,50.68
"SELP",1.14,0.76,1.95,0.17,1.72,0.81,5.74,51.54,2.07,16.44
"FCGR1A",0.4,1.22,0.86,0.26,0.4,0.32,0,0.44,0.52,43.84
"CD69",51.27,41.17,49.18,30.59,35.15,30.53,35.66,54.19,65.8,30.14
"CD7",1.21,0.38,7.04,0.43,2.92,1.45,81.15,6.61,4.15,10.96
"NT5E",68.5,20.02,30.1,50.17,18.97,18.42,31.15,41.41,77.2,31.51
"CD79B",9.92,3.42,17.67,28.16,9.02,10.02,7.79,12.33,20.73,4.11
"CD8A",0.74,0.91,2.27,0.78,3.05,1.78,61.48,5.29,1.04,8.22
"CD81",7.57,15.45,29.32,27.12,17.77,70.76,47.95,12.78,39.9,35.62
"CD82",18.1,12.02,84.6,5.37,12.47,35.22,15.98,21.15,72.54,36.99
"CD83",6.03,1.52,6.18,21.14,0.8,5.33,2.46,3.96,4.66,1.37
"LILRB1",29.22,11.26,40.73,66.64,7.29,79.16,8.61,11.89,44.56,41.1
"CD86",11.73,14.61,22.05,20.45,12.07,55.74,9.02,9.25,10.36,73.97
"KLRD1",0.54,0.38,1.49,0.17,0.66,0.32,13.52,1.76,1.04,4.11
"FAS",0.4,0.15,25.96,6.59,0.93,40.06,33.61,1.76,0.52,36.99
"CD99",7.71,26.26,72.32,29.29,10.08,63.65,63.52,26.43,45.6,47.95
"CLEC12A",4.49,4.79,2.66,0.87,3.05,0.97,2.05,4.41,2.07,89.04
"CX3CR1",0,0.08,0,0,0,0,1.23,0,0,0
"FCER1A",0.54,1.45,1.49,0.61,0.66,0.65,5.74,2.2,2.07,5.48
"ADGRG1",1.01,1.07,2.58,0.35,3.71,2.58,29.92,10.57,1.04,9.59
"HLA-A",72.92,91.86,99.84,80.59,75.86,99.35,77.87,82.38,98.45,97.26
"HLA-DRA",99.66,100,98.83,100,96.82,100,73.36,92.95,100,98.63
"IGKC",44.57,36.76,28.15,50.87,22.28,21.16,20.49,28.19,60.62,27.4
"IGLC1",36.86,47.11,34.71,33.54,36.07,19.39,28.28,38.33,49.22,32.88
"IGHD",97.12,98.78,54.34,78.51,92.57,36.67,83.2,89.87,100,82.19
"IGHM",83.24,90.33,55.43,78.34,79.71,26.66,67.21,73.13,94.3,72.6
"KLRG1",0.47,0.23,0.86,0.09,0.8,0.65,24.59,0.88,0.52,2.74
"TCR-AB",0.27,0.15,0.23,0.09,0.4,0.48,38.93,0,0.52,1.37
"TCR-vA7.2",0.34,0.23,0.08,0.26,0.66,0.48,7.38,1.32,2.07,2.74
"TCR-vD2",0.2,0.91,0.86,0.26,1.46,0.32,2.46,1.32,0.52,2.74
"TIGIT",2.01,0.46,2.81,1.04,1.46,1.45,18.03,3.96,3.63,6.85
"CD44",79.56,98.86,94.37,89.86,46.29,52.67,76.64,73.13,97.93,95.89
"ITGA6",0.87,0.61,1.72,0.69,1.33,0.81,9.84,72.69,1.55,2.74
"ICOS",11.39,6.93,9.85,2.69,3.45,6.79,43.44,8.81,6.74,9.59
"Hamster-IgG",0.94,1.45,1.49,1.73,1.33,0.81,4.92,0,0,0
"Mouse-IgG2a",0.34,0,0.23,0.43,0.66,0,1.23,11.89,0,1.37
"Mouse-IgG1",1.27,0.53,2.19,1.21,0.66,1.13,2.46,2.2,2.07,1.37
"Mouse-IgG2b",1.21,0.46,1.49,0.95,1.33,1.94,5.33,0.44,1.04,1.37
"Rat-IgG1",0.8,0.68,1.02,1.3,1.99,0.97,8.2,0,1.04,0
"Rat-IgG2a",0.6,1.14,1.41,0.43,0.93,1.45,1.64,0.44,0.52,4.11
"Rat-IgG2b",1.14,0.91,1.09,0.95,0.53,1.29,3.28,2.2,3.11,1.37
"OLR1",0.34,0,0.55,0.52,0,1.62,0.82,0.44,0.52,1.37
