"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9"
"ENSG00000238009",0.000714542949747623,0.0126961090869567,0.00340186507312681,0.00778450847048944,0.00543259200483134,0,0.00445086952186979,0.0150095844685231,0.00896464376533533,0.0495217421391106
"ENSG00000241860",0.00305009689239285,0.00403575965025202,0.00184561208631275,0,0,0,0.00456896394173657,0,0,0
"ENSG00000290385",0.00822558330615557,0.0148780249028463,0.0141321633810733,0.00375044115129758,0.0237938326554777,0.00497637366951914,0.0153636275802043,0.0153209851654467,0.0137077903225894,0.0187190901024683
"ENSG00000291215",0.0407246470599732,0.0360684435898214,0.0357570591202383,0.0312043319953228,0.0357552410574065,0.0427629404643865,0.0410458540453036,0.0525134289124778,0.0286291382741999,0.0582327583480664
"LINC01409",0.0301774972852567,0.0558295806578021,0.0427675153872381,0.0544504568859969,0.0515130821727074,0.0461674567411612,0.0245195036476942,0.0246960483091297,0.0476997119945743,0.0224445683069913
"ENSG00000290784",0.0272130417055319,0.0324669874330337,0.0311258654773782,0.0253517168607386,0.0503018633042954,0.0362167595934657,0.0279697735066156,0.0111866082874869,0.0178279510417028,0
"LINC00115",0.0514790876662429,0.0367084856065892,0.0325871535125065,0.0360437186596798,0.0562527499970497,0.0710862877648906,0.0514236224642699,0.129215952509314,0.0456527696744701,0.0889508079120223
"LINC01128",0.151689318694036,0.146420238240942,0.117538139012866,0.0831727587791444,0.155727513714593,0.128268386937073,0.146961397123457,0.1963522756203,0.0903243272394349,0.248878547617785
"NOC2L",0.356198664867484,0.404083794861746,0.452120863778525,0.427551860913493,0.362624162280855,0.286764005155581,0.407841066224084,0.463800398822348,0.298533198967952,0.320287651202244
"KLHL17",0.0217769524897002,0.0235705750548613,0.0178029062654242,0.017951682537886,0.0309165767747727,0.013312206707246,0.0297507858134036,0.0064641032188002,0.0243735647934616,0
"PLEKHN1",0.00168910312001795,0.00436043800122186,0.00653905060455437,0.00368384747082415,0.00269291359786721,0,0,0,0,0.013595305812809
"HES4",0.437280765722518,0.157441738433385,0.323206942071952,0.0701352991724693,0.261006032214583,0.993727958512473,0.241072889478527,0.251325702249375,0.478685445446202,0.525505433394106
"ISG15",0.365876938247545,0.41340861336603,0.540570001004047,0.310645445504143,0.68237038594562,1.00876894118754,0.464102313750075,0.434544864498619,0.542371021349626,0.522986170332223
"AGRN",0.0121090446177687,0.0156884966740715,0.0326830103566454,0.0119583911436658,0.0356807990893135,0.0116879652059488,0.0381185336167139,0.0642290233199778,0.0265760614523728,0.0817699910341834
"ENSG00000291156",0.299498414024306,0.219726860346304,0.520899890919179,0.243046464446272,0.336321859385323,0.281652198720947,0.436729068154938,0.500295314159476,0.473824452466807,0.309277523236232
"ENSG00000273443",0.0144444915506408,0.00395331321091603,0.00500574304581036,0.00621520855843289,0.0113361871962962,0.00116930289902929,0.00606445791023632,0,0.0208549032440666,0
"C1orf159",0.061841967970577,0.0918036772758302,0.094983563511572,0.103445598073356,0.0912878575750086,0.0522190133250282,0.0846949168231922,0.0848644530262125,0.106393445464663,0.0985702960436957
"ENSG00000285812",0.0196970155406381,0.0155164768636654,0.0165500220059694,0.0162859327605902,0.0171249662122888,0.00772759257482345,0.00938615740319861,0.0140903200686335,0.0144289419953752,0.0211921877119219
"TTLL10",0.0126805148941655,0.00298578820806914,0.0078336111101282,0.0354466940092756,0.0137359452340691,0,0.0274280233896142,0.00672254897544992,0.00712176587526285,0.0298712674852223
"TNFRSF18",0.796832634322773,0.87553167922946,0.784058256647266,0.570483224870751,1.68722287865098,0.232090192177128,0.918885951640716,0.839632697359418,0.962408677095628,1.03872975606905
"TNFRSF4",0.0622532332940773,0.0585711422461359,0.0414504878230581,0.0220257096720677,0.0974000155347816,0.00897284548525476,0.105970677966647,0.123453339762217,0.0520435906267651,0.028985675279277
"SDF4",0.775602609713408,0.943902597309576,0.876938419998412,0.819958302212634,0.970210818410326,0.611222599926524,1.08688491227258,0.854151291026012,0.722303582636773,1.04538438818329
"B3GALT6",0.191212351834135,0.212418116702451,0.267610620397281,0.249304986900909,0.29029216499544,0.236467957194306,0.204004668021298,0.277569236138839,0.185294130293534,0.220361497279079
"UBE2J2",0.332168334628695,0.415414354733306,0.413038357867357,0.422282430788554,0.405879971009972,0.332665875871117,0.419912019517495,0.281230851621975,0.350534032413927,0.475351951837625
"SCNN1D",0,0,0.000761379714453675,0,0.00351793089376552,0,0.00544560278466344,0,0.00425642581964928,0
"ACAP3",0.0390439387524604,0.0555817350913133,0.0994172164122764,0.0837013599507757,0.0528620501360335,0.124289668920588,0.0814539456164615,0.103949568979418,0.0363331192330129,0.0662469080151898
"PUSL1",0.0932639918661328,0.0802273346778422,0.0822467992443374,0.0811563881918924,0.0789794602352407,0.0989172567264902,0.103803718692043,0.0889196631370576,0.0750101088886965,0.0375129730393589
"INTS11",0.267746813051205,0.353701025711036,0.385851686868544,0.379448902493758,0.451755089186624,0.310576132336045,0.396811883217205,0.358084698184281,0.239173473722392,0.168388009722501
"CPTP",0.0645635710542023,0.0815390925257629,0.105723288595588,0.127874038039729,0.0945354985075426,0.134952526175564,0.107333865306074,0.0626213512717543,0.0439849611197763,0.0774596746357821
"DVL1",0.0190134729117422,0.0104677247778859,0.0300868533984532,0.0273529421993874,0.0212946739258345,0.0224305741355091,0.0398356418037575,0.024373033239204,0.0237312011612914,0.0114240931840433
"AURKAIP1",0.713035873020814,0.749709613111627,0.86914312407009,0.785989886273073,0.820782598849064,0.698406959687687,0.661746973159054,0.660563053268294,0.695179808639852,0.856737470184135
"CCNL2",0.43103019305067,0.396384031873506,0.474259230775556,0.39400303648574,0.503009714001208,0.456677200758414,0.434927096116367,0.344749482583938,0.546376170463033,0.722891037172917
"MRPL20-AS1",0.104531742477065,0.0971907262605849,0.10936958574682,0.154233400846508,0.132448460236763,0.0981581938596044,0.0872287822186817,0.154479022151983,0.108940718314313,0.137761362057172
"MRPL20",0.742756608896585,0.861848481342545,0.954546642911072,0.961350232304154,0.877546658350751,0.86555727583594,0.874586382048811,0.843875751281329,0.771552418492885,0.629471618721696
"ATAD3B",0.15033768340966,0.12173053069765,0.174133273352319,0.2315982130928,0.147267752783802,0.348606840930052,0.199664296466753,0.1715412506651,0.111170318039885,0.230140982055833
"ATAD3A",0.0771035172726997,0.0932169378395919,0.107142964046527,0.0816488168451975,0.0806682200546034,0.0627903472772872,0.151485889847468,0.0926208290095596,0.0628159216492504,0.299578576559219
"SSU72",1.13147358467257,1.26727202885887,1.39094520997083,1.44852287164348,1.16752425718545,1.87679548249948,1.32627735917843,1.26076112313742,1.21812702464688,1.35067451040826
"ENSG00000215014",0.0232243243963297,0.0142186437521407,0.00769215733853349,0.00673028422468468,0.00685289344814477,0.0262332772550972,0.0317210417736935,0.00778594263628903,0.0117896223395161,0.0708827216175416
"FNDC10",0.00336727695551006,0.00163047680541457,0.00888396415902868,0.00343246055994533,0,0.00310495653526594,0,0.00994196872853156,0.00389516399808981,0
"ENSG00000272106",0.0374355188673058,0.0328209331122369,0.0251088329424888,0.0430291043929012,0.026777251276078,0.0469116528914153,0.0328116613031056,0.0411404795524045,0.0314481286817,0.0414321009709808
"MIB2",0.1530927337263,0.144659459216851,0.127253549092002,0.167696644527177,0.14189235569438,0.217962857814868,0.180958465760596,0.111325445968202,0.135808271380232,0.150463335647284
"MMP23B",0.00363895353264874,0.000683400689305271,0.00604659921754856,0,0.00808827580606594,0.0271482994552816,0.0159495643983061,0,0,0
"CDK11B",0.958190712684347,0.69301010170288,0.586224326875899,0.742439363695837,0.877981484936012,1.18900756515617,0.628575961614312,0.791748582845881,0.823670291404208,0.700560673955179
"ENSG00000272004",0.0048898211686965,0.00527538405965875,0.00154254597318463,0.00108332432368604,0.0129118160121517,0.00955327848843419,0,0,0,0.0571921760181932
"SLC35E2B",0.100497744164825,0.113728140624809,0.152963070283937,0.100774467392537,0.170612155015249,0.147316885042858,0.166452834728412,0.113540595110206,0.0873571083354845,0.113518982798215
"CDK11A",0.484349467583032,0.509847698546528,0.488386424179125,0.563038922229697,0.769175353019582,0.583278269458109,0.66725253419763,0.493677264223706,0.411442171528696,0.542553534971874
"ENSG00000290854",0.0306943727681112,0.0482504603111766,0.0732117317776632,0.0760635691290514,0.0602675432247107,0.0595145454406873,0.0559033090660937,0.0458545877677385,0.0367044873406304,0.0307907858444813
"NADK",0.163287011592157,0.204966576192292,0.23299873395208,0.221784648195146,0.278810452135683,0.184962583505844,0.229583507142321,0.223621454388924,0.238071044804741,0.204952713189954
"GNB1",2.00948700122281,2.18863917981041,2.18427478990377,2.14824702635502,2.324717146642,2.05075977604254,2.18756793660048,2.34896503953481,2.12251545050158,2.19101054271895
"TMEM52",0.0112903115535219,0.00327955541179983,0.00349847373858028,0.00384907694574547,0.00788413253162665,0.00203695484213702,0.0223288501917034,0,0.00702823727327313,0.0117022297428552
"PRKCZ",0.0589571851882392,0.068099651040107,0.0694802857517134,0.0779428196197667,0.0619783691406504,0.072963077601478,0.0801120337774602,0.0285216836262639,0.0380513288297277,0.0899840452966997
"ENSG00000271806",0,0,0,0,0.00271107920472118,0,0,0,0,0
