"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PKM",0.0130933527062774,-0.153553030453109,0.559,0.633,1
"BCL11B",0.0077968878523743,0.153453266433575,0.782,0.754,1
"TBC1D1",0.146210574579093,-0.153324164216438,0.18,0.212,1
"INO80C",0.153016866075221,-0.153323877700005,0.096,0.12,1
"FUBP1",0.217572491286813,0.153260875474049,0.293,0.275,1
"TCERG1",0.766795552997388,0.153187218479592,0.275,0.287,1
"SLA2",0.24235397931885,0.153012663383085,0.612,0.599,1
"LCP1",0.0827679704316731,0.152926191360697,0.85,0.844,1
"HYCC1",0.0763297784427475,-0.152857698074906,0.108,0.14,1
"ANKRD39",0.148729677710743,-0.152707313563273,0.082,0.104,1
"PPIA",0.000322933111136891,-0.152695337697327,0.982,0.99,1
"CHCHD1",0.844389863996807,0.152655877271754,0.144,0.144,1
"TRA2A",0.144044946846299,-0.1525983124621,0.446,0.509,1
"GLUD1",0.030551818542139,-0.152590064564423,0.537,0.603,1
"ZNF146",0.303807545932259,-0.152569708865815,0.225,0.253,1
"CALM3",0.113401505354438,-0.152434307742272,0.335,0.381,1
"SOCS4",0.257208804178997,0.152176042476556,0.154,0.136,1
"ENSG00000273319",0.990935538191169,0.152143954379567,0.112,0.114,1
"DHDDS",0.264584207855594,-0.152083034592025,0.084,0.102,1
"SNHG25",0.940104322651293,0.152053086913861,0.134,0.138,1
"SMU1",0.592758620507071,0.15200328014678,0.349,0.355,1
"PSMB5",0.299535872021544,-0.151934916537128,0.149,0.172,1
"MLLT3",0.32933248324602,-0.151926954322118,0.404,0.423,1
"ZGPAT",0.312943441625905,0.151729724539055,0.206,0.19,1
"SNRPE",0.388174172547405,0.15171342061208,0.285,0.285,1
"ATG16L1",0.803723880848756,0.151660503212682,0.124,0.124,1
"CCDC25",0.404706890060729,-0.151569251615242,0.123,0.138,1
"CYTH1",0.0767444637835651,0.15146505645236,0.53,0.497,1
"EIF3J",0.0874472821122564,-0.151417810303181,0.41,0.463,1
"GART",0.101441786616547,-0.151361998859957,0.13,0.162,1
"CELF1",0.155778082951881,-0.151357289399072,0.337,0.383,1
"WDFY2",0.614837812796879,0.151323943700751,0.212,0.206,1
"SRP68",0.09457250383082,-0.151200774980508,0.189,0.228,1
"SERP1",0.0692547508988615,-0.151188481226225,0.748,0.778,1
"TBCA",0.0581131130144046,0.151133232295901,0.537,0.501,1
"RANBP9",0.45933937798247,0.150991611942866,0.327,0.331,1
"TPP2",0.232148608829644,-0.150951047206503,0.279,0.311,1
"ZNFX1",0.106431331200698,-0.150811836410902,0.32,0.373,1
"FIS1",0.424974385280796,0.150804385260081,0.289,0.287,1
"ARL5A",0.714345283612697,0.150682890596269,0.225,0.23,1
"RETREG2",0.40709664514454,0.150682076298706,0.208,0.194,1
"GABPA",0.211820407387877,-0.150616879408187,0.12,0.144,1
"BRCC3",0.214787486076804,-0.15056563589309,0.084,0.104,1
"R3HDM2",0.106352624103055,-0.15050017080261,0.253,0.295,1
"COPS7B",0.273785867403168,-0.15043304237778,0.096,0.114,1
"ARIH1",0.272968378458739,0.15040810159324,0.491,0.499,1
"RPA2",0.237023562880642,-0.15027726970051,0.21,0.238,1
"MEI1",0.962687481316241,0.150245462133115,0.11,0.114,1
"NUTF2",0.069196331731399,-0.150223251671997,0.298,0.355,1
"STAT4",0.00794904734313346,0.150219962855821,0.827,0.822,1
"TRAPPC2",0.692578753590368,0.150150319927625,0.107,0.118,1
"KAT7",0.30286021216833,0.150121626437478,0.192,0.172,1
"MTCH1",0.343079897419327,0.150075865677462,0.331,0.325,1
"EIF2A",0.302608054825756,0.150072562186765,0.256,0.244,1
"ELOF1",0.759372067679748,0.149851671562259,0.208,0.212,1
"FUNDC2",0.115945831173408,-0.1497565636538,0.291,0.339,1
"ATG13",0.248796453180708,-0.149693259106311,0.152,0.176,1
"ADD1",0.177180946106685,-0.149684915600368,0.289,0.331,1
"CISD2",0.17947748983012,-0.149614564837582,0.239,0.273,1
"BABAM1",0.779628843001224,0.149449593480601,0.196,0.2,1
"POLR2H",0.318641712647932,-0.149414398391265,0.166,0.188,1
"GMPPB",0.215274860813722,-0.149348112891418,0.081,0.1,1
"TMPO",0.717572530960923,0.149338747269423,0.213,0.212,1
"HSD17B7",0.446268118781148,0.149320430036965,0.103,0.092,1
"TXLNA",0.555569818086855,0.149300994622695,0.113,0.106,1
"SRP19",0.180064139994159,-0.149282971705273,0.369,0.407,1
"UTP14A",0.962456242326002,0.149188944167401,0.098,0.102,1
"COX14",0.288721236828751,0.149156766651734,0.375,0.375,1
"PRPSAP1",0.284837068804341,-0.149092478587783,0.137,0.16,1
"STAMBP",0.161075511386509,-0.149087272298531,0.166,0.198,1
"ZBTB38",0.222857280906528,0.149010036448517,0.415,0.393,1
"CROCCP2",0.606789294227035,0.148933063589323,0.129,0.124,1
"CCNY",0.0809554378065555,-0.148924938541789,0.403,0.475,1
"ORC2",0.193197225712018,-0.148882788590065,0.177,0.208,1
"KDELR2",0.103370934663407,-0.148849365746803,0.303,0.363,1
"TXLNGY",0.108211361120762,-0.148826700648838,0.118,0.148,1
"CTSS",0.139873358551761,-0.148483463263568,0.275,0.315,1
"SMYD2",0.847030707024124,0.1484813838043,0.115,0.114,1
"PRELID1",0.252511082915451,-0.148413419108419,0.481,0.513,1
"TATDN2",0.183435252852242,-0.148349327452293,0.079,0.1,1
"CREBRF",0.29023521123255,-0.148302814462945,0.284,0.313,1
"UBXN4",0.149090185643776,-0.148241227692089,0.597,0.615,1
"TOP2B",0.403178846700163,0.148210095837248,0.328,0.323,1
"DTX3L",0.951965458338435,0.148152660250268,0.182,0.188,1
"RELA",0.431997419352853,-0.148094242089796,0.412,0.455,1
"TNIP2",0.172132502529366,-0.147964813729152,0.296,0.341,1
"XKR6",0.916998155293775,0.147946192085006,0.107,0.108,1
"ANKZF1",0.307265549422232,-0.147899221510408,0.148,0.17,1
"BIRC3",0.411604253566571,-0.14770482593021,0.663,0.683,1
"YWHAQ",0.0152941668556541,0.14768079311863,0.849,0.836,1
"HIF1AN",0.47473732571247,-0.147596870926312,0.128,0.142,1
"KLHDC2",0.178510274100255,-0.147511842354119,0.225,0.261,1
"CD63",0.499019330948349,0.147488313701775,0.322,0.315,1
"NAA15",0.59342534854593,0.147483451272894,0.152,0.146,1
"ACSL1",0.515731228223983,0.147318954405815,0.165,0.158,1
"RNPC3",0.828824674487913,0.147046598765047,0.201,0.218,1
"MED10",0.143581928533088,0.146938466754049,0.411,0.393,1
"TMEM160",0.173449413680742,-0.146899938087533,0.262,0.303,1
"CCNK",0.0605813154833014,-0.146888669128199,0.315,0.373,1
"CDC34",0.118532414352021,-0.146846811358059,0.326,0.379,1
"NGDN",0.0922243081855135,-0.146800413212552,0.311,0.365,1
"CYB5R4",0.582727117860931,0.146762018587266,0.214,0.21,1
"SAT1",0.242162520108557,-0.146732119325393,0.735,0.749,1
"ACIN1",0.371984789680696,0.146515061935641,0.425,0.417,1
"PSPC1",0.457477451948508,0.146506804526622,0.309,0.305,1
"ZNF622",0.653365679052724,0.146380518386557,0.204,0.202,1
"BAZ1A",0.0087978654607289,-0.146288439514681,0.488,0.569,1
"EIF2S2",0.169077219625127,-0.146253302412665,0.432,0.479,1
"NCK2",0.094226188383249,-0.146233336466888,0.296,0.351,1
"GOLGB1",0.0356060548627316,-0.146228485121654,0.531,0.601,1
"IGF2R",0.288376333222836,0.146193337086607,0.313,0.303,1
"ANXA1",0.290434762806204,-0.146192363556432,0.898,0.868,1
"ALDOA",0.0194406693579428,-0.146178927632965,0.77,0.796,1
"TRIAP1",0.936056782024802,0.146107601021112,0.118,0.12,1
"NUMB",0.328360171967837,0.146095089466123,0.216,0.2,1
"SYVN1",0.391145481199305,0.146093883589188,0.193,0.18,1
"ANAPC11",0.354800130226943,0.146007309516809,0.274,0.269,1
