"bin","specificity","n","total","pct"
"Hyperexpanded","Other",1156,1156,100
"Large","CMV",24,3313,0.724418955629339
"Large","Other",3289,3313,99.2755810443707
"Medium","HIV",60,2709,2.21483942414175
"Medium","CMV",101,2709,3.72831303063861
"Medium","Other",2548,2709,94.0568475452196
"Single","HIV",20,9005,0.222098833981122
"Single","CMV",235,9005,2.60966129927818
"Single","Other",8750,9005,97.1682398667407
"Small","HIV",19,2860,0.664335664335664
"Small","CMV",64,2860,2.23776223776224
"Small","Other",2777,2860,97.0979020979021
