"clonalFrequency","specificity","n","total","pct"
1,"HIV",20,9005,0.222098833981122
1,"CMV",235,9005,2.60966129927818
1,"Other",8750,9005,97.1682398667407
2,"HIV",6,1172,0.511945392491468
2,"CMV",26,1172,2.21843003412969
2,"Other",1140,1172,97.2696245733788
3,"CMV",18,657,2.73972602739726
3,"Other",639,657,97.2602739726027
4,"HIV",8,576,1.38888888888889
4,"CMV",20,576,3.47222222222222
4,"Other",548,576,95.1388888888889
5,"HIV",5,455,1.0989010989011
5,"Other",450,455,98.9010989010989
6,"CMV",18,384,4.6875
6,"Other",366,384,95.3125
7,"HIV",7,238,2.94117647058824
7,"CMV",7,238,2.94117647058824
7,"Other",224,238,94.1176470588235
8,"Other",240,240,100
9,"Other",324,324,100
10,"Other",220,220,100
11,"HIV",11,198,5.55555555555556
11,"CMV",11,198,5.55555555555556
11,"Other",176,198,88.8888888888889
12,"HIV",12,60,20
12,"Other",48,60,80
13,"HIV",13,104,12.5
13,"Other",91,104,87.5
14,"CMV",14,224,6.25
14,"Other",210,224,93.75
15,"CMV",15,120,12.5
15,"Other",105,120,87.5
16,"Other",128,128,100
17,"HIV",17,238,7.14285714285714
17,"CMV",17,238,7.14285714285714
17,"Other",204,238,85.7142857142857
18,"Other",36,36,100
19,"CMV",19,95,20
19,"Other",76,95,80
20,"Other",100,100,100
21,"Other",63,63,100
22,"Other",198,198,100
23,"Other",161,161,100
24,"CMV",24,24,100
25,"Other",75,75,100
26,"Other",156,156,100
27,"Other",189,189,100
28,"Other",56,56,100
29,"Other",58,58,100
30,"Other",180,180,100
31,"Other",93,93,100
32,"Other",32,32,100
33,"Other",33,33,100
34,"Other",34,34,100
35,"Other",70,70,100
36,"Other",36,36,100
37,"Other",111,111,100
38,"Other",114,114,100
39,"Other",78,78,100
40,"Other",120,120,100
41,"Other",41,41,100
43,"Other",129,129,100
44,"Other",44,44,100
46,"Other",92,92,100
50,"Other",50,50,100
52,"Other",52,52,100
53,"Other",53,53,100
58,"Other",58,58,100
61,"Other",61,61,100
63,"Other",63,63,100
64,"Other",64,64,100
73,"Other",146,146,100
74,"Other",74,74,100
75,"Other",75,75,100
81,"Other",81,81,100
82,"Other",82,82,100
86,"Other",86,86,100
89,"Other",89,89,100
92,"Other",92,92,100
106,"Other",106,106,100
108,"Other",108,108,100
112,"Other",112,112,100
118,"Other",118,118,100
133,"Other",133,133,100
141,"Other",141,141,100
191,"Other",191,191,100
247,"Other",247,247,100
