"","Transitional B","Transitional/Naive (T2-like)","Naive B (resting)","Naive B (IEG-high)","Intermediate B (HLA-G+)","Memory B","Atypical B (ABC/DN2)"
"CD19",5.1172,17.6046,5.9866,11.2055,17.1746,14.0504,22.2218
"CD20",8.5483,19.7358,8.6045,12.0231,10.6285,17.4031,18.4385
"CD22",6.865,23.9478,11.2568,17.0958,14.3747,12.7414,21.2829
"CD79B",0.1357,0.2292,0.0138,0.0855,0.3919,0.21,0.1146
"HLA-DR",5.0628,6.1128,7.5161,6.337,7.3363,6.3086,8.2695
"IgD",14.9797,30.4691,16.6584,23.6637,18.8907,10.1314,7.6858
"IgM",5.0906,5.7924,4.8916,4.3374,9.8438,5.0343,1.301
"CD27",0.0366,0.0292,0.0033,0.023,0.1713,1.471,0.0729
"CD38",2.4193,5.4281,2.7256,1.8673,0.8332,0.5249,0.0801
"CD24",0.3251,0.3417,0.0211,0.115,0.1442,0.7062,0.001
"CD86",0.1493,0.1531,0.1624,0.1735,0.5466,0.6694,3.9384
"CXCR5",0.2671,4.0479,1.1347,1.5063,2.4544,0.8513,0.0905
"LILRB1",0.0643,0.3062,0.0418,0.233,1.401,0.377,2.9108
"CD40",1.3629,5.0594,3.2305,5.0753,3.3512,4.2074,0.9852
"CD69",0.8169,2.1779,0.9211,1.7251,0.7988,1.7502,0.5454
