"","Transitional B","Transitional/Naive (T2-like)","Naive B (resting)","Naive B (IEG-high)","Intermediate B (HLA-G+)","Memory B","Atypical B (ABC/DN2)"
"CD19",0,0.7301,0.0508,0.3559,0.7049,0.5223,1
"CD20",0,1,0.005,0.3106,0.1859,0.7915,0.884
"CD22",0,1,0.2571,0.5989,0.4396,0.344,0.844
"CD79B",0.3225,0.5698,0,0.1897,1,0.5189,0.2665
"HLA-DR",0,0.3275,0.7651,0.3974,0.709,0.3885,1
"IgD",0.3201,1,0.3938,0.7013,0.4918,0.1073,0
"IgM",0.4436,0.5258,0.4203,0.3554,1,0.437,0
"CD27",0.0227,0.0176,0,0.0134,0.1144,1,0.0474
"CD38",0.4374,1,0.4947,0.3342,0.1408,0.0832,0
"CD24",0.4595,0.4832,0.0284,0.1617,0.2031,1,0
"CD86",0,0.001,0.0035,0.0064,0.1049,0.1373,1
"CXCR5",0.0446,1,0.2639,0.3578,0.5973,0.1922,0
"LILRB1",0.0078,0.0921,0,0.0666,0.4738,0.1168,1
"CD40",0.0923,0.9961,0.549,1,0.5785,0.7878,0
"CD69",0.1663,1,0.2301,0.7226,0.1552,0.738,0
