"","Transitional B","Transitional/Naive (T2-like)","Naive B (resting)","Naive B (IEG-high)","Intermediate B (HLA-G+)","Memory B","Atypical B (ABC/DN2)"
"MS4A1",0.9128,0.4273,0.1827,0,0.682,0.6579,1
"CD79A",0.3402,0.5892,0.5555,0.2283,0.6998,0,1
"CD79B",0.9752,0.2944,0.9701,0.1507,1,0.4002,0
"CD74",0.2683,0.3432,0.73,0.2089,0.6318,0,1
"BANK1",1,0.0628,0.1409,0,0.3817,0.7122,0.5857
"CD19",0.2629,0.0113,0.2397,0,0.3892,0.2332,1
"BLK",0.6584,0,0.4682,0.0685,0.5762,1,0.7333
"IGHD",1,0.6072,0.9952,0.4589,0.6102,0,0.3439
"IGHM",1,0.4649,0.9762,0.4128,0.4082,0.1231,0
"TCL1A",1,0.7632,0.4812,0.5627,0.1784,0.0223,0
"IL4R",1,0.6008,0.7219,0.6722,0.08,0.0214,0
"FCER2",0.6974,0.8056,1,0.8203,0.4091,0.1659,0
"CCR7",0.5595,0.6098,0.9618,0.8729,0.5418,1,0
"CXCR4",0.4338,1,0.6068,0.7679,0.4867,0.2932,0
"BACH2",0.8539,1,0.3881,0.6121,0,0.1896,0.2894
"CD38",1,0.6207,0.5379,0.3334,0.1205,0.0516,0
"CD10",1,0.8335,0,0.6707,0.539,0.2545,0.0922
"SOX4",0.6651,0.1132,0.063,0.4638,0,0.0632,1
"VPREB3",1,0.8012,0.508,0.5918,0.4245,0.4695,0
"IGLL5",1,0.6104,0.1961,0.3256,0.3199,0,0.0133
"CD24",0.919,1,0.527,0.8985,0.3535,0.7148,0
"IL7R",1,0.2374,0.1577,0.2502,0.0244,0.0308,0
"CD21",0.9973,0.6194,0.6871,1,0.3874,0.6072,0
"FOS",0.1595,0.0708,0.0237,1,0,0.0896,0.3326
"JUN",0.4596,0.6079,0.9269,1,0.195,0.1114,0
"JUNB",0.0686,0.1648,0,1,0.0369,0.2475,0.3695
"DUSP1",0.2415,0.2038,0.0104,1,0,0.0369,0.4437
"EGR1",0.2845,0,0.0116,0.8297,0.0809,1,0.5288
"IER2",0.1394,0,0.0368,1,0.1931,0.579,0.4617
"NR4A1",0.3911,0.4667,0.0765,1,0,0.9083,0.9567
"HLA-G",0.0417,0.0152,0,0.0601,1,0.0863,0.7815
"HLA-DRA",0,0.5017,0.7165,0.5421,0.5358,0.0801,1
"HLA-DPA1",0.0044,0.3312,0.2416,0.0087,0.1084,0,1
"HLA-DPB1",0.1023,0.185,0.2771,0,0.3116,0.0971,1
"HLA-DRB1",0.0877,0.1835,0.3647,0.4835,0.3992,0,1
"AIM2",0.0849,0.0647,0,0.0077,0.4418,1,0.7396
"TBX21",0.0791,0.0092,0,0.1256,0.1656,0.4857,1
"ITGAX",0.0457,0.004,0,0.0015,0.0698,0.1707,1
"FCRL5",0.4929,0.359,0.0642,0.2266,0,0.2679,1
"FCRL3",1,0.2927,0.8301,0.8352,0,0.9016,0.5398
"ZEB2",0.2049,0.1572,0.043,0,0.1983,0.2583,1
"LILRB1",0.2417,0,0.1151,0.063,0.3062,0.3119,1
"LILRB2",0.0576,0,0.0395,0,0.0131,0.0734,1
"CXCR3",0.0468,0.0103,0.006,0,0.4723,0.5417,1
"CD27",0.0724,0.0788,0.0036,0,0.5926,1,0.1565
"COCH",0.0892,5e-04,0.0184,0,0.4696,1,0.0033
"LTB",0.8492,0.4911,0.9275,0.6515,0.7304,1,0
"CD40",0.7994,0.4684,1,0.7254,0.8361,0.6186,0
"CD83",0.5438,0.7165,0.5475,1,0.322,0.3807,0
"TNFRSF13B",0.0642,0.0703,0.0109,0,0.2944,1,0.4971
"JCHAIN",0.5173,0.6901,0.7535,0.4215,0.327,1,0
"XBP1",0.1168,1,0.6733,0,0.4202,0.1617,0.9211
"MZB1",1,0.2256,0.0404,0.4053,0.1431,0.3217,0
"PRDM1",0.4384,0.2855,0,0.1134,0.1064,0.8384,1
