"","Transitional.B","Transitional.Naive..T2.like.","Naive.B..resting.","Naive.B..IEG.high.","Intermediate.B..HLA.G..","Memory.B","Atypical.B..ABC.DN2."
"MS4A1",10.0011,7.833,6.7406,5.9248,8.9705,8.8627,10.3906
"CD79A",29.097,34.5686,33.8283,26.6373,37.0007,21.6212,43.5967
"CD79B",1.9237,0.9912,1.9168,0.7942,1.9577,1.136,0.5879
"CD74",171.5173,177.9871,211.4006,166.386,202.9171,148.3425,234.7278
"BANK1",4.0703,2.5273,2.6558,2.4238,3.0523,3.5965,3.3881
"CD19",0.7977,0.5517,0.775,0.5407,0.9212,0.7686,1.5183
"BLK",1.2667,0.6028,1.075,0.6718,1.1838,1.6112,1.3422
"IGHD",2.0257,1.4024,2.0181,1.1671,1.4072,0.439,0.9847
"IGHM",4.4803,2.7634,4.4039,2.5961,2.5813,1.6666,1.2715
"TCL1A",1.4327,1.1044,0.7133,0.8264,0.2935,0.077,0.0461
"IL4R",1.2032,0.914,1.0018,0.9658,0.5369,0.4945,0.479
"FCER2",1.4182,1.6293,2.0087,1.6581,0.8556,0.381,0.0572
"CCR7",8.281,8.6857,11.5173,10.802,8.1383,11.8246,3.7801
"CXCR4",18.8982,33.4988,23.3605,27.5148,20.2627,15.274,7.7124
"BACH2",9.2832,10.2129,6.3198,7.7447,3.8502,5.0565,5.6917
"CD38",0.3852,0.2407,0.2092,0.1313,0.0502,0.024,0.0043
"CD10",0.0246,0.0205,0,0.0165,0.0133,0.0063,0.0023
"SOX4",0.2952,0.1132,0.0967,0.2288,0.0759,0.0967,0.4057
"VPREB3",0.3749,0.3017,0.1936,0.2245,0.1629,0.1795,0.0065
"IGLL5",0.9386,0.595,0.2295,0.3438,0.3387,0.0566,0.0683
"CD24",0.3716,0.4018,0.2253,0.3639,0.1606,0.2954,0.0287
"IL7R",0.397,0.0981,0.0668,0.1031,0.0146,0.0171,0.005
"CD21",0.1054,0.0661,0.0732,0.1057,0.042,0.0649,0.0018
"FOS",3.0527,1.8631,1.2315,14.3243,0.9137,2.1158,5.3735
"JUN",7.1421,8.3929,11.0851,11.7019,4.9096,4.2038,3.2638
"JUNB",7.3103,8.1245,6.7301,15.1912,7.0422,8.824,9.8561
"DUSP1",2.2109,2.042,1.1766,5.6049,1.1301,1.2951,3.1155
"EGR1",0.4429,0.0897,0.1041,1.12,0.1901,1.3314,0.7463
"IER2",3.0609,2.6782,2.7794,5.4236,3.2085,4.2677,3.9457
"NR4A1",2.3911,2.621,1.4345,4.2428,1.2018,3.9638,4.111
"HLA-G",0.0538,0.025,0.0085,0.0738,1.0954,0.1023,0.8579
"HLA-DRA",52.4178,64.891,70.2313,65.895,65.7397,54.4092,77.2805
"HLA-DPA1",15.1603,18.9804,17.9327,15.2115,16.3765,15.1093,26.7974
"HLA-DPB1",16.887,18.1522,19.56,15.3241,20.087,16.8075,30.6084
"HLA-DRB1",39.2102,41.5562,45.9922,48.9034,46.8374,37.0616,61.5516
"AIM2",0.1792,0.1598,0.0978,0.1052,0.5211,1.0558,0.8063
"TBX21",0.0351,0.0177,0.0154,0.0468,0.0568,0.1368,0.2654
"ITGAX",0.1132,0.0149,0.0054,0.0089,0.17,0.4081,2.3641
"FCRL5",0.4513,0.3608,0.1616,0.2714,0.1182,0.2993,0.7939
"FCRL3",1.0247,0.6928,0.945,0.9474,0.5555,0.9785,0.8088
"ZEB2",3.2784,3.0152,2.386,2.1492,3.2417,3.5721,7.6588
"LILRB1",0.257,0.11,0.18,0.1483,0.2963,0.2997,0.7182
"LILRB2",0.0112,0,0.0077,0,0.0025,0.0143,0.1951
"CXCR3",0.0722,0.0263,0.0209,0.0134,0.6064,0.6937,1.2691
"CD27",0.0461,0.0494,0.0101,0.0083,0.3176,0.5304,0.09
"COCH",0.0387,0.0151,0.0199,0.015,0.14,0.2811,0.0159
"LTB",3.7541,2.3571,4.0597,2.9829,3.2907,4.3425,0.441
"CD40",2.6931,1.9894,3.1196,2.5359,2.7711,2.3089,0.9936
"CD83",20.4947,24.1587,20.5734,30.1757,15.7864,17.0321,8.9535
"TNFRSF13B",0.2931,0.3076,0.1662,0.1403,0.841,2.5207,1.3236
"JCHAIN",0.5546,0.7338,0.7996,0.4554,0.3573,1.0551,0.0184
"XBP1",0.736,0.9623,0.8786,0.7061,0.8138,0.7475,0.9421
"MZB1",0.3729,0.1336,0.0763,0.1891,0.1081,0.1633,0.0638
"PRDM1",0.0235,0.0183,0.0085,0.0124,0.0122,0.0372,0.0428
