"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","direction"
1.35686184917792e-69,2.04548536290586,0.202,0.058,2.55117164882433e-65,"CES1","ALL_monocytes","up"
9.30137619899544e-89,1.97215419325698,0.329,0.127,1.74884475293512e-84,"SERPINB2","ALL_monocytes","up"
1.65826860874732e-33,1.90155007483988,0.136,0.051,3.11787663816671e-29,"GCNA","ALL_monocytes","up"
2.53565637797816e-64,1.86970186730637,0.195,0.057,4.76754112187453e-60,"NRG1","ALL_monocytes","up"
7.02184539566655e-44,1.86066890432714,0.13,0.036,1.32024737129323e-39,"ENSG00000259345","ALL_monocytes","up"
9.12277347381625e-25,1.71115515455101,0.1,0.036,1.71526386854693e-20,"ENSG00000287865","ALL_monocytes","up"
2.16742709516226e-36,1.70104531031185,0.155,0.06,4.07519642432408e-32,"CXCL1","ALL_monocytes","up"
2.74901799938419e-89,1.65857715579792,0.374,0.161,5.16870364244216e-85,"THBS1","ALL_monocytes","up"
5.4846046277517e-37,1.63140346434467,0.145,0.052,1.03121536210988e-32,"GSTO2","ALL_monocytes","up"
2.79489668599106e-20,1.59319924366893,0.152,0.088,5.25496474900038e-16,"SORCS2","ALL_monocytes","up"
1.99535458585423e-48,1.54294698210788,0.255,0.127,3.75166569232313e-44,"DUSP4","ALL_monocytes","up"
2.60810971678592e-24,1.49764800697747,0.135,0.065,4.90376788950088e-20,"CFAP68","ALL_monocytes","up"
4.40576363461291e-42,1.43584069983233,0.234,0.119,8.28371678579919e-38,"RETN","ALL_monocytes","up"
1.66188174882788e-57,1.43421895624229,0.292,0.132,3.12467006414619e-53,"CYP1B1","ALL_monocytes","up"
7.93960691799669e-21,1.43023003286621,0.109,0.047,1.49280489272174e-16,"CALCRL","ALL_monocytes","up"
1.43273591177277e-47,1.40756836969757,0.171,0.147,2.69383006131516e-43,"FOLR3","ALL_monocytes","up"
9.50822362500257e-35,1.3966525418242,0.149,0.056,1.78773620597298e-30,"LPAR3","ALL_monocytes","up"
7.19744099393135e-22,1.38489889107117,0.129,0.061,1.35326285567897e-17,"CCDC86","ALL_monocytes","up"
5.88442321535677e-25,1.38199051243363,0.134,0.059,1.10638925295138e-20,"TRNP1","ALL_monocytes","up"
1.31451630962081e-18,1.35518885158167,0.104,0.047,2.47155356534905e-14,"TG","ALL_monocytes","up"
2.47114209386503e-23,1.35204258310717,0.126,0.055,4.64624136488504e-19,"RFX8","ALL_monocytes","up"
5.65977904623173e-52,1.33812825237348,0.296,0.148,1.06415165627249e-47,"PMP22","ALL_monocytes","up"
3.73816061022473e-29,1.32707043447187,0.163,0.081,7.02848957934454e-25,"AP4E1","ALL_monocytes","up"
3.10899822883509e-23,1.31316881911633,0.111,0.045,5.84553846985573e-19,"CLEC11A","ALL_monocytes","up"
2.51042653519222e-45,1.26112013936362,0.262,0.128,4.72010397146841e-41,"TFPI","ALL_monocytes","up"
2.54470924101289e-21,1.24533006955969,0.109,0.045,4.78456231495243e-17,"HSD3B7","ALL_monocytes","up"
3.44506898703796e-24,1.24279638020348,0.165,0.089,6.47741870942878e-20,"SCUBE2","ALL_monocytes","up"
2.46231115757638e-19,1.19275199591122,0.109,0.048,4.62963743847512e-15,"ITGAD","ALL_monocytes","up"
8.87141424464375e-12,1.18304485173978,0.111,0.071,1.66800330627792e-07,"CROCC","ALL_monocytes","up"
1.98093959538918e-25,1.16776885692032,0.124,0.051,3.72456262725074e-21,"ENSG00000226644","ALL_monocytes","up"
1.8159179305968e-16,1.15577182208493,0.127,0.069,3.4142888931081e-12,"ENSG00000289298","ALL_monocytes","up"
3.44519475183276e-44,1.14908859737727,0.318,0.174,6.47765517239595e-40,"NEDD4L","ALL_monocytes","up"
4.11491010663967e-38,1.14792058962248,0.266,0.14,7.7368539825039e-34,"ENSG00000287216","ALL_monocytes","up"
6.50734807826274e-29,1.12236312699272,0.188,0.092,1.22351158567496e-24,"IL1RL2","ALL_monocytes","up"
1.55112259874544e-37,1.12051128266202,0.33,0.203,2.91642071016117e-33,"ENSG00000284685","ALL_monocytes","up"
4.85215472963008e-30,1.11460417856382,0.305,0.205,9.12302132265047e-26,"PAM","ALL_monocytes","up"
