"population","OUD-","OUD+"
"Antigen-presenting monocyte",0.56,15.91
"Classical mono (CCR2/IRF8-high)",4.16,10.34
"Classical monocyte",42.18,56.13
"HLA-G+ monocyte",11.56,0.04
"Inflammatory monocyte",20.66,10.52
"Non-classical/CD16+ monocyte",20.88,7.05
