"population","OUD-","OUD+"
"Antigen-presenting monocyte",15,711
"Classical mono (CCR2/IRF8-high)",112,462
"Classical monocyte",1135,2508
"HLA-G+ monocyte",311,2
"Inflammatory monocyte",556,470
"Non-classical/CD16+ monocyte",562,315
