"","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010"
"B intermediate",0.0764379896808714,0.804953560371517,0.112666988572348,0.375875619340509,0.37662495444053,0.317460317460317,0.321888412017167,0.663682667078253,2.0413870246085,0.179010964421571
"B Naïve",0.554175425186318,19.1950464396285,3.41220022533398,7.20997778916795,11.250151864901,7.17813051146384,5.76333537706928,11.3289087822195,12.5559284116331,2.39427164913851
"CD16+ NCM",0.726160901968278,2.38390092879257,0.241429261226461,2.18691269434478,1.76163285141538,2.663139329806,1.16492949110975,0.848896434634975,1.51006711409396,0.783172969344372
"CD4+ Memory (Treg)",4.6053888782725,3.37461300309598,4.0721068726863,4.4592516658124,4.96901956019925,3.68606701940035,5.2728387492336,3.81231671554252,17.2539149888143,6.95905124188857
"CD4+ Naïve 1",9.05790177718326,5.35603715170279,5.40801545147272,1.02511532547412,5.24845097800996,7.65432098765432,14.4696505211527,11.7919432011113,8.47315436241611,4.74379055717163
"CD4+ Naïve 2",6.01949168736862,2.91021671826625,13.7453726058265,1.1959678797198,1.25136678410886,4.67372134038801,10.22378908645,7.76354375675259,3.10402684563758,1.52159319758335
"CD4+ TCM",10.1853621249761,3.80804953560372,5.45630130371801,1.65726977618315,2.25974972664318,4.95590828924162,11.480686695279,10.2793640993981,8.47315436241611,9.62183933765943
"CD8+ early NK-T-like cytotoxic",0.191094974202178,0.804953560371517,0.643811363270562,1.58892875448488,1.37285870489612,0.0352733686067019,0.107296137339056,0.632813705818799,2.0413870246085,1.67822779145223
"CD8+ Early TEMRA",3.5352570227403,2.08978328173375,5.1022050539192,3.58790363915941,1.08127809500668,3.6331569664903,1.931330472103,4.22904769254515,6.87919463087248,9.26381740881629
"CD8+ Late EM",0.630613414867189,0.0464396284829721,0.193143408981169,1.09345634717239,7.5810958571255,0.388007054673721,0.291232372777437,0.169779286926995,4.27852348993289,1.43208771537257
"CD8+ Naïve ",3.19128606917638,3.69969040247678,1.27152744245936,2.25525371604305,9.26983355606852,3.68606701940035,2.13059472716125,2.34604105571848,2.01342281879195,1.32020586260908
"CD8+ NK-T-like cytotoxic",1.64341677813873,3.86996904024768,0.0321905681635281,0.717580727831881,1.98031830883246,1.48148148148148,0.797057020232986,0.0154344806297268,1.64988814317673,2.19288431416424
"CD8+ TEM (intermediate)",2.33135868526658,2.95665634674923,1.06228874939643,8.40594566888775,3.96063661766493,5.27336860670194,6.13120784794605,2.00648248186449,1.92953020134228,5.23607070933095
"CD8+ TEM (terminal)",15.879992356201,5.24767801857585,10.5263157894737,18.2641380488638,6.01385007896975,5.3968253968254,8.33844267320662,4.50686834388023,8.55704697986577,11.5238308346386
"CD8+ TEMRA",14.8480794955093,19.3343653250774,7.95107033639144,12.2501281394157,10.9221236787754,8.90652557319224,7.46474555487431,8.07223336934712,3.52348993288591,19.4674423808458
"CD8+ Transitional memory",4.83470284731512,4.34984520123839,8.85240624497022,2.23816846061849,4.09427773053092,5.87301587301587,4.49110974862048,8.39635746257138,3.80313199105145,2.10337883195346
"cDC2",0.248423466462832,0.572755417956656,0.547239658779977,0.273364086793098,0.315878994046896,0.529100529100529,0.444512568976088,0.571075783299892,0.195749440715884,0.0447527411053927
"Classical CD14+ mono",9.47831072042805,4.84520123839009,18.010622887494,5.51853750213566,4.1307253067671,12.8924162257496,12.722256284488,11.2363018984411,4.83780760626398,10.2036249720295
"Classical CD14+ Mono (IL1B high)",4.05121345308618,1.62538699690402,3.65362948656044,0.324619853066803,0.121491920787268,0.776014109347443,0.72041692213366,2.16082728816175,0.251677852348993,2.39427164913851
"NK CD56dim",6.2105866615708,6.14551083591331,7.03363914373089,14.7787459422518,9.36702709269834,15.0440917107584,1.08828939301042,6.25096465503936,2.9082774049217,3.93824121727456
"NK CD56high CD16+",0.515956430345882,0.665634674922601,0.482858522452921,8.74765077737912,1.56724577815575,0.476190476190476,0.521152667075414,0.632813705818799,1.00671140939597,0.872678451555158
"pDC",0.324861456143703,0.464396284829721,0.531144374698213,0.615069195284469,0.400923338597983,0.670194003527337,0.812385039852851,0.370427535113443,0.335570469798658,0.469903781606623
"Transitional B cells",0.859927383909803,5.44891640866873,1.6578142604217,1.23013839056894,10.7034382213583,3.80952380952381,3.31085223789086,1.91387559808612,2.37695749440716,1.65585142089953
