"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.02886326202451,0.846,0.174,0,"2","CD82"
0,5.86272873325923,0.411,0.044,0,"2","CD27"
0,4.87834604084049,0.951,0.629,0,"2","CD52"
0,5.47132828250502,0.998,0.832,0,"2","HLA-A"
0,4.84162443983697,1,0.991,0,"2","CD45RA"
4.39861502655592e-282,8.87656044153553,0.723,0.265,5.41029648266379e-280,"2","CD99"
4.58635165281679e-249,4.05991683727483,0.981,0.824,5.64121253296465e-247,"2","ITGA4"
3.59309493761977e-167,3.12681865107297,0.397,0.101,4.41950677327231e-165,"2","CD24"
8.50663011555344e-141,4.4886094871892,0.944,0.792,1.04631550421307e-138,"2","CD44"
2.59889531049686e-134,10.6179386660641,0.992,0.98,3.19664123191114e-132,"2","MS4A1"
4.64694731908152e-115,7.61169561215135,0.543,0.863,5.71574520247028e-113,"2","IGHD"
1.73661470513282e-110,2.0186603974053,0.952,0.818,2.13603608731337e-108,"2","CD45"
1.71142855596437e-99,3.68662569831207,0.895,0.716,2.10505712383618e-97,"2","CD48"
7.84715332694887e-37,11.9938318656179,0.565,0.421,9.65199859214711e-35,"2","SELL"
7.37896353186195e-35,1.24730809951909,0.984,0.97,9.0761251441902e-33,"2","CD19"
9.94806274509733e-32,0.29161855710878,0.4,0.251,1.22361171764697e-29,"2","ITGAL"
7.30872626763772e-18,3.70408532510254,0.854,0.811,8.98973330919439e-16,"2","CD40"
1.77946923965446e-14,4.24221308684576,0.492,0.407,2.18874716477498e-12,"2","CD69"
6.21022907851526e-09,0.90107450837601,0.722,0.685,7.63858176657378e-07,"2","CD47"
3.22111474958817e-07,4.15444569051944,0.301,0.406,3.96197114199344e-05,"2","NT5E"
0.000297432843258387,9.39029012671558,0.878,0.862,0.0365842397207816,"2","CR2"
0.0022161591008191,6.56919752578119,0.955,0.977,0.272587569400749,"2","FCGR2A"
0.00511942736297656,6.229839538038,0.78,0.733,0.629689565646117,"2","ENTPD1"
0.00752137175450982,6.86809608685227,0.64,0.653,0.925128725804708,"2","CD1C"
8.14271745830503e-120,0.357251252553155,0.94,0.787,1.00155424737152e-117,"0","CD40"
3.51575759720492e-42,13.8553009686638,0.493,0.314,4.32438184456205e-40,"0","CD1D"
6.30767586717877e-33,1.91359173773472,0.882,0.756,7.75844131662989e-31,"0","CCR6"
0.000404848019491736,1.63707709536855,0.369,0.361,0.0497963063974835,"0","IGLC1"
3.37548807057392e-09,2.34484577997156,0.577,0.48,4.15185032680592e-07,"4","CD38"
0,14.4824557736656,0.935,0.183,0,"5","ITGAX"
0,5.59198111987865,0.672,0.079,0,"5","LAMP1"
4.5352007655049e-215,3.2553493131921,0.708,0.206,5.57829694157103e-213,"5","CD81"
9.5854602572008e-212,3.01339278315387,0.792,0.311,1.1790116116357e-209,"5","LILRB1"
1.80905324294638e-208,4.44196447752407,0.995,0.97,2.22513548882405e-206,"5","CD19"
2.90608886888859e-154,18.4403114530255,0.557,0.162,3.57448930873296e-152,"5","CD86"
1.88078496085275e-146,6.91099162627747,0.401,0.08,2.31336550184888e-144,"5","FAS"
1.37982160470532e-133,14.5720757708911,0.994,0.973,1.69718057378755e-131,"5","CD22"
1.90539847874398e-92,1.84848508643374,1,0.981,2.34364012885509e-90,"5","HLA-DRA"
4.37990958102839e-31,7.08778396795735,0.393,0.217,5.38728878466491e-29,"5","ICAM1"
0.00460710841136044,1.25988605616823,0.352,0.285,0.566674334597334,"5","CD82"
7.65393233698442e-201,0.898729186796075,0.996,0.751,9.41433677449083e-199,"1","CR1"
6.77164022342996e-136,0.730883863767288,0.978,0.812,8.32911747481885e-134,"1","CD45"
2.30953336913779e-111,1.03462659095963,0.901,0.646,2.84072604403948e-109,"1","CD47"
7.63534380304246e-65,0.624407305616815,1,0.979,9.39147287774222e-63,"1","HLA-DRA"
0,6.90443928470938,0.916,0.036,0,"7","ITGA2B"
0,6.79600317713608,0.727,0.013,0,"7","ITGA6"
0,5.15360570012204,0.722,0.025,0,"7","CD36"
0,7.82365419647835,0.559,0.014,0,"7","CD226"
0,6.63301239467663,0.515,0.014,0,"7","SELP"
1.77076489393892e-127,3.06239918151939,0.819,0.22,2.17804081954487e-125,"7","PECAM1"
1.27799414942388e-13,0.545017218239505,0.85,0.687,1.57193280379137e-11,"7","CD47"
6.16609983857009e-70,8.56450896419192,0.948,0.542,7.58430280144121e-68,"8","CXCR5"
3.52630705157908e-69,3.68503424173924,0.995,0.776,4.33735767344227e-67,"8","CCR6"
1.74443824397205e-59,0.519952546073885,1,0.847,2.14565904008562e-57,"8","ITGA4"
6.12293395507391e-44,1.87663826393067,0.632,0.228,7.53120876474091e-42,"8","PECAM1"
1.76500390190068e-41,0.983051231985715,0.974,0.684,2.17095479933784e-39,"8","CD47"
9.64290796966905e-35,0.271909773255541,0.995,0.837,1.18607768026929e-32,"8","CD45"
5.02649196794823e-05,0.286763297929927,0.492,0.359,0.00618258512057633,"8","IGLC1"
0,15.8623026049785,0.918,0.017,0,"6","CD2"
0,18.4483573759153,0.877,0.013,0,"6","CD3D"
0,27.8051967268478,0.811,0.025,0,"6","CD7"
0,14.759862586931,0.615,0.016,0,"6","CD8A"
0,12.9027882651279,0.471,0.018,0,"6","CD28"
0,11.2930057764245,0.389,0.003,0,"6","TCR-AB"
0,6.65904737833351,0.311,0.004,0,"6","CD45RO"
2.29953764048925e-317,20.7359786745553,0.848,0.092,2.82843129780177e-315,"6","CD5"
7.58062220282957e-230,11.4670008070632,0.262,0.007,9.32416530948037e-228,"6","CD4"
6.448547333906e-188,3.49528123560561,0.307,0.015,7.93171322070438e-186,"6","CD244"
1.52016682610793e-146,24.8722035023279,0.299,0.02,1.86980519611275e-144,"6","ADGRG1"
3.07702279540168e-105,3.55417649501438,0.291,0.028,3.78473803834406e-103,"6","DPP4"
1.1927613792095e-93,14.5874070181046,0.434,0.074,1.46709649642768e-91,"6","ICOS"
6.77515880784651e-47,1.08060186182929,0.389,0.099,8.33344533365121e-45,"6","CD27"
1.06986272085942e-40,3.5767003575568,0.59,0.266,1.31593114665709e-38,"6","ITGAL"
6.41561502514098e-37,1.45934597472386,0.377,0.118,7.8912064809234e-35,"6","ITGB2"
6.47095536232874e-18,2.16450810652547,0.48,0.24,7.95927509566435e-16,"6","CD81"
4.79339930841917e-13,1.12737261642977,0.918,0.839,5.89588114935558e-11,"6","CD45"
0.00156432421606189,5.12510463232435,0.381,0.493,0.192411878575613,"6","CD38"
0,9.41088534960514,0.89,0.031,0,"9","CLEC12A"
0,13.431151452334,0.548,0.002,0,"9","ITGAM"
1.27581442487066e-295,15.7758072475227,0.438,0.006,1.56925174259092e-293,"9","FCGR1A"
1.25737123203208e-197,0.712797496439196,0.562,0.019,1.54656661539946e-195,"9","CD244"
4.56777568208442e-175,1.02647369204093,0.479,0.016,5.61836408896383e-173,"9","ANPEP"
3.3421328843386e-144,34.252626433992,0.781,0.062,4.11082344773648e-142,"9","CD33"
3.18598945890813e-142,6.28240291747078,0.658,0.041,3.918767034457e-140,"9","CD36"
2.09349501391265e-89,9.13000346860462,0.836,0.12,2.57499886711256e-87,"9","ITGB2"
6.32064563288214e-63,6.74167603671292,0.301,0.019,7.77439412844504e-61,"9","ITGA1"
1.50253224913303e-59,5.95323330242563,0.959,0.27,1.84811466643363e-57,"9","ITGAL"
2.29042703050599e-40,4.46100510318647,0.822,0.233,2.81722524752237e-38,"9","PECAM1"
4.31305288352978e-39,4.19658493773794,0.616,0.124,5.30505504674163e-37,"9","LAMP1"
1.69303845603222e-14,1.87416436700353,0.959,0.689,2.08243730091963e-12,"9","CD47"
2.57193047422031e-10,1.91052221806849,0.932,0.841,3.16347448329098e-08,"9","CD45"
1.22628445978024e-09,2.90708894605808,0.959,0.817,1.5083298855297e-07,"9","CD44"
1.64392442965458e-09,2.37288866708454,0.973,0.745,2.02202704847513e-07,"9","CD48"
0.00113625089326986,2.3784305651234,0.699,0.783,0.139758859872192,"9","CCR6"
2.62608319609582e-289,6.1873623081529,0.794,0.357,3.23008233119786e-287,"3","BTLA"
3.28577256134183e-212,6.25677705733541,0.266,0.025,4.04150025045045e-210,"3","CXCR3"
1.44658748864508e-125,3.06319991845387,0.783,0.721,1.77930261103345e-123,"3","IGHM"
2.22870842282378e-117,45.9904899553617,0.944,0.798,2.74131136007325e-115,"3","TNFRSF13C"
1.37639267545352e-64,2.36961053726605,0.282,0.103,1.69296299080783e-62,"3","CD79B"
1.57696557973369e-61,1.39672301986828,0.858,0.784,1.93966766307244e-59,"3","CR1"
9.7722168113315e-52,3.18193975824011,0.509,0.332,1.20198266779377e-49,"3","IGKC"
6.77351503806033e-38,0.329430262467879,1,0.98,8.33142349681421e-36,"3","HLA-DRA"
