"","Transitional B","Naive B","Intermediate B (HLA-G+)","Memory B","Atypical B (ABC/DN2)"
"CD19",7.6622,8.7616,17.1746,14.0504,22.2218
"CD20",10.8284,10.4222,10.6285,17.4031,18.4385
"CD22",10.3465,14.3615,14.3747,12.7414,21.2829
"CD79B",0.1548,0.0519,0.3919,0.21,0.1146
"HLA-DR",5.2768,6.8892,7.3363,6.3086,8.2695
"IgD",18.1364,20.3832,18.8907,10.1314,7.6858
"IgM",5.2336,4.5969,9.8438,5.0343,1.301
"CD27",0.0351,0.0138,0.1713,1.471,0.0729
"CD38",3.0325,2.2692,0.8332,0.5249,0.0801
"CD24",0.3285,0.071,0.1442,0.7062,0.001
"CD86",0.1501,0.1683,0.5466,0.6694,3.9384
"CXCR5",1.0376,1.3323,2.4544,0.8513,0.0905
"LILRB1",0.1136,0.1435,1.401,0.377,2.9108
"CD40",2.1163,4.2114,3.3512,4.2074,0.9852
"CD69",1.0943,1.3486,0.7988,1.7502,0.5454
