"","Transitional B","Naive B","Intermediate B (HLA-G+)","Memory B","Atypical B (ABC/DN2)"
"MS4A1",0.7964,0,0.6523,0.6259,1
"CD79A",0.3909,0.3815,0.6998,0,1
"CD79B",0.8365,0.5344,1,0.4002,0
"CD74",0.2835,0.4529,0.6318,0,1
"BANK1",1,0,0.4249,0.8698,0.6994
"CD19",0.1119,0,0.312,0.1362,1
"BLK",0.3608,0,0.4307,1,0.6417
"IGHD",1,0.7718,0.6633,0,0.3739
"IGHM",1,0.7594,0.4582,0.1382,0
"TCL1A",1,0.5511,0.1875,0.0234,0
"IL4R",1,0.7571,0.0871,0.0233,0
"FCER2",0.7954,1,0.4523,0.1834,0
"CCR7",0.5697,0.9145,0.5418,1,0
"CXCR4",0.793,1,0.7028,0.4235,0
"BACH2",1,0.574,0,0.2145,0.3275
"CD38",1,0.4651,0.1306,0.056,0
"CD10",1,0.3026,0.5112,0.1857,0
"SOX4",0.5526,0.2761,0,0.0632,1
"VPREB3",1,0.5759,0.4425,0.4894,0
"IGLL5",1,0.2878,0.3475,0,0.0144
"CD24",1,0.7745,0.3779,0.764,0
"IL7R",1,0.2449,0.0289,0.0364,0
"CD21",1,0.9274,0.4209,0.6598,0
"FOS",0.2605,1,0,0.1651,0.6126
"JUN",0.5072,1,0.202,0.1153,0
"JUNB",0.1037,1,0,0.4256,0.6721
"DUSP1",0.4358,1,0,0.0687,0.8269
"EGR1",0.1584,0.3979,0,1,0.4874
"IER2",0,0.9359,0.1756,1,0.7494
"NR4A1",0.4249,0.5933,0,0.9494,1
"HLA-G",0.0045,0,1,0.0562,0.7743
"HLA-DRA",0.0241,0.591,0.4954,0,1
"HLA-DPA1",0.071,0.1178,0.1084,0,1
"HLA-DPB1",0.0244,0.0362,0.2376,0,1
"HLA-DRB1",0.1073,0.4279,0.3992,0,1
"AIM2",0.077,0,0.4396,1,0.7385
"TBX21",0,0.0021,0.1078,0.45,1
"ITGAX",0.0365,0,0.0691,0.1701,1
"FCRL5",0.4656,0.1506,0,0.2679,1
"FCRL3",0.9493,0.9237,0,1,0.5987
"ZEB2",0.1787,0,0.1818,0.243,1
"LILRB1",0.1151,0,0.2398,0.246,1
"LILRB2",0.0333,0.0055,0,0.0612,1
"CXCR3",0.0367,0,0.4708,0.5405,1
"CD27",0.0722,0,0.5919,1,0.1551
"COCH",0.0681,0.0053,0.4678,1,0
"LTB",0.7762,0.7808,0.7304,1,0
"CD40",0.857,1,0.979,0.7244,0
"CD83",0.7347,1,0.4085,0.483,0
"TNFRSF13B",0.0607,0,0.2908,1,0.4945
"JCHAIN",0.5525,0.577,0.327,1,0
"XBP1",0.1779,0.2023,0.3405,0,1
"MZB1",1,0.2783,0.17,0.382,0
"PRDM1",0.3692,0,0.049,0.8281,1
