"gene","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"VAV3","OK",0,45.2992238657927,0.0858717845547212,"VAV3",0
"PTPN22","OK",0,56.6102184668577,0.107325982036975,"PTPN22",0
"CD58","OK",0,80.6213905960071,0.152865930730332,"CD58",0
"CD2","OK",0,45.2146194409986,0.0857117931038547,"CD2",0
"TENT5C","OK",0,69.8386126624739,0.132415189250818,"TENT5C",0
"TXNIP","OK",0,45.1817456439028,0.0856496347852751,"TXNIP",0
"MCL1","OK",0,65.5203897035215,0.124220741514438,"MCL1",0
"RORC","OK",0,98.3478087379773,0.185892197409255,"RORC",0
"S100A10","OK",0,126.450995542974,0.239768121108894,"S100A10",0
"S100A11","OK",0,108.767998865065,0.206243774008286,"S100A11",0
"S100A6","OK",0,76.3206830911945,0.144705005214399,"S100A6",0
"S100A4","OK",0,131.692681022298,0.249727038565422,"S100A4",0
"RPS27","OK",0,68.6911095868179,0.130197784837924,"RPS27",0
"LMNA","OK",0,85.7199704613403,0.162529044103395,"LMNA",0
"SH2D2A","OK",0,74.8527705134893,0.141924397805173,"SH2D2A",0
"PYHIN1","OK",0,121.60773524576,0.230596033794804,"PYHIN1",0
"IFI16","OK",0,50.4474568827558,0.095637446783156,"IFI16",0
"FCRL6","OK",0,65.8231852105858,0.124779075288503,"FCRL6",0
"TAGLN2","OK",0,52.2652884484219,0.0990657246306211,"TAGLN2",0
"SLAMF1","OK",0,89.800729352563,0.170263180514297,"SLAMF1",0
"SLAMF7","OK",0,40.3270490928454,0.0764355856185455,"SLAMF7",0
"FCER1G","OK",0,74.9944556192188,0.141955851163673,"FCER1G",0
"FCGR3A","OK",0,150.688935680945,0.285725549654995,"FCGR3A",0
"SH2D1B","OK",0,187.879716669272,0.356042145433043,"SH2D1B",0
"CD247","OK",0,54.4198856200409,0.103170474614436,"CD247",0
"XCL2","OK",0,52.8868926963042,0.100243896248327,"XCL2",0
"C1orf112","OK",0,42.6543574529353,0.0808354810364745,"C1orf112",0
"SELL","OK",0,217.87752014222,0.413163578806854,"SELL",0
"FASLG","OK",0,81.6032940745194,0.15472291297341,"FASLG",0
"GAS5","OK",0,84.4416605920235,0.160107461859194,"GAS5",0
"RABGAP1L","OK",0,69.6729503141564,0.132100678209936,"RABGAP1L",0
