"gene","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"TNFRSF18","OK",0,69.9095526194375,0.175163212039965,"TNFRSF18",0
"TNFRSF4","OK",0,88.8379733693758,0.222633704162281,"TNFRSF4",0
"RPL22","OK",0,54.3669055232574,0.136107129836326,"RPL22",0
"TNFRSF9","OK",0,39.4562483571201,0.0987066542142504,"TNFRSF9",0
"EFHD2","OK",0,44.7422764064731,0.112094825584833,"EFHD2",0
"RPL11","OK",0,62.3301175912903,0.155954356052436,"RPL11",0
"CD52","OK",0,41.8062259961182,0.104730781264997,"CD52",0
"RPS8","OK",0,82.2527169489387,0.205974038974777,"RPS8",0
"RPL5","OK",0,52.2467650635086,0.130787203745574,"RPL5",0
"EEIG2","OK",0,53.0960552495445,0.13303739680069,"EEIG2",0
"CD58","OK",0,88.1265803571914,0.220857130014636,"CD58",0
"TENT5C","OK",0,70.9524757501935,0.177803587040158,"TENT5C",0
"MCL1","OK",0,57.3888669222748,0.143788107527281,"MCL1",0
"S100A10","OK",0,124.972022925603,0.313208819232228,"S100A10",0
"S100A11","OK",0,100.366157555536,0.251523546838276,"S100A11",0
"S100A6","OK",0,53.3612302129374,0.133700895144687,"S100A6",0
"S100A4","OK",0,153.868916533744,0.385673290176939,"S100A4",0
"RPS27","OK",0,58.7287607839552,0.146972555800023,"RPS27",0
"LMNA","OK",0,119.054587655346,0.298382436187497,"LMNA",0
"PYHIN1","OK",0,56.1044952747867,0.140536595653992,"PYHIN1",0
"AIM2","OK",0,41.0010134147522,0.102676729346546,"AIM2",0
"FCRL6","OK",0,39.9390559989097,0.0992907437823695,"FCRL6",0
"SLAMF7","OK",0,59.7637607138805,0.149215663001977,"SLAMF7",0
"FCGR3A","OK",0,61.8365917144421,0.153456778333795,"FCGR3A",0
"XCL2","OK",0,53.4625394242187,0.132161950590559,"XCL2",0
"SELL","OK",0,91.3909189610111,0.229043254230989,"SELL",0
"FASLG","OK",0,55.1959447796728,0.13818061417916,"FASLG",0
"GAS5","OK",0,42.4755356318897,0.1063978035789,"GAS5",0
"C1orf21","OK",0,205.860471668469,0.515486857220688,"C1orf21",0
"NIBAN1","OK",0,196.763930670371,0.493205578419092,"NIBAN1",0
"ENSG00000227240","OK",0,50.9361281884021,0.127490356616229,"ENSG00000227240",0
"PTPRC","OK",0,46.0432467408811,0.115328050940969,"PTPRC",0
"ATP2B4","OK",0,61.7266105440062,0.154671502690583,"ATP2B4",0
"FCMR","OK",0,48.2437861558851,0.120872065525976,"FCMR",0
"CD55","OK",0,86.5872936154693,0.216991315458677,"CD55",0
"ID2","OK",0,58.5712586491996,0.146744502409307,"ID2",0
"HNRNPLL","OK",0,81.8615049539536,0.205146573282489,"HNRNPLL",0
"RPS27A","OK",0,50.8888183809864,0.127288834722461,"RPS27A",0
"PLEK","OK",0,122.073143634309,0.305425239618165,"PLEK",0
"GNLY","OK",0,290.561798921339,0.727800066584407,"GNLY",0
"CD8A","OK",0,60.8010481160849,0.151780085251297,"CD8A",0
"CYTOR","OK",0,86.8873842942042,0.217745311037519,"CYTOR",0
"DUSP2","OK",0,56.5665250868036,0.141737176349188,"DUSP2",0
"IL18RAP","OK",0,38.9264775846215,0.097216558062771,"IL18RAP",0
"MIR4435-2HG","OK",0,72.8383931487312,0.182504274596385,"MIR4435-2HG",0
"ZEB2","OK",0,179.870444098889,0.450738424248759,"ZEB2",0
"ITGA4","OK",0,46.387941755555,0.116218951712741,"ITGA4",0
"PLCL1","OK",0,69.2933352181397,0.173643171866494,"PLCL1",0
"CTLA4","OK",0,57.8798323383726,0.145001954631465,"CTLA4",0
"EEF1B2","OK",0,63.0099911978156,0.157807421474479,"EEF1B2",0
"ENSG00000273118","OK",0,47.966017991727,0.119758902737356,"ENSG00000273118",0
"IKZF2","OK",0,145.460466312237,0.364351572769174,"IKZF2",0
"TUBA4A","OK",0,57.2373364203409,0.143419008631516,"TUBA4A",0
"CCL20","OK",0,60.2903714937602,0.150812804984532,"CCL20",0
"SNED1","OK",0,47.1873218926825,0.118211292553975,"SNED1",0
"BHLHE40","OK",0,92.4936489885782,0.231801191956578,"BHLHE40",0
"RPL32","OK",0,85.8497675882328,0.214977557558924,"RPL32",0
"ANKRD28","OK",0,39.1698008049599,0.098111419793086,"ANKRD28",0
"EOMES","OK",0,86.0555586055395,0.215149968757651,"EOMES",0
"CCR4","OK",0,121.216183648122,0.303798137634628,"CCR4",0
"CX3CR1","OK",0,83.9499675815358,0.20934671336755,"CX3CR1",0
"RPSA","OK",0,44.4217662856209,0.11122261989462,"RPSA",0
"RPL29","OK",0,44.2501167187237,0.110732117817049,"RPL29",0
"FHIT","OK",0,97.9032736609343,0.245362014472884,"FHIT",0
"LRIG1","OK",0,53.1842899388987,0.133245649623747,"LRIG1",0
"PROK2","OK",0,63.0528916340982,0.157648243766922,"PROK2",0
"GPR15","OK",0,42.6706203184408,0.106872552510624,"GPR15",0
"CMSS1","OK",0,60.7930536001296,0.152333667217358,"CMSS1",0
"TIGIT","OK",0,116.688681826621,0.292416863988164,"TIGIT",0
"TM4SF19","OK",0,65.1037964058872,0.161918009866103,"TM4SF19",0
"RPL35A","OK",0,54.723597870161,0.136912583559141,"RPL35A",0
"SPON2","OK",0,55.4651195340202,0.138879978328768,"SPON2",0
"SORCS2","OK",0,39.3388775812488,0.0975153468685138,"SORCS2",0
"FGFBP2","OK",0,278.856001048377,0.698109075460205,"FGFBP2",0
"DTHD1","OK",0,59.4385116526842,0.148375547368459,"DTHD1",0
"RPL9","OK",0,45.1786672689975,0.113077660511456,"RPL9",0
"HOPX","OK",0,51.7816024004234,0.129584563407874,"HOPX",0
"LEF1","OK",0,104.294597540551,0.261392933598047,"LEF1",0
"RPL34","OK",0,77.436592508775,0.193974151880013,"RPL34",0
"ANXA5","OK",0,53.0797569935195,0.132994965866139,"ANXA5",0
"RPS3A","OK",0,82.407444229724,0.206225748123119,"RPS3A",0
"IL7R","OK",0,50.1651495405014,0.125667867736694,"IL7R",0
"RPL37","OK",0,52.979428843851,0.13266963574561,"RPL37",0
"ENSG00000288957","OK",0,68.9882463967597,0.172595080868716,"ENSG00000288957",0
"GZMK","OK",0,46.7054087647425,0.116851873346486,"GZMK",0
"GZMA","OK",0,103.781858096222,0.259867979845327,"GZMA",0
"PIK3R1","OK",0,42.1815046975617,0.105674287311371,"PIK3R1",0
"IQGAP2","OK",0,52.5392719329221,0.131642252700792,"IQGAP2",0
"F2R","OK",0,41.6161192785108,0.104162297899414,"F2R",0
"RPS23","OK",0,76.3717143794985,0.191158804407474,"RPS23",0
"EFNA5","OK",0,56.8985926595599,0.141322293065567,"EFNA5",0
"TCF7","OK",0,40.0042075298809,0.100216518523094,"TCF7",0
"STING1","OK",0,42.2003757337339,0.105709957553904,"STING1",0
"NR3C1","OK",0,62.509556425313,0.156629668722438,"NR3C1",0
"RPS14","OK",0,54.1537351652464,0.135459659012219,"RPS14",0
"ADAM19","OK",0,41.6243782277452,0.104243801965746,"ADAM19",0
"SERPINB9","OK",0,40.6750387401791,0.1018976864865,"SERPINB9",0
"ADTRP","OK",0,43.647192443406,0.109336420780376,"ADTRP",0
"ATXN1","OK",0,56.2407767493182,0.140921790627589,"ATXN1",0
"HLA-G","OK",0,85.103641893317,0.213132926809748,"HLA-G",0
"HLA-A","OK",0,61.367569238653,0.15367521490614,"HLA-A",0
"HLA-C","OK",0,54.2611919220119,0.135883250508493,"HLA-C",0
"HLA-B","OK",0,104.629700661916,0.262066795027466,"HLA-B",0
"LTB","OK",0,72.6378560824602,0.182018994588831,"LTB",0
"CLIC1","OK",0,51.1620456386223,0.128189260116927,"CLIC1",0
"HLA-DRA","OK",0,59.1562828069912,0.148097416213848,"HLA-DRA",0
"HLA-DRB5","OK",0,47.247636139646,0.118152066293454,"HLA-DRB5",0
"HLA-DRB1","OK",0,126.751618509408,0.317574143767577,"HLA-DRB1",0
"HLA-DQA1","OK",0,70.6936705284505,0.176761061369757,"HLA-DQA1",0
"HLA-DQB1","OK",0,76.6866084511123,0.192114145823133,"HLA-DQB1",0
"HLA-DPA1","OK",0,58.8111308863901,0.147335524060016,"HLA-DPA1",0
"HLA-DPB1","OK",0,67.6669368547325,0.169542109494306,"HLA-DPB1",0
"RPS10","OK",0,44.9305924397512,0.112451443513462,"RPS10",0
"RPL10A","OK",0,44.4051588265268,0.111148774847214,"RPL10A",0
"CDKN1A","OK",0,82.1491452444028,0.20587412054192,"CDKN1A",0
"RUNX2","OK",0,54.0772550861147,0.13548279407506,"RUNX2",0
"EEF1A1","OK",0,56.3696504936484,0.141121307567391,"EEF1A1",0
"PNRC1","OK",0,40.5772899375389,0.101629979744371,"PNRC1",0
"BACH2","OK",0,95.8078642324418,0.24010620829127,"BACH2",0
"PRDM1","OK",0,56.9710492995626,0.142728557223369,"PRDM1",0
"SAMD3","OK",0,73.4326010083196,0.18392691443461,"SAMD3",0
"RPS12","OK",0,86.9255989504877,0.217656102089174,"RPS12",0
"PHACTR2","OK",0,51.7239886517902,0.129594975789986,"PHACTR2",0
"UST","OK",0,45.2632852143869,0.113380000319438,"UST",0
"SYNE1","OK",0,40.4892289533992,0.101417368418729,"SYNE1",0
"EZR","OK",0,45.159827565447,0.113110540710843,"EZR",0
"MAP3K4","OK",0,45.42933186179,0.113804663782602,"MAP3K4",0
"CCR6","OK",0,112.446397166835,0.281772744403249,"CCR6",0
"CHST12","OK",0,49.1897365890422,0.123192638756002,"CHST12",0
"GLCCI1","OK",0,49.8515308698151,0.124889263234555,"GLCCI1",0
"AHR","OK",0,46.4071794906277,0.116267699032227,"AHR",0
"AOAH","OK",0,46.3688388086321,0.116134112805018,"AOAH",0
"TRGC2","OK",0,44.1345694684561,0.110388889094264,"TRGC2",0
"TRGV9","OK",0,63.2128603494086,0.157174692417549,"TRGV9",0
"TRGV2","OK",0,52.4825923584187,0.130849354051338,"TRGV2",0
"OGDH","OK",0,50.3235941775312,0.126087746016543,"OGDH",0
"AUTS2","OK",0,79.7034592311667,0.199711644778524,"AUTS2",0
"CDK6","OK",0,40.6041254099832,0.101712053400522,"CDK6",0
"LINC-PINT","OK",0,61.1237402132577,0.153145504548468,"LINC-PINT",0
"GIMAP7","OK",0,73.2687451869708,0.183610210321736,"GIMAP7",0
"GIMAP4","OK",0,41.7576520842153,0.104611061119987,"GIMAP4",0
"GIMAP1","OK",0,39.9954043403572,0.100191186877372,"GIMAP1",0
"GIMAP5","OK",0,61.6617007236425,0.154511922749456,"GIMAP5",0
"MFHAS1","OK",0,44.1186938323547,0.110529248741388,"MFHAS1",0
"DUSP4","OK",0,116.327687582285,0.291538289573481,"DUSP4",0
"SARAF","OK",0,61.5559622766543,0.154165525471324,"SARAF",0
"TOX","OK",0,47.9518602506065,0.120102842484381,"TOX",0
"RPL30","OK",0,79.7619991771845,0.19963761761156,"RPL30",0
"RNF19A","OK",0,69.6061811340095,0.174428388994328,"RNF19A",0
"PABPC1","OK",0,101.872392302836,0.25521779719744,"PABPC1",0
"RPS6","OK",0,49.1027505292032,0.122852100000793,"RPS6",0
"ANXA1","OK",0,80.6544750874531,0.202113366869869,"ANXA1",0
"TXN","OK",0,54.0620286690383,0.135458362364001,"TXN",0
"TNFSF8","OK",0,57.8988325889443,0.145065963085103,"TNFSF8",0
"RPL12","OK",0,42.6453443980307,0.106773643008742,"RPL12",0
"CLIC3","OK",0,63.4323289757441,0.158753954307331,"CLIC3",0
"TUBB4B","OK",0,48.2709673976491,0.120938737549925,"TUBB4B",0
"KLF6","OK",0,62.1573874209611,0.155746798481857,"KLF6",0
"FAM107B","OK",0,48.6249339590363,0.121811418175381,"FAM107B",0
"STAM","OK",0,39.8095699136632,0.0997211154496502,"STAM",0
"ITGB1","OK",0,102.306922243663,0.256409730696145,"ITGB1",0
"CREM","OK",0,49.6361200730456,0.124353885219203,"CREM",0
"ARID5B","OK",0,48.4450933334414,0.121377265123617,"ARID5B",0
"RTKN2","OK",0,81.7341509365227,0.204671750806637,"RTKN2",0
"SRGN","OK",0,51.7174655375733,0.129524905617356,"SRGN",0
"PRF1","OK",0,201.961646873818,0.505750025492415,"PRF1",0
"GLUD1","OK",0,52.1358388994839,0.130630605505227,"GLUD1",0
"FAS","OK",0,39.3390610703715,0.0985414416160809,"FAS",0
"IFIT2","OK",0,53.6701521125687,0.134332883091742,"IFIT2",0
"IFIT3","OK",0,41.8128368898144,0.104613238773374,"IFIT3",0
"IFIT1","OK",0,55.7897101365609,0.139500256021854,"IFIT1",0
