OUD_status,Edit_Distance,Epitope_Target,Total_Clonal_Frequency
OUD-,ED0,BZLF1;NS3,2
OUD-,ED0,EB3A;EB4,3
OUD-,ED0,Gag,51
OUD-,ED0,NP177;pp50;UL29,3
OUD-,ED0,Pol,2
OUD-,ED0,Spike,12
OUD-,ED0,TetanusToxoid,5
OUD-,ED0,UL29,33
OUD-,ED0,pp65;UL29,2
OUD-,ED1,BMLF1;NP;NP177;pp50;TetanusToxoid,2
OUD-,ED1,BZLF1;NS3,2
OUD-,ED1,EB3A;EB4,3
OUD-,ED1,EB4,6
OUD-,ED1,Gag,55
OUD-,ED1,M1;MART1,7
OUD-,ED1,M1;TetanusToxoid;UL29,8
OUD-,ED1,NP177;pp50;UL29,3
OUD-,ED1,NS3,15
OUD-,ED1,Pol,2
OUD-,ED1,SF3B1;UL29,2
OUD-,ED1,Spike,12
OUD-,ED1,TetanusToxoid,5
OUD-,ED1,UL29,73
OUD-,ED1,pp65;UL29,2
OUD-,ED2,AKAP13;UL29,38
OUD-,ED2,BMLF1,10
OUD-,ED2,BZLF1;EB4;UL29,2
OUD-,ED2,BZLF1;NS3,2
OUD-,ED2,CFP10,3
OUD-,ED2,EB3A,4
OUD-,ED2,EB3A;EB4,3
OUD-,ED2,EB4,4
OUD-,ED2,EB4;UL29,41
OUD-,ED2,Gag,55
OUD-,ED2,Gag;TetanusToxoid,2
OUD-,ED2,IGF2BP2;NS5B,18
OUD-,ED2,M1,228
OUD-,ED2,NP177,96
OUD-,ED2,NP177;NS5B;OR5M3-KMV;ORF3;TetanusToxoid;UL29;OR5M3-KMV,6
OUD-,ED2,NP177;UL29,2
OUD-,ED2,NP177;pp50;UL29,29
OUD-,ED2,NS3,6
OUD-,ED2,NS3;TetanusToxoid,5
OUD-,ED2,PMEL,14
OUD-,ED2,Pol,9
OUD-,ED2,Spike,12
OUD-,ED2,TetanusToxoid,378
OUD-,ED2,TetanusToxoid;UL29,12
OUD-,ED2,UL29,357
OUD-,ED2,pp65;UL29,2
OUD+,ED0,CD1-LLG,7
OUD+,ED0,EB4;UL29,2
OUD+,ED0,M1,6
OUD+,ED0,M1;UL29,12
OUD+,ED0,NP177,3
OUD+,ED0,Nef,22
OUD+,ED0,Spike,2
OUD+,ED0,TetanusToxoid,45
OUD+,ED0,UL29,32
OUD+,ED1,BMLF1,96
OUD+,ED1,BMLF1;NP;NP177;pp50;TetanusToxoid,29
OUD+,ED1,CD1-LLG,7
OUD+,ED1,EB4;UL29,2
OUD+,ED1,IGF2BP2;MLANP177;UL29,7
OUD+,ED1,M1,20
OUD+,ED1,M1;UL29,12
OUD+,ED1,NP177,3
OUD+,ED1,NS3;TetanusToxoid;UL29,4
OUD+,ED1,Nef,22
OUD+,ED1,ORF3;UL29,2
OUD+,ED1,Spike,2
OUD+,ED1,TetanusToxoid,48
OUD+,ED1,UL29,43
OUD+,ED2,AKAP13;UL29,98
OUD+,ED2,CD1-LLG,13
OUD+,ED2,EB3A,2
OUD+,ED2,EB4;UL29,41
OUD+,ED2,Gag;TetanusToxoid,2
OUD+,ED2,IGF2BP2;NS5B,9
OUD+,ED2,Insulin precursor,7
OUD+,ED2,M1,15
OUD+,ED2,M1;MART1,6
OUD+,ED2,M1;UL29,12
OUD+,ED2,NP177,18
OUD+,ED2,NP177;NS5B;OR5M3-KMV;ORF3;TetanusToxoid;UL29;OR5M3-KMV,23
OUD+,ED2,NP177;pp50;UL29,9
OUD+,ED2,NP;UL29,2
OUD+,ED2,NS3,7
OUD+,ED2,NS3;TetanusToxoid,5
OUD+,ED2,NS3;TetanusToxoid;UL29,29
OUD+,ED2,NS4B,8
OUD+,ED2,NY-ESO-1,21
OUD+,ED2,Nef,22
OUD+,ED2,Spike,4
OUD+,ED2,TetanusToxoid,137
OUD+,ED2,UL29,232
