Edit_Distance,PID,Epitope_Target,Total_Clonal_Frequency
ED0,S001,Unknown,872
ED0,S001,UL29,4
ED0,S001,TetanusToxoid,3
ED0,S001,Spike,2
ED0,S002,Unknown,1512
ED0,S002,UL29,25
ED0,S002,M1,6
ED0,S003,Unknown,858
ED0,S003,UL29,3
ED0,S004,Unknown,1547
ED0,S004,UL29,33
ED0,S004,NP177;pp50;UL29,3
ED0,S004,Pol,2
ED0,S005,Unknown,1367
ED0,S005,Gag,51
ED0,S005,BZLF1;NS3,2
ED0,S005,TetanusToxoid,2
ED0,S006,Unknown,518
ED0,S006,TetanusToxoid,3
ED0,S007,Unknown,917
ED0,S007,TetanusToxoid,42
ED0,S007,Nef,22
ED0,S007,M1;UL29,12
ED0,S007,NP177,3
ED0,S008,Unknown,515
ED0,S008,CD1-LLG,7
ED0,S008,EB4;UL29,2
ED0,S009,Unknown,346
ED0,S009,Spike,12
ED0,S009,EB3A;EB4,3
ED0,S009,pp65;UL29,2
ED0,S010,Unknown,1342
ED1,S001,Unknown,861
ED1,S001,UL29,8
ED1,S001,IGF2BP2;MLANP177;UL29,7
ED1,S001,TetanusToxoid,3
ED1,S001,Spike,2
ED1,S002,Unknown,1412
ED1,S002,BMLF1,96
ED1,S002,UL29,25
ED1,S002,M1,6
ED1,S002,NS3;TetanusToxoid;UL29,4
ED1,S003,Unknown,813
ED1,S003,BMLF1;NP;NP177;pp50;TetanusToxoid,29
ED1,S003,M1,14
ED1,S003,UL29,3
ED1,S003,ORF3;UL29,2
ED1,S004,Unknown,1522
ED1,S004,UL29,36
ED1,S004,NS3,15
ED1,S004,M1;MART1,7
ED1,S004,NP177;pp50;UL29,3
ED1,S004,Pol,2
ED1,S005,Unknown,1328
ED1,S005,Gag,55
ED1,S005,UL29,35
ED1,S005,BZLF1;NS3,2
ED1,S005,TetanusToxoid,2
ED1,S006,Unknown,518
ED1,S006,TetanusToxoid,3
ED1,S007,Unknown,907
ED1,S007,TetanusToxoid,45
ED1,S007,Nef,22
ED1,S007,M1;UL29,12
ED1,S007,UL29,7
ED1,S007,NP177,3
ED1,S008,Unknown,515
ED1,S008,CD1-LLG,7
ED1,S008,EB4;UL29,2
ED1,S009,Unknown,346
ED1,S009,Spike,12
ED1,S009,EB3A;EB4,3
ED1,S009,pp65;UL29,2
ED1,S010,Unknown,1322
ED1,S010,M1;TetanusToxoid;UL29,8
ED1,S010,EB4,6
ED1,S010,BMLF1;NP;NP177;pp50;TetanusToxoid,2
ED1,S010,SF3B1;UL29,2
ED1,S010,UL29,2
ED2,S001,Unknown,769
ED2,S001,TetanusToxoid,59
ED2,S001,NP177;NS5B;OR5M3-KMV;ORF3;TetanusToxoid;UL29;OR5M3-KMV,16
ED2,S001,UL29,13
ED2,S001,Insulin precursor,7
ED2,S001,M1,7
ED2,S001,Gag;TetanusToxoid,2
ED2,S001,M1;MART1,2
ED2,S001,NP177,2
ED2,S001,NY-ESO-1,2
ED2,S001,Spike,2
ED2,S002,Unknown,1238
ED2,S002,UL29,113
ED2,S002,AKAP13;UL29,96
ED2,S002,NS3;TetanusToxoid;UL29,29
ED2,S002,EB4;UL29,26
ED2,S002,IGF2BP2;NS5B,9
ED2,S002,NP177;pp50;UL29,9
ED2,S002,M1,8
ED2,S002,NS3,7
ED2,S002,M1;MART1,2
ED2,S002,NS4B,2
ED2,S002,Spike,2
ED2,S002,TetanusToxoid,2
ED2,S003,Unknown,798
ED2,S003,UL29,37
ED2,S003,TetanusToxoid,11
ED2,S003,NS3;TetanusToxoid,5
ED2,S003,NP177;NS5B;OR5M3-KMV;ORF3;TetanusToxoid;UL29;OR5M3-KMV,4
ED2,S003,EB3A,2
ED2,S003,NP177,2
ED2,S003,NY-ESO-1,2
ED2,S004,Unknown,1062
ED2,S004,TetanusToxoid,345
ED2,S004,UL29,151
ED2,S004,Pol,9
ED2,S004,NS3;TetanusToxoid,5
ED2,S004,AKAP13;UL29,3
ED2,S004,BMLF1,3
ED2,S004,NP177;pp50;UL29,3
ED2,S004,M1,2
ED2,S004,NP177;UL29,2
ED2,S005,Unknown,1003
ED2,S005,M1,215
ED2,S005,UL29,71
ED2,S005,Gag,55
ED2,S005,AKAP13;UL29,35
ED2,S005,PMEL,12
ED2,S005,TetanusToxoid;UL29,12
ED2,S005,NS3,6
ED2,S005,TetanusToxoid,5
ED2,S005,BZLF1;EB4;UL29,2
ED2,S005,BZLF1;NS3,2
ED2,S005,EB4;UL29,2
ED2,S005,Gag;TetanusToxoid,2
ED2,S006,Unknown,442
ED2,S006,UL29,53
ED2,S006,IGF2BP2;NS5B,8
ED2,S006,TetanusToxoid,8
ED2,S006,BMLF1,3
ED2,S006,M1,3
ED2,S006,EB4;UL29,2
ED2,S006,NP177,2
ED2,S007,Unknown,832
ED2,S007,UL29,65
ED2,S007,TetanusToxoid,44
ED2,S007,Nef,22
ED2,S007,M1;UL29,12
ED2,S007,NS4B,6
ED2,S007,EB4;UL29,5
ED2,S007,NP177,3
ED2,S007,NP177;NS5B;OR5M3-KMV;ORF3;TetanusToxoid;UL29;OR5M3-KMV,3
ED2,S007,AKAP13;UL29,2
ED2,S007,NP;UL29,2
ED2,S008,Unknown,446
ED2,S008,TetanusToxoid,21
ED2,S008,NY-ESO-1,17
ED2,S008,CD1-LLG,13
ED2,S008,NP177,11
ED2,S008,EB4;UL29,10
ED2,S008,UL29,4
ED2,S008,M1;MART1,2
ED2,S009,Unknown,285
ED2,S009,UL29,37
ED2,S009,NP177;pp50;UL29,14
