OUD_status,Edit_Distance,Epitope_Target,Total_Clonal_Frequency
OUD-,ED0,TetanusToxoid,2
OUD-,ED1,Flagellin;TetanusToxoid,2
OUD-,ED1,TetanusToxoid,2
OUD-,ED1,UL29,2
OUD-,ED2,BMLF1;UL29,8
OUD-,ED2,CMV;UL29,2
OUD-,ED2,EB4;UL29,20
OUD-,ED2,Flagellin;TetanusToxoid,2
OUD-,ED2,NP177;pp50,2
OUD-,ED2,TetanusToxoid,11
OUD-,ED2,UL29,11
OUD-,ED2,pp50,2
OUD+,ED0,EB3A;EB4,14
OUD+,ED1,EB3A;EB4,14
OUD+,ED1,Flagellin,4
OUD+,ED1,NP177,2
OUD+,ED2,EB3A;EB4,14
OUD+,ED2,EB4;UL29,10
OUD+,ED2,Gag,4
OUD+,ED2,M1,2
OUD+,ED2,TetanusToxoid,8
OUD+,ED2,UL29,9
