Edit_Distance,PID,Epitope_Target,Total_Clonal_Frequency
ED0,S001,Unknown,24
ED0,S002,Unknown,6
ED0,S003,Unknown,34
ED0,S004,Unknown,11
ED0,S005,Unknown,80
ED0,S006,Unknown,78
ED0,S007,Unknown,24
ED0,S008,Unknown,74
ED0,S008,EB3A;EB4,14
ED0,S009,Unknown,29
ED0,S009,TetanusToxoid,2
ED0,S010,Unknown,97
ED1,S001,Unknown,20
ED1,S001,Flagellin,4
ED1,S002,Unknown,6
ED1,S003,Unknown,34
ED1,S004,Unknown,9
ED1,S004,Flagellin;TetanusToxoid,2
ED1,S005,Unknown,80
ED1,S006,Unknown,76
ED1,S006,UL29,2
ED1,S007,Unknown,24
ED1,S008,Unknown,72
ED1,S008,EB3A;EB4,14
ED1,S008,NP177,2
ED1,S009,Unknown,29
ED1,S009,TetanusToxoid,2
ED1,S010,Unknown,97
ED2,S001,EB4;UL29,10
ED2,S001,TetanusToxoid,8
ED2,S001,Unknown,6
ED2,S002,Unknown,6
ED2,S003,Unknown,34
ED2,S004,Unknown,9
ED2,S004,Flagellin;TetanusToxoid,2
ED2,S005,Unknown,68
ED2,S005,BMLF1;UL29,8
ED2,S005,TetanusToxoid,4
ED2,S006,Unknown,54
ED2,S006,EB4;UL29,18
ED2,S006,CMV;UL29,2
ED2,S006,NP177;pp50,2
ED2,S006,UL29,2
ED2,S007,Unknown,22
ED2,S007,Gag,2
ED2,S008,Unknown,61
ED2,S008,EB3A;EB4,14
ED2,S008,UL29,9
ED2,S008,Gag,2
ED2,S008,M1,2
ED2,S009,Unknown,25
ED2,S009,TetanusToxoid,4
ED2,S009,pp50,2
ED2,S010,Unknown,83
ED2,S010,UL29,9
ED2,S010,TetanusToxoid,3
ED2,S010,EB4;UL29,2
