"predicted.celltype.l2","cloneSize","n"
"CD4 CTL","Hyperexpanded (100 < X <= 500)",3
"CD4 CTL","Large (20 < X <= 100)",21
"CD4 CTL","Medium (5 < X <= 20)",21
"CD4 CTL","Small (1 < X <= 5)",28
"CD4 CTL","Single (0 < X <= 1)",33
"CD4 Naive","Single (0 < X <= 1)",3
"CD4 Proliferating","Small (1 < X <= 5)",4
"CD4 TCM","Hyperexpanded (100 < X <= 500)",3
"CD4 TCM","Large (20 < X <= 100)",18
"CD4 TCM","Medium (5 < X <= 20)",69
"CD4 TCM","Small (1 < X <= 5)",148
"CD4 TCM","Single (0 < X <= 1)",2963
"CD4 TEM","Hyperexpanded (100 < X <= 500)",1
"CD4 TEM","Large (20 < X <= 100)",18
"CD4 TEM","Medium (5 < X <= 20)",16
"CD4 TEM","Small (1 < X <= 5)",22
"CD4 TEM","Single (0 < X <= 1)",44
"CD8 Naive","Large (20 < X <= 100)",1
"CD8 Naive","Medium (5 < X <= 20)",4
"CD8 Naive","Small (1 < X <= 5)",8
"CD8 Naive","Single (0 < X <= 1)",835
"CD8 Proliferating","Small (1 < X <= 5)",1
"CD8 Proliferating","Single (0 < X <= 1)",1
"CD8 TCM","Hyperexpanded (100 < X <= 500)",1
"CD8 TCM","Large (20 < X <= 100)",3
"CD8 TCM","Medium (5 < X <= 20)",9
"CD8 TCM","Small (1 < X <= 5)",24
"CD8 TCM","Single (0 < X <= 1)",2165
"CD8 TEM","Hyperexpanded (100 < X <= 500)",1147
"CD8 TEM","Large (20 < X <= 100)",3066
"CD8 TEM","Medium (5 < X <= 20)",2533
"CD8 TEM","Small (1 < X <= 5)",2555
"CD8 TEM","Single (0 < X <= 1)",2749
"ILC","Small (1 < X <= 5)",1
"ILC","Single (0 < X <= 1)",18
"MAIT","Large (20 < X <= 100)",110
"MAIT","Medium (5 < X <= 20)",16
"MAIT","Small (1 < X <= 5)",38
"MAIT","Single (0 < X <= 1)",124
"NK","Hyperexpanded (100 < X <= 500)",1
"NK","Large (20 < X <= 100)",75
"NK","Medium (5 < X <= 20)",39
"NK","Small (1 < X <= 5)",27
"NK","Single (0 < X <= 1)",19
"NK Proliferating","Large (20 < X <= 100)",1
"NK Proliferating","Medium (5 < X <= 20)",1
"NK Proliferating","Small (1 < X <= 5)",1
"NK Proliferating","Single (0 < X <= 1)",1
"Platelet","Medium (5 < X <= 20)",1
"Platelet","Small (1 < X <= 5)",3
"Platelet","Single (0 < X <= 1)",1
"Treg","Single (0 < X <= 1)",13
"dnT","Single (0 < X <= 1)",27
"gdT","Single (0 < X <= 1)",9
