"seurat_clusters","cloneSize","n"
"0","Small (1 < X <= 5)",7
"0","Single (0 < X <= 1)",2364
"1","Small (1 < X <= 5)",39
"1","Single (0 < X <= 1)",2293
"2","Medium (5 < X <= 20)",2
"2","Small (1 < X <= 5)",46
"2","Single (0 < X <= 1)",1690
"3","Small (1 < X <= 5)",3
"3","Single (0 < X <= 1)",1945
"4","Small (1 < X <= 5)",5
"4","Single (0 < X <= 1)",796
"5","Small (1 < X <= 5)",23
"5","Single (0 < X <= 1)",707
"6","Single (0 < X <= 1)",651
"7","Large (20 < X <= 100)",46
"7","Medium (5 < X <= 20)",138
"7","Small (1 < X <= 5)",138
"7","Single (0 < X <= 1)",184
"8","Medium (5 < X <= 20)",1
"8","Small (1 < X <= 5)",15
"8","Single (0 < X <= 1)",324
"11","Small (1 < X <= 5)",2
"11","Single (0 < X <= 1)",235
"12","Small (1 < X <= 5)",4
"12","Single (0 < X <= 1)",179
"13","Medium (5 < X <= 20)",1
"13","Small (1 < X <= 5)",3
"13","Single (0 < X <= 1)",139
"14","Single (0 < X <= 1)",133
