"seurat_clusters","cloneSize","n"
"0","Large (20 < X <= 100)",7
"0","Medium (5 < X <= 20)",7
"0","Small (1 < X <= 5)",23
"0","Single (0 < X <= 1)",3789
"1","Hyperexpanded (100 < X <= 500)",232
"1","Large (20 < X <= 100)",788
"1","Medium (5 < X <= 20)",373
"1","Small (1 < X <= 5)",301
"1","Single (0 < X <= 1)",225
"2","Hyperexpanded (100 < X <= 500)",231
"2","Large (20 < X <= 100)",516
"2","Medium (5 < X <= 20)",624
"2","Small (1 < X <= 5)",559
"2","Single (0 < X <= 1)",499
"3","Hyperexpanded (100 < X <= 500)",82
"3","Large (20 < X <= 100)",274
"3","Medium (5 < X <= 20)",356
"3","Small (1 < X <= 5)",563
"3","Single (0 < X <= 1)",902
"4","Hyperexpanded (100 < X <= 500)",94
"4","Large (20 < X <= 100)",288
"4","Medium (5 < X <= 20)",470
"4","Small (1 < X <= 5)",497
"4","Single (0 < X <= 1)",547
"5","Hyperexpanded (100 < X <= 500)",149
"5","Large (20 < X <= 100)",741
"5","Medium (5 < X <= 20)",403
"5","Small (1 < X <= 5)",404
"5","Single (0 < X <= 1)",219
"8","Hyperexpanded (100 < X <= 500)",1
"8","Large (20 < X <= 100)",3
"8","Medium (5 < X <= 20)",14
"8","Small (1 < X <= 5)",67
"8","Single (0 < X <= 1)",1092
"11","Hyperexpanded (100 < X <= 500)",304
"11","Large (20 < X <= 100)",225
"11","Medium (5 < X <= 20)",139
"11","Small (1 < X <= 5)",67
"11","Single (0 < X <= 1)",32
"12","Hyperexpanded (100 < X <= 500)",1
"12","Large (20 < X <= 100)",193
"12","Medium (5 < X <= 20)",26
"12","Small (1 < X <= 5)",63
"12","Single (0 < X <= 1)",200
"13","Hyperexpanded (100 < X <= 500)",2
"13","Large (20 < X <= 100)",11
"13","Medium (5 < X <= 20)",8
"13","Small (1 < X <= 5)",22
"13","Single (0 < X <= 1)",442
"14","Large (20 < X <= 100)",13
"14","Medium (5 < X <= 20)",39
"14","Small (1 < X <= 5)",47
"14","Single (0 < X <= 1)",431
"15","Large (20 < X <= 100)",32
"15","Medium (5 < X <= 20)",29
"15","Small (1 < X <= 5)",16
"15","Single (0 < X <= 1)",12
"16","Large (20 < X <= 100)",14
"16","Medium (5 < X <= 20)",29
"16","Small (1 < X <= 5)",52
"16","Single (0 < X <= 1)",232
"17","Hyperexpanded (100 < X <= 500)",12
"17","Large (20 < X <= 100)",40
"17","Medium (5 < X <= 20)",27
"17","Small (1 < X <= 5)",41
"17","Single (0 < X <= 1)",115
"18","Hyperexpanded (100 < X <= 500)",15
"18","Large (20 < X <= 100)",41
"18","Medium (5 < X <= 20)",45
"18","Small (1 < X <= 5)",30
"18","Single (0 < X <= 1)",99
"19","Hyperexpanded (100 < X <= 500)",23
"19","Large (20 < X <= 100)",52
"19","Medium (5 < X <= 20)",26
"19","Small (1 < X <= 5)",24
"19","Single (0 < X <= 1)",31
"20","Hyperexpanded (100 < X <= 500)",5
"20","Large (20 < X <= 100)",14
"20","Medium (5 < X <= 20)",17
"20","Small (1 < X <= 5)",38
"20","Single (0 < X <= 1)",68
"21","Large (20 < X <= 100)",39
"21","Medium (5 < X <= 20)",56
"21","Small (1 < X <= 5)",28
"21","Single (0 < X <= 1)",36
"22","Hyperexpanded (100 < X <= 500)",4
"22","Large (20 < X <= 100)",13
"22","Medium (5 < X <= 20)",17
"22","Small (1 < X <= 5)",14
"22","Single (0 < X <= 1)",23
"23","Hyperexpanded (100 < X <= 500)",1
"23","Large (20 < X <= 100)",9
"23","Medium (5 < X <= 20)",3
"23","Small (1 < X <= 5)",4
"23","Single (0 < X <= 1)",11
"24","Medium (5 < X <= 20)",1
