"predicted.celltype.l2","cloneSize","n"
"CD4 CTL","Large (20 < X <= 100)",20
"CD4 CTL","Medium (5 < X <= 20)",77
"CD4 CTL","Small (1 < X <= 5)",89
"CD4 CTL","Single (0 < X <= 1)",50
"CD4 Naive","Single (0 < X <= 1)",44
"CD4 Proliferating","Single (0 < X <= 1)",2
"CD4 TCM","Medium (5 < X <= 20)",5
"CD4 TCM","Small (1 < X <= 5)",142
"CD4 TCM","Single (0 < X <= 1)",10932
"CD4 TEM","Medium (5 < X <= 20)",1
"CD4 TEM","Small (1 < X <= 5)",3
"CD4 TEM","Single (0 < X <= 1)",14
"CD8 Naive","Single (0 < X <= 1)",1
"CD8 TCM","Single (0 < X <= 1)",8
"CD8 TEM","Large (20 < X <= 100)",26
"CD8 TEM","Medium (5 < X <= 20)",58
"CD8 TEM","Small (1 < X <= 5)",48
"CD8 TEM","Single (0 < X <= 1)",136
"ILC","Single (0 < X <= 1)",5
"MAIT","Medium (5 < X <= 20)",1
"MAIT","Small (1 < X <= 5)",2
"MAIT","Single (0 < X <= 1)",11
"Platelet","Single (0 < X <= 1)",1
"Treg","Small (1 < X <= 5)",1
"Treg","Single (0 < X <= 1)",431
"dnT","Single (0 < X <= 1)",2
"gdT","Single (0 < X <= 1)",3
