"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.05949044031938e-35,4.35356956451917,0.056,0.003,1.9920539258885e-31,"Memory B","MSC"
2.54057261935269e-23,4.05187695903535,0.045,0.005,4.77678463890692e-19,"Memory B","ATP8B4"
1.02170785167207e-79,3.93749441211982,0.133,0.01,1.92101510271383e-75,"Memory B","NLGN4Y"
3.47451454387545e-23,3.77681448805439,0.043,0.004,6.53278224539461e-19,"Memory B","MIR3142HG"
2.87234845792457e-24,3.62804291366378,0.041,0.003,5.40058957058977e-20,"Memory B","MSC-AS1"
1.04377099805179e-85,3.54923289186614,0.151,0.013,1.96249823053697e-81,"Memory B","SGPP2"
9.9169363237692e-40,3.47180460735221,0.066,0.005,1.86458236759508e-35,"Memory B","HOMER3"
3.04903496480313e-38,3.44497657777059,0.067,0.005,5.73279554082285e-34,"Memory B","LINC02541"
4.15817348514394e-123,3.32402544646817,0.235,0.026,7.81819778676763e-119,"Memory B","TMEM273"
2.98895324381111e-43,3.25655278702786,0.091,0.011,5.61982988901366e-39,"Memory B","TVP23A"
1.11889638371102e-41,3.22343538570599,0.089,0.011,2.10374898065346e-37,"Memory B","MGLL"
3.40020513789111e-85,3.19120508896466,0.167,0.018,6.39306570026287e-81,"Memory B","LINC00944"
4.15796725425257e-23,3.15088171170675,0.048,0.005,7.81781003144569e-19,"Memory B","LINC02156"
3.59556358094726e-123,3.14657670871995,0.248,0.03,6.76037864489705e-119,"Memory B","TESC"
3.65759430223808e-30,3.10525978380422,0.063,0.007,6.87700880706803e-26,"Memory B","COL18A1"
1.21606253490767e-44,3.02731523276825,0.099,0.013,2.2864407781334e-40,"Memory B","LINC02416"
1.42369436537513e-39,2.99925698790685,0.081,0.009,2.67683014577831e-35,"Memory B","ITGAM"
8.63055400538458e-112,2.91483733753974,0.268,0.045,1.62271676409241e-107,"Memory B","TEX9"
1.16704995487176e-27,2.90451699343104,0.059,0.007,2.19428732514989e-23,"Memory B","BCAS1"
4.39406395693288e-36,2.83596774080382,0.074,0.009,8.2617190518252e-32,"Memory B","ENSG00000258760"
1.12499177156303e-167,2.79228820403741,0.395,0.071,2.1152095288928e-163,"Memory B","TFEC"
3.44260200124593e-158,2.76281405355008,0.361,0.06,6.47278028274261e-154,"Memory B","CD70"
3.57201821511411e-17,2.72841542938413,0.039,0.005,6.71610864805755e-13,"Memory B","BTNL9"
5.66972853631382e-36,2.65791473316526,0.077,0.01,1.06602235939772e-31,"Memory B","HSPA12A"
5.20297855347143e-24,2.64848498174017,0.056,0.008,9.78264027623699e-20,"Memory B","LINC01781"
2.81517748051515e-46,2.64482385592486,0.1,0.013,5.29309669886458e-42,"Memory B","CCL5"
5.28082396396632e-25,2.63349874503175,0.058,0.008,9.92900521704948e-21,"Memory B","UGGT2"
2.31770883240207e-68,2.62264504129791,0.154,0.022,4.35775614668237e-64,"Memory B","COCH"
8.95827640791567e-153,2.62047745499266,0.39,0.078,1.6843351302163e-148,"Memory B","PVT1"
1.73874605610213e-139,2.58826018822394,0.33,0.056,3.26919033468323e-135,"Memory B","CD80"
1.67589377271502e-34,2.58301899964086,0.091,0.015,3.15101547145878e-30,"Memory B","ENSG00000249738"
5.94764753233042e-134,2.5734260567252,0.275,0.037,1.11827668902877e-129,"Memory B","CD27"
4.6332514298007e-46,2.5616200600872,0.12,0.02,8.71143933831128e-42,"Memory B","IL6R"
7.05772236109714e-89,2.53261087093683,0.211,0.033,1.32699295833348e-84,"Memory B","RGPD2"
2.06644959517768e-42,2.53171852240949,0.109,0.018,3.88533852885308e-38,"Memory B","TSHZ2"
2.30079043193655e-52,2.52941694120172,0.127,0.02,4.32594617012711e-48,"Memory B","TRPV3"
3.59942928439185e-15,2.52341223608217,0.035,0.005,6.76764694051356e-11,"Memory B","CSF1"
7.71953889585683e-18,2.51869725334435,0.045,0.007,1.451427703199e-13,"Memory B","PIF1"
8.66945901688758e-17,2.50450292827611,0.044,0.007,1.6300316843552e-12,"Memory B","ENSG00000290100"
7.46039125220282e-322,2.47919106570565,0.716,0.168,1.40270276323917e-317,"Memory B","TNFRSF13B"
1.11959825445251e-33,2.47586128372415,0.091,0.016,2.10506863802161e-29,"Memory B","COL4A4"
1.05915389031554e-28,2.45336681728269,0.07,0.011,1.99142114457128e-24,"Memory B","CRACR2B"
1.04198983413904e-16,2.45163525473635,0.048,0.009,1.95914928614822e-12,"Memory B","CDC42EP3-AS1"
1.12256067987599e-46,2.42500141879849,0.133,0.026,2.11063859030283e-42,"Memory B","TBXAS1"
4.31896552740796e-76,2.40785743876601,0.181,0.029,8.12051898463244e-72,"Memory B","LPAR2"
5.0117802513453e-18,2.40190950600703,0.055,0.011,9.42314922857944e-14,"Memory B","CD226"
5.0688204106545e-42,2.38837778833938,0.102,0.016,9.53039613611258e-38,"Memory B","COL4A3"
1.40225365533094e-13,2.38652698701659,0.034,0.006,2.63651732275323e-09,"Memory B","BIK"
1.24763793888954e-36,2.38443244562592,0.102,0.019,2.34580885270012e-32,"Memory B","LAX1"
1.67641757697397e-42,2.37531087261514,0.107,0.018,3.15200032822646e-38,"Memory B","ENSG00000290698"
3.75636001571917e-21,2.3723225485503,0.054,0.009,7.06270810155518e-17,"Memory B","RHOBTB3"
1.03947645395448e-16,2.37057602778007,0.042,0.007,1.95442362872521e-12,"Memory B","ITPRIPL2"
