"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","direction"
1.75972973164094e-33,-0.553597926673729,0.468,0.503,3.3086438414313e-29,"Memory B","GNB5","down"
1.9161123910413e-06,-0.553062504679251,0.053,0.056,0.0360267451763585,"Memory B","CHRNE","down"
8.69501760274653e-34,-0.553022277469682,0.331,0.338,1.6348372096684e-29,"Memory B","LTA4H","down"
3.64216431993833e-07,-0.552535513698241,0.032,0.031,0.00684799735434804,"Memory B","ZNF597","down"
5.88003037974552e-38,-0.552101958252989,0.367,0.377,1.10556331199975e-33,"Memory B","TBC1D1","down"
2.479970082977e-15,-0.552030369174964,0.084,0.083,4.66283975001335e-11,"Memory B","PIK3C2B","down"
1.14319211682913e-07,-0.551890961239664,0.04,0.042,0.00214942981806214,"Memory B","ZNF579","down"
1.01128064817061e-28,-0.551753949979147,0.356,0.344,1.90140987469038e-24,"Memory B","CDK11B","down"
1.35443924721401e-22,-0.551236923995952,0.289,0.296,2.54661667261178e-18,"Memory B","ZBTB10","down"
1.2359250766356e-16,-0.551107783415617,0.12,0.115,2.32378632909026e-12,"Memory B","H2BC4","down"
2.27799657915505e-07,-0.549893208378675,0.043,0.04,0.00428308916812733,"Memory B","NT5E","down"
1.26641419633706e-12,-0.549382777294033,0.094,0.081,2.38111197195294e-08,"Memory B","ENSG00000291078","down"
1.33321282261267e-25,-0.548530669733547,0.199,0.2,2.50670674907633e-21,"Memory B","HSPBAP1","down"
6.24065791120511e-12,-0.548198405013389,0.063,0.064,1.17336850046478e-07,"Memory B","ST3GAL2","down"
1.57059386198458e-06,-0.548133891174429,0.022,0.02,0.0295303057930341,"Memory B","NMNAT3","down"
1.98578278099593e-11,-0.547583620792989,0.075,0.079,3.73366878482854e-07,"Memory B","ZNF701","down"
1.15574183481064e-26,-0.546260431626997,0.435,0.454,2.17302579781096e-22,"Memory B","GALNT2","down"
9.23626858984461e-12,-0.545541620015961,0.059,0.057,1.73660322026258e-07,"Memory B","ZNF154","down"
4.25271632571912e-10,-0.545382116932893,0.104,0.106,7.99595723561709e-06,"Memory B","TENT5A","down"
6.00682771400085e-28,-0.543719707673536,0.269,0.275,1.12940374678644e-23,"Memory B","E2F5","down"
3.3945422760689e-08,-0.543198656792778,0.062,0.063,0.000638241838746474,"Memory B","DZIP3","down"
2.31410987676807e-12,-0.54183310088338,0.093,0.085,4.35098939029932e-08,"Memory B","EOLA1","down"
8.04478389170401e-18,-0.539102958025364,0.109,0.102,1.51258026731819e-13,"Memory B","GCHFR","down"
1.92720677879388e-27,-0.53782059787794,0.188,0.189,3.62353418548826e-23,"Memory B","ENSG00000291214","down"
4.38994014584811e-09,-0.537447693392203,0.038,0.037,8.25396546222361e-05,"Memory B","NIPBL-DT","down"
1.44677395677253e-12,-0.535875900160443,0.09,0.09,2.7202243935237e-08,"Memory B","TFDP2","down"
8.06877181409218e-41,-0.535829235146493,0.443,0.438,1.51709047648561e-36,"Memory B","WDFY2","down"
4.59651592649812e-32,-0.534868509213577,0.456,0.453,8.64236924500176e-28,"Memory B","TSPAN33","down"
1.49436410666434e-35,-0.534416822663297,0.242,0.235,2.80970339335028e-31,"Memory B","CEP135","down"
1.6132800553072e-18,-0.532907340187294,0.113,0.109,3.03328915998859e-14,"Memory B","ZNF626","down"
8.58498662987538e-29,-0.532748751464501,0.296,0.283,1.61414918614917e-24,"Memory B","PAX5","down"
2.82621208479964e-26,-0.529881012205862,0.153,0.152,5.31384396184029e-22,"Memory B","ENSG00000291067","down"
4.02339411610447e-12,-0.529621389935178,0.093,0.096,7.56478561709962e-08,"Memory B","TRIM5","down"
1.53726830358415e-14,-0.529445112955492,0.069,0.067,2.89037186439893e-10,"Memory B","CLN3","down"
7.8805741208767e-37,-0.527994145042289,0.188,0.179,1.48170554620724e-32,"Memory B","LMBR1L","down"
8.93314046237365e-21,-0.527302884648879,0.12,0.116,1.67960906973549e-16,"Memory B","CROCCP2","down"
2.12526964569138e-09,-0.527256659481802,0.06,0.06,3.99593198782893e-05,"Memory B","ZNF606","down"
4.64356714998908e-23,-0.527149236694112,0.403,0.434,8.73083495540947e-19,"Memory B","S1PR1","down"
2.76324371516168e-07,-0.526894026628008,0.059,0.063,0.00519545083324699,"Memory B","GABBR1","down"
1.02436477998582e-36,-0.526838080301341,0.357,0.362,1.92601065932933e-32,"Memory B","CMIP","down"
2.38545927760628e-49,-0.52590929790956,0.636,0.632,4.48514053375532e-45,"Memory B","UBE2R2","down"
9.75918264244729e-22,-0.525388626399328,0.127,0.129,1.83492152043294e-17,"Memory B","ENSG00000259945","down"
5.47048668999429e-16,-0.525152425588582,0.117,0.106,1.02856090745273e-11,"Memory B","TSC22D1","down"
6.06466501885125e-39,-0.524888030541228,0.569,0.592,1.14027831684441e-34,"Memory B","HLA-DMB","down"
9.83738809229295e-16,-0.524678557442094,0.124,0.13,1.84962570911292e-11,"Memory B","RBM4B","down"
2.3668901051993e-18,-0.524282063173985,0.199,0.191,4.45022677579572e-14,"Memory B","PER1","down"
2.77483920984415e-09,-0.522994978950834,0.062,0.064,5.21725268234898e-05,"Memory B","SYCP3","down"
7.90521464097177e-12,-0.522613244615004,0.044,0.039,1.48633845679551e-07,"Memory B","ENSG00000291121","down"
1.55408318917721e-14,-0.522326429864276,0.114,0.121,2.92198721229099e-10,"Memory B","ENSG00000272742","down"
5.91100294877434e-19,-0.521551305121579,0.17,0.172,1.11138677442855e-14,"Memory B","ATP10D","down"
2.74478562308269e-43,-0.521458543607932,0.374,0.354,5.16074592852008e-39,"Memory B","CCPG1","down"
7.74513178468669e-28,-0.521308065096854,0.193,0.192,1.45623967815679e-23,"Memory B","HDAC5","down"
3.69693382312591e-38,-0.521277283879971,0.543,0.553,6.95097497424134e-34,"Memory B","ARFGAP3","down"
2.40652509849907e-08,-0.520377459337612,0.032,0.03,0.000452474849019795,"Memory B","ZNF613","down"
2.33797102209555e-23,-0.520157160641256,0.228,0.226,4.39585311574404e-19,"Memory B","EEIG2","down"
2.50169204179394e-24,-0.519677290747663,0.131,0.126,4.70368137698097e-20,"Memory B","RGP1","down"
3.9057429982265e-24,-0.519076597862434,0.213,0.211,7.34357798526546e-20,"Memory B","MOB1B","down"
6.71587082424687e-51,-0.518868666345901,0.891,0.907,1.2627180323749e-46,"Memory B","FXYD5","down"
1.87476924786022e-10,-0.518552179180281,0.071,0.07,3.52494113982678e-06,"Memory B","ZNF738","down"
4.34184533383468e-22,-0.517775691652335,0.066,0.056,8.16353759667597e-18,"Memory B","SMIM27","down"
8.19696545502542e-22,-0.516957289153928,0.188,0.185,1.54119344485388e-17,"Memory B","SLC35D1","down"
1.55185049823789e-08,-0.51603658413636,0.035,0.029,0.000291778930678689,"Memory B","CYB5D2","down"
