"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.96130875870635e-37,3.00607775416668,0.058,0.007,5.56785272811969e-33,"Naive B","ENSG00000263551"
1.6682644253393e-10,2.89182041102234,0.022,0.006,3.13667077252296e-06,"Naive B","ID1"
6.97958593130067e-08,2.69023198831031,0.027,0.013,0.00131230174680315,"Naive B","HSPA6"
1.86679766163311e-69,2.47750400040767,0.148,0.035,3.50995296340258e-65,"Naive B","DSP"
1.27048956573762e-11,2.18016845640167,0.027,0.006,2.38877448149988e-07,"Naive B","SLC38A11"
3.21558688813417e-12,2.15941525850032,0.028,0.006,6.04594646706987e-08,"Naive B","LCN8"
1.36090350455462e-38,2.10370098650298,0.242,0.203,2.5587707692636e-34,"Naive B","DNAJB1"
1.05794796437082e-12,2.02630815969421,0.036,0.011,1.98915376261002e-08,"Naive B","TUNAR"
7.98095474944373e-42,2.02010851658301,0.155,0.173,1.50057911199041e-37,"Naive B","HSPA1B"
3.98568742073133e-42,2.00533332775129,0.134,0.152,7.49388948845905e-38,"Naive B","HSPA1A"
1.65122639340701e-23,1.97040687120074,0.08,0.034,3.10463586488386e-19,"Naive B","HSPA2"
3.44732299486124e-07,1.84332733019981,0.026,0.011,0.00648165669493811,"Naive B","GADD45G"
2.02549201381321e-13,1.81585346341477,0.042,0.014,3.8083300843716e-09,"Naive B","ZDHHC19"
2.2313921560651e-27,1.80916196792553,0.084,0.025,4.19546353183361e-23,"Naive B","KCNG1"
2.6731059183858e-33,1.7488577719519,0.319,0.298,5.02597374774899e-29,"Naive B","FOS"
1.63765576056141e-08,1.71492846312784,0.027,0.011,0.000307912036100756,"Naive B","CASP4LP"
1.46018695700755e-10,1.70054969700623,0.037,0.018,2.7454435165656e-06,"Naive B","RND1"
2.42827289084526e-09,1.66675990768306,0.033,0.011,4.56563868936726e-05,"Naive B","KRT18"
6.30295768556331e-21,1.62613870808024,0.093,0.044,1.18508210403961e-16,"Naive B","CA2"
1.76984964233834e-30,1.61638404993522,0.112,0.044,3.32767129752454e-26,"Naive B","CNN3"
3.10806331853725e-10,1.60597059474113,0.037,0.014,5.84378065151374e-06,"Naive B","CHI3L2"
7.32365018880633e-08,1.59744007480668,0.025,0.011,0.00137699270849937,"Naive B","C8orf88"
6.94197375126438e-13,1.59528229626514,0.053,0.022,1.30522990471273e-08,"Naive B","ENSG00000289340"
1.64474587079666e-10,1.55629062008333,0.031,0.015,3.09245118627189e-06,"Naive B","NCR3LG1"
1.70053746604936e-10,1.53838805668389,0.048,0.023,3.197350543666e-06,"Naive B","KLF4"
1.71228570522306e-13,1.51604274029995,0.069,0.049,3.21943958296039e-09,"Naive B","BAG3"
1.98778200414406e-09,1.47291604464277,0.03,0.01,3.73742772419167e-05,"Naive B","ST8SIA1"
3.19967223450925e-08,1.46525827600811,0.033,0.015,0.00060160237353243,"Naive B","COL1A1"
1.49983581591769e-16,1.44876873851392,0.081,0.039,2.81999130108845e-12,"Naive B","PHLDB2"
4.91744934672583e-10,1.439430865615,0.047,0.021,9.2457882617139e-06,"Naive B","ZBTB16"
1.90684961005073e-08,1.40706397575946,0.033,0.015,0.000358525863681738,"Naive B","ZNF853"
7.56855822981748e-19,1.36019083740835,0.096,0.045,1.42304031837028e-14,"Naive B","SERPINE2"
3.55494638423364e-11,1.3582784627641,0.063,0.03,6.6840101916361e-07,"Naive B","IL6"
8.14592807277804e-16,1.35341659027921,0.074,0.031,1.53159739624373e-11,"Naive B","GNG8"
1.03586499023192e-06,1.34926249191205,0.029,0.017,0.0194763335463406,"Naive B","TNFRSF10D"
2.08484997958346e-21,1.33805243915212,0.118,0.061,3.91993493161282e-17,"Naive B","CD9"
6.13329215103496e-148,1.33223650068533,0.566,0.276,1.15318159023759e-143,"Naive B","FCER2"
3.78743644659172e-32,1.33091298783551,0.161,0.072,7.12113800688176e-28,"Naive B","INSR"
