"","Classical_Mono","Intermediate_Mono","NonClassical_Mono","Inflammatory","IFN_ISG","Antigen_Presenting","cDC1","cDC2","pDC","Proliferation","Platelet_contam"
"0",0.3423,0.3488,-0.1886,0.4265,-0.0728,0.4939,0.0098,0.0161,-0.0335,-0.0019,-0.016
"1",0.472,0.3178,-0.2876,0.3876,-0.0412,0.5668,-0.0098,0.0064,0.0165,-0.0044,0.0667
"2",0.5717,0.4413,-0.1321,0.6866,0.0688,0.4828,-0.0111,-0.01,-0.0487,2e-04,-0.0142
"3",0.4346,0.2648,-0.1858,0.4057,-0.0264,0.3564,0.0047,-0.0012,-0.0183,-0.0025,9e-04
"4",0.3379,0.583,-0.1893,0.2431,-0.0183,0.8956,-0.0026,0.0233,-1e-04,-0.0026,-0.004
"5",-0.31,1.2017,0.7734,-0.2468,0.1851,1.0132,0.0073,-0.0207,0.0289,0.0059,-0.0332
"6",0.7266,0.493,-0.1425,0.6837,0.0011,0.6123,0.0445,-0.0211,-0.033,-0.0052,-0.0348
"7",0.3532,0.5399,-0.1887,0.2538,-0.0714,0.6509,-0.0209,-0.0049,-0.0336,-0.0014,-0.0023
"8",-0.3714,1.3186,0.7857,-0.3417,0.0014,1.1353,-0.0316,-0.0107,-0.0697,0.0054,-0.032
"9",0.3416,0.4242,-0.1531,0.407,-0.0614,0.5518,0.0131,-0.0081,-0.0244,-0.0021,-0.0115
