"Subcluster_ID","n_cells","med_nFeature","med_nCount","med_pct_mt"
"0",1435,2215,7803,1.59
"1",1328,2431,9250.5,1.85
"2",1026,2560.5,9570,1.61
"3",880,2040,6805,1.67
"4",726,2603.5,9905.5,2.07
"5",707,3200,11696,2.49
"6",574,2216,6823.5,1.97
"7",313,2150,7224,1.85
"8",170,2871.5,9988.5,2.97
"9",121,2396,8645,2.42
