"Module","n_pos","n_neg","mean_pos","mean_neg","cohens_d","p_value","p_adj","star"
"Cytotoxic_Effector",28,71,-0.154893465248281,0.416839482626272,-0.901386917701652,5.99904292456595e-05,0.000179971287736979,"***"
"Exhaustion",28,71,-0.110612670882271,-0.0329500732640376,-0.384262278832886,0.100339698594228,0.150509547891342,""
"Interferon_Response",28,71,-0.0034711412005331,0.0374215377223103,-0.168140016323934,0.390611617192696,0.390611617192696,""
