"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TOPORS",0.476664255687265,0.559336274961916,0.179,0.127,1
"CD8A",0.00445685091816552,0.559254376835144,0.964,0.93,1
"RBM27",0.23838723885713,-0.559162882241246,0.25,0.38,1
"HOPX",0.261333738811962,-0.559034448101384,0.107,0.197,1
"TBCA",0.201839226456059,-0.558991128525762,0.429,0.535,1
"EIF5B",0.148112704441324,0.558849416069134,0.607,0.465,1
"SNHG25",0.500386284662925,0.558415994937644,0.25,0.197,1
"CYB561D2",0.407982451301608,-0.558386985016777,0.179,0.239,1
"COL6A2",0.533996627808984,0.557804339279513,0.179,0.127,1
"GMDS",0.464560263345442,-0.557760490410082,0.179,0.239,1
"C6orf47",0.876035066995972,0.557390262541552,0.107,0.099,1
"MRPL44",0.559591989845024,-0.557277767500461,0.107,0.155,1
"KIAA0753",0.391634589216643,0.557239378960968,0.107,0.056,1
"YJU2B",0.453731904699744,0.557034876716856,0.286,0.225,1
"PNO1",0.287271528847319,0.556992526287329,0.25,0.141,1
"STAMBP",0.52629686636159,0.556973087206451,0.143,0.099,1
"TOMM20",0.429118831283579,0.556818912788557,0.714,0.62,1
"STAU2",0.616106632576222,0.556753080286399,0.107,0.07,1
"GART",0.264946788744698,-0.556364450183115,0.107,0.211,1
"RFTN1",0.104848001692095,0.556319716026455,0.643,0.493,1
"FYCO1",0.54505310156211,0.556219965791485,0.143,0.099,1
"IFT57",0.526292569851224,0.555490261538189,0.143,0.099,1
"MAGOH",0.205697714464362,0.555098282605788,0.571,0.521,1
"ARF3",0.300788269419892,0.554979241845206,0.179,0.099,1
"MRPL33",0.432604715815756,0.554868817070608,0.286,0.197,1
"SNAI3",0.369349664318486,-0.554598029377132,0.071,0.141,1
"LINC01619",0.413875678783388,-0.554281857886022,0.214,0.296,1
"MRPS22",0.414058434533142,0.554075547144175,0.286,0.197,1
"CDKAL1",0.731986099207513,-0.554016760245958,0.143,0.155,1
"PRKACB",0.481934489171232,-0.553938641907022,0.25,0.282,1
"MCL1",0.0562998939271742,-0.553210817455594,0.679,0.831,1
"MFF",0.498403377754113,-0.553146876418231,0.214,0.268,1
"MRPL4",0.390266261766947,0.553102664863392,0.25,0.169,1
"TAF1C",0.307522914229674,0.552913424460659,0.143,0.07,1
"IK",0.108757058768031,0.552375555770424,0.643,0.507,1
"CBX6",0.326905843828922,-0.55215624755057,0.143,0.225,1
"MAPKAP1",0.470090673965973,-0.552037933442632,0.107,0.169,1
"EDEM2",0.988638705215281,0.551865479461352,0.107,0.113,1
"POLDIP3",0.215709146578729,-0.551836146807258,0.179,0.31,1
"MAGED2",0.198444911848859,-0.551796681304453,0.214,0.366,1
"FIP1L1",0.272882038470413,0.551789603022972,0.429,0.31,1
"METTL23",0.836970151651301,0.551638917715078,0.25,0.268,1
"NEDD9",0.775953665172613,0.551407958251662,0.143,0.127,1
"MGAT1",0.126237316989615,0.551286606930406,0.607,0.423,1
"BIN1",0.837622820272426,0.551195230081642,0.214,0.197,1
"PCM1",0.145143143185681,0.551147263639191,0.5,0.366,1
"IKBKG",0.305516293542572,0.551096356539567,0.286,0.169,1
"SNHG17",0.384060541680723,0.550895829928381,0.25,0.169,1
"SUMF2",0.495700165696493,0.550861086497084,0.25,0.183,1
"ZDHHC6",0.533996627808984,-0.550748586425002,0.107,0.155,1
"RNF145",0.459983509201213,-0.550614183025255,0.214,0.254,1
"KLHL2",0.542462334198565,0.550571157054743,0.179,0.127,1
"SGMS1",0.530430347518745,0.550509149525793,0.286,0.254,1
"TSFM",0.376703239054107,-0.550401259220295,0.071,0.141,1
"AHDC1",0.554554102203333,0.550293346197438,0.143,0.099,1
"SIPA1",0.0688113795377636,0.549942197781877,0.643,0.394,1
"LEO1",0.632040509381739,-0.549452556022942,0.143,0.183,1
"TUBE1",0.604587768433139,0.549175386200027,0.107,0.07,1
"H2AC11",0.581845167205705,0.549056451233495,0.107,0.07,1
"NAA15",0.437704953240168,-0.548850178175609,0.071,0.127,1
"DAPK2",0.363666044922676,-0.548769153337987,0.179,0.296,1
"RPP38",0.519324163350586,0.54815819785024,0.214,0.155,1
"SNHG1",0.781122005424634,0.548009988846143,0.143,0.183,1
"RING1",0.363666044922676,0.548002794845196,0.321,0.239,1
"MSH2",0.547371003895676,-0.547833757400861,0.071,0.113,1
"THAP7",0.338207202482803,-0.547739123880638,0.107,0.197,1
"SMC3",0.364814312527286,-0.546622626125422,0.214,0.296,1
"IMP3",0.274048986854597,0.546258040378242,0.393,0.268,1
"NCK1",0.248371608717974,0.546207480768346,0.464,0.366,1
"LRPPRC",0.355026123907063,-0.54605022300236,0.179,0.268,1
"MRPL41",0.143275781288644,0.545967553995533,0.571,0.38,1
"GSTP1",0.120477910958174,-0.545766719407951,0.464,0.606,1
"FBXO7",0.315911684993415,0.545319102210028,0.5,0.423,1
"UBQLN2",0.492693024209359,0.54520260546546,0.179,0.127,1
"MPHOSPH9",0.665948873918115,0.545019627114304,0.143,0.113,1
"PPP3R1",0.616962749457454,0.544882599474155,0.286,0.268,1
"ITGA4",0.0158394957762615,0.54486811501236,0.893,0.648,1
"HACL1",0.434263201027446,0.544745029221263,0.214,0.141,1
"BCOR",0.219403989219256,-0.544612195598548,0.179,0.31,1
"LINC02446",0.691448408553469,0.544247491855147,0.357,0.479,1
"DNAJC13",0.525598164784724,-0.544100297622882,0.107,0.155,1
"CDIPT",0.324055447348515,-0.543509792430703,0.071,0.155,1
"UBN2",0.930957228428026,0.543375012380691,0.179,0.183,1
"MCPH1",0.627175854474187,0.543233868175401,0.179,0.141,1
"IDH3A",0.207510359128692,0.542970400174044,0.286,0.155,1
"ENSG00000282885",0.661702254649768,-0.542821863550781,0.179,0.211,1
"CUL1",0.575874439275897,-0.542720630242373,0.179,0.211,1
"PRCC",0.146525727180352,0.542638256843899,0.357,0.197,1
"MAP4K4",0.37100478872914,0.542325131049647,0.393,0.324,1
"ARID5B",0.35913773087902,-0.542172916594349,0.357,0.437,1
"APRT",0.159098745354169,0.542096343871565,0.536,0.366,1
"HBP1",0.633514939142436,0.542058273383613,0.286,0.254,1
"SHARPIN",0.396532544800314,0.542014357458141,0.25,0.169,1
"TMEM165",0.61424057309346,-0.541834211874899,0.179,0.211,1
"B3GALT4",0.480892539546607,-0.541616892346595,0.071,0.127,1
"NBL1",0.752221989326316,0.541428499507366,0.214,0.197,1
"BAZ1B",0.626723165959517,0.540930765374487,0.357,0.31,1
"PTEN",0.640356534252635,-0.540362797597319,0.214,0.239,1
"ZBTB25",0.447437813404767,-0.540080475725849,0.107,0.169,1
"ZNF276",0.432069058888675,-0.5397872237391,0.143,0.211,1
"NCOA7",0.185576657364972,-0.539420254527154,0.107,0.239,1
"SMARCA5",0.112672218462521,-0.539419459672371,0.286,0.465,1
"ATP5MC3",0.149822468981046,-0.539107423880378,0.643,0.704,1
"CHUK",0.573795683005486,0.539067497021173,0.143,0.099,1
"EZH1",0.928476399332364,0.539042774928173,0.143,0.141,1
"VAT1",0.708479239788243,0.538742362656314,0.107,0.085,1
"KATNBL1",0.370888745198032,-0.538437237546433,0.214,0.31,1
"SEPTIN2",0.0714806948969388,0.538242931027155,0.536,0.31,1
"BTF3",0.00121231179452418,0.537943384638468,1,0.958,1
"NFYA",0.63633429248411,0.537564172424664,0.143,0.113,1
"ASB6",0.419402398341983,0.537383643313422,0.179,0.113,1
"MITD1",0.854970668066622,0.537179617834981,0.214,0.197,1
"MPPE1",0.604587768433139,0.537135648192133,0.107,0.07,1
"CRNKL1",0.262190660861748,0.537130121079519,0.321,0.211,1
"ELF2",0.872388905814576,0.537047572709228,0.214,0.197,1
"GNL2",0.793644691100894,-0.536962610044152,0.214,0.225,1
"WAPL",0.434160248110983,-0.53671115635351,0.321,0.366,1
"BIRC3",0.494178249117671,0.536543110336811,0.714,0.662,1
"MDH2",0.243110818721042,-0.536299531395205,0.321,0.408,1
"NUCB1",0.558366576380431,0.536235761375226,0.214,0.155,1
"IAH1",0.262190660861748,0.536165816623207,0.321,0.211,1
"SCAP",0.644943753222333,0.53591463499012,0.179,0.141,1
"FBRS",0.312759265947881,-0.53577177004703,0.286,0.38,1
"CCT2",0.140930509998243,0.535734461979192,0.571,0.394,1
"CD69",0.404886414457281,-0.535730539690156,0.464,0.521,1
"INO80B",0.251108636939581,0.5355443601735,0.214,0.113,1
