"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
2.6199449675751e-136,-8.31448328244096,0.013,0.168,3.22253231011737e-134,"CD58","ALL_monocytes"
4.82701669132827e-104,-11.6169957858728,0.799,0.863,5.93723053033377e-102,"CD86","ALL_monocytes"
2.75393320472716e-93,1.20542334873449,0.923,0.843,3.3873378418144e-91,"CD48","ALL_monocytes"
4.91732691456907e-93,-3.38322650226002,0.945,0.956,6.04831210491996e-91,"CLEC12A","ALL_monocytes"
1.38774548263793e-92,-14.1484952494077,0.3,0.488,1.70692694364466e-90,"LILRB1","ALL_monocytes"
7.96846619539911e-78,0.0200495938734608,0.913,0.815,9.80121342034091e-76,"CD45","ALL_monocytes"
5.59579291410528e-73,-1.38440481160147,0.584,0.37,6.8828252843495e-71,"CD4","ALL_monocytes"
8.96416575871827e-68,-4.62294692444645,0.945,0.949,1.10259238832235e-65,"ITGAX","ALL_monocytes"
7.26505833834419e-67,-5.07493922518559,0.535,0.66,8.93602175616336e-65,"CD14","ALL_monocytes"
7.11234405074066e-65,-5.24010167860349,0.075,0.211,8.74818318241101e-63,"FCGR3A","ALL_monocytes"
1.14369398599643e-44,0.0222847291163735,0.742,0.543,1.40674360277561e-42,"CD47","ALL_monocytes"
9.84127838501912e-40,-1.69163712086274,0.765,0.615,1.21047724135735e-37,"CD38","ALL_monocytes"
2.71478127634884e-37,-6.74842003301764,0.912,0.945,3.33918096990907e-35,"CD33","ALL_monocytes"
6.94829728518239e-32,0.598238791161043,0.973,0.977,8.54640566077434e-30,"CD44","ALL_monocytes"
3.01232916622518e-31,-0.418529603863798,0.976,0.985,3.70516487445697e-29,"ITGAL","ALL_monocytes"
1.13423111971267e-30,0.904028041501562,0.222,0.117,1.39510427724658e-28,"CD2","ALL_monocytes"
3.23665531921764e-30,0.888853106338783,0.367,0.24,3.9810860426377e-28,"ITGA6","ALL_monocytes"
1.40989694665397e-27,0.754928357181495,0.533,0.403,1.73417324438438e-25,"SELP","ALL_monocytes"
3.29314706009326e-27,1.7353885277547,0.105,0.034,4.05057088391471e-25,"CD5","ALL_monocytes"
