"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","direction"
2.91858550776076e-08,0.435606480158826,0.015,0.125,3.58986017454574e-06,"IGKC","Classical mono (CCR2/IRF8-high)","up"
3.5020390991996e-18,0.41662171842885,0.989,0.982,4.30750809201551e-16,"CD44","Classical mono (CCR2/IRF8-high)","up"
3.70005332691175e-10,-0.700002908772063,0.589,0.241,4.55106559210146e-08,"CD4","Classical mono (CCR2/IRF8-high)","down"
0.000190809731564826,-1.00194002778241,0.924,0.786,0.0234695969824736,"CD38","Classical mono (CCR2/IRF8-high)","down"
3.17351232590237e-06,-2.00475147222399,0.983,0.982,0.000390342016085992,"ITGAX","Classical mono (CCR2/IRF8-high)","down"
4.43227924275936e-12,-2.09716328114685,0.994,0.982,5.45170346859401e-10,"ITGAL","Classical mono (CCR2/IRF8-high)","down"
8.84060772095398e-08,-2.3710344536352,0.762,0.536,1.08739474967734e-05,"ITGA4","Classical mono (CCR2/IRF8-high)","down"
0.000107138136014821,-2.80688750151187,0.868,0.893,0.0131779907298229,"ITGAM","Classical mono (CCR2/IRF8-high)","down"
0.000278289107017103,-3.0668453907633,0.593,0.741,0.0342295601631036,"ANPEP","Classical mono (CCR2/IRF8-high)","down"
3.75230853378781e-11,-3.15220560508569,0.227,0.482,4.61533949655901e-09,"LILRB1","Classical mono (CCR2/IRF8-high)","down"
1.74542799247842e-10,-3.31616561544925,0.989,0.982,2.14687643074846e-08,"CLEC12A","Classical mono (CCR2/IRF8-high)","down"
7.47210865229453e-06,-7.06794799034304,0.818,0.83,0.000919069364232228,"CD86","Classical mono (CCR2/IRF8-high)","down"
4.99781940924147e-19,-8.11675527583032,0.481,0.804,6.14731787336701e-17,"ITGA1","Classical mono (CCR2/IRF8-high)","down"
1.81843553412655e-19,-8.34988611018504,0.63,0.866,2.23667570697565e-17,"CD14","Classical mono (CCR2/IRF8-high)","down"
7.99722316259796e-11,-10.4773544293536,0.827,0.875,9.83658448999549e-09,"FCGR1A","Classical mono (CCR2/IRF8-high)","down"
9.76272941566142e-13,11.1238059002245,0.512,0.619,1.20081571812636e-10,"CD1D","Classical monocyte","up"
6.82629475243772e-13,7.34051302586077,0.255,0.149,8.39634254549839e-11,"CD7","Classical monocyte","up"
9.11304377128536e-75,2.84394127090396,0.954,0.955,1.1209043838681e-72,"CD44","Classical monocyte","up"
2.30647368444339e-106,2.59702155910431,0.958,0.971,2.83696263186537e-104,"ITGAL","Classical monocyte","up"
1.10672868847317e-99,1.94099648029631,0.856,0.678,1.361276286822e-97,"CD45","Classical monocyte","up"
1.65485572943205e-13,1.87947098636574,0.283,0.175,2.03547254720143e-11,"CD2","Classical monocyte","up"
1.27994874713498e-82,1.87782450626218,0.654,0.313,1.57433695897603e-80,"CD47","Classical monocyte","up"
8.86616211706368e-14,1.85899541708179,0.908,0.896,1.09053794039883e-11,"ITGAX","Classical monocyte","up"
2.2675186094047e-51,1.82672716995634,0.884,0.808,2.78904788956779e-49,"CD48","Classical monocyte","up"
2.43363366321591e-11,1.57989815264276,0.063,0.127,2.99336940575556e-09,"CD1C","Classical monocyte","up"
5.730154450305e-14,1.15080190563207,0.175,0.081,7.04808997387514e-12,"CD3D","Classical monocyte","up"
1.78342126525691e-15,0.785551006778362,0.157,0.062,2.193608156266e-13,"CD5","Classical monocyte","up"
1.1611383519148e-17,0.703294526488814,0.411,0.258,1.4282001728552e-15,"ITGA2B","Classical monocyte","up"
4.68342222728275e-05,0.645330435265025,0.844,0.891,0.00576060933955778,"CD99","Classical monocyte","up"
5.33841745209584e-15,0.528012385758345,0.329,0.203,6.56625346607788e-13,"ITGA6","Classical monocyte","up"
4.46268973669651e-37,0.357902360731468,0.541,0.3,5.48910837613671e-35,"CD4","Classical monocyte","up"
2.96622045824256e-29,0.288982942922494,0.775,0.717,3.64845116363835e-27,"HLA-A","Classical monocyte","up"
2.00136281322386e-06,-0.31311575530997,0.5,0.581,0.000246167626026534,"FAS","Classical monocyte","down"
9.84762580903262e-18,-0.61985191537217,0.505,0.364,1.21125797451101e-15,"SELP","Classical monocyte","down"
2.08128279939079e-11,-0.821776728585817,0.894,0.923,2.55997784325067e-09,"CD33","Classical monocyte","down"
7.40682705753348e-05,-0.910327105875296,0.357,0.403,0.00911039728076618,"CD45RO","Classical monocyte","down"
6.47213906316017e-10,-1.26250857757224,0.076,0.139,7.96073104768701e-08,"CD82","Classical monocyte","down"
3.15544747356772e-26,-1.49932440485142,0.104,0.234,3.8812003924883e-24,"IGLC1","Classical monocyte","down"
3.09246104994236e-06,-1.95074765574287,0.594,0.604,0.00038037270914291,"ENTPD1","Classical monocyte","down"
2.56415309882166e-21,-2.07616059903186,0.451,0.57,3.15390831155064e-19,"CD45RA","Classical monocyte","down"
1.02743233165788e-21,-2.25105580165349,0.537,0.616,1.26374176793919e-19,"ITGAM","Classical monocyte","down"
2.92013932487535e-19,-2.55576112705059,0.089,0.193,3.59177136959668e-17,"ADGRG1","Classical monocyte","down"
1.25435481787723e-33,-2.66216668084231,0.698,0.761,1.54285642598899e-31,"FCGR1A","Classical monocyte","down"
1.00542382381081e-38,-2.71834692380395,0.025,0.133,1.2366713032873e-36,"KLRG1","Classical monocyte","down"
4.31165243043036e-47,-2.78380493524032,0.404,0.604,5.30333248942934e-45,"ANPEP","Classical monocyte","down"
1.23111268913242e-25,-3.29897351689617,0.071,0.184,1.51426860763288e-23,"ICOS","Classical monocyte","down"
1.00038856193056e-41,-4.16467888744644,0.354,0.529,1.23047793117459e-39,"PVR","Classical monocyte","down"
5.18952393356239e-24,-4.60141041039818,0.912,0.901,6.38311443828174e-22,"CLEC12A","Classical monocyte","down"
5.56143318605811e-22,-4.92627929004183,0.445,0.564,6.84056281885147e-20,"ITGA1","Classical monocyte","down"
1.06345408653822e-62,-5.3161322091338,0.525,0.749,1.30804852644201e-60,"CD14","Classical monocyte","down"
6.89772345960844e-21,-6.01266982920564,0.259,0.397,8.48419985531838e-19,"LILRB1","Classical monocyte","down"
7.76499381725513e-08,-7.78062896322853,0.688,0.707,9.55094239522381e-06,"FCGR2A","Classical monocyte","down"
1.50425357323219e-21,-14.3616939889544,0.758,0.781,1.85023189507559e-19,"CD86","Classical monocyte","down"
3.78691225453823e-29,-19.5356809365222,0.04,0.144,4.65790207308202e-27,"TIGIT","Classical monocyte","down"
2.0740953332197e-13,3.71827679789956,0.162,0.031,2.55113725986023e-11,"FCER1A","Inflammatory monocyte","up"
2.75982198477485e-25,3.03297282900737,0.302,0.059,3.39458104127307e-23,"CD52","Inflammatory monocyte","up"
5.2637910286181e-44,2.71939954562808,0.947,0.802,6.47446296520026e-42,"CD38","Inflammatory monocyte","up"
2.71881739530374e-11,2.62143986275579,0.372,0.198,3.3441453962236e-09,"THBD","Inflammatory monocyte","up"
2.63201100501368e-58,2.29510896521749,0.951,0.712,3.23737353616683e-56,"ITGA2B","Inflammatory monocyte","up"
8.74482201140508e-15,2.21073045298236,0.43,0.216,1.07561310740282e-12,"PVR","Inflammatory monocyte","up"
7.66771278007552e-10,1.96921891101959,0.202,0.074,9.43128671949289e-08,"CD82","Inflammatory monocyte","up"
