"OUD_status","specificity","total_cells","expanded","pct_expanded"
"OUD-","HIV",71,57,80.2816901408451
"OUD-","CMV",214,90,42.0560747663551
"OUD-","Unknown",9540,5086,53.3123689727463
"OUD+","HIV",28,22,78.5714285714286
"OUD+","CMV",210,99,47.1428571428571
"OUD+","Unknown",8980,4684,52.1603563474387
