"celltype_annotation","OUD_status","total_cells","n_HIV","n_CMV","pct_HIV","pct_CMV"
"Activated cytotoxic CD8+","OUD-",135,0,2,0,1.48148148148148
"Activated cytotoxic CD8+","OUD+",159,0,5,0,3.14465408805031
"CD56bright NK","OUD-",69,0,0,0,0
"CD56bright NK","OUD+",35,0,0,0,0
"CD8+ Memory","OUD-",2050,4,45,0.195121951219512,2.19512195121951
"CD8+ Memory","OUD+",980,0,20,0,2.04081632653061
"CD8+ Naïve","OUD-",1986,1,48,0.0503524672708963,2.41691842900302
"CD8+ Naïve","OUD+",2327,3,55,0.128921357971637,2.36355822948002
"CD8+ TEMRA","OUD-",2674,3,12,0.112191473448018,0.448765893792072
"CD8+ TEMRA","OUD+",3543,1,42,0.0282246683601468,1.18543607112616
"CD8+ Tem","OUD-",2288,6,31,0.262237762237762,1.3548951048951
"CD8+ Tem","OUD+",3324,14,69,0.421179302045728,2.07581227436823
"CD8+ Tem (PRF1+)","OUD-",2211,56,70,2.53279059249209,3.16598824061511
"CD8+ Tem (PRF1+)","OUD+",616,10,11,1.62337662337662,1.78571428571429
"Innate-like T","OUD-",215,0,1,0,0.465116279069767
"Innate-like T","OUD+",520,0,1,0,0.192307692307692
"NK-like CD8+","OUD-",364,1,5,0.274725274725275,1.37362637362637
"NK-like CD8+","OUD+",334,0,7,0,2.09580838323353
"ɣδ T","OUD-",450,0,0,0,0
"ɣδ T","OUD+",50,0,0,0,0
