"Cluster","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010"
"Transitional B",8,127,39,31,33,334,49,269,47,10
"Naive B",6,1156,116,340,85,79,107,425,434,58
"Intermediate B (HLA-G+)",0,3,0,19,1100,0,11,11,8,2
"Memory B",54,206,108,60,78,118,392,111,59,93
"Atypical B (ABC/DN2)",5,23,11,17,449,67,8,3,19,17
